"","UL_nonUL","samples","AATK","ADSL","APOBEC3C","APOBEC3F","APOBEC3G","ARHGDIA","ASCL2","ASPSCR1","ATF4","ATHL1","AZI1","BAHCC1","BAIAP2","BET1L","BIRC5","C11orf21","C17orf101","C1QTNF1","CANT1","CARD10","CARD14","CBX2","CBX7","CCDC57","CD7","CD81","CDC42EP1","CDHR5","CEND1","CHMP6","CSNK1D","CSNK1E","CTSD","CYTH1","CYTH4","DCXR","DDX17","DEAF1","DMC1","DNAH17","DNAL4","DRD4","DUS1L","EIF3L","EIF4A3","ENGASE","EPS8L2","FASN","FN3K","FN3KRP","FOXK2","FSCN2","GAA","GALR3","GCGR","GNS","GRAP2","GRIP1","GTPBP1","H1F0","HGS","HMGA2","HRAS","IFITM3","IGF2.AS","INS","IRAK3","IRF7","JOSD1","KDELR3","LEMD3","LGALS1","LGALS2","LLPH","MAFG","MFNG","MGAT3","MICALL1","MKL1","MRPL12","MRPL23","NOL12","NPLOC4","NPTX1","NPTXR","PDE6G","PICK1","PKP3","PLA2G6","PNPLA2","POLR2F","POLR2L","PSMD13","PYCR1","RAB40B","RAC2","RAC3","RASSF7","RFNG","RNH1","RPL3","RPLP2","SCT","SECTM1","SGSM3","SIGIRR","SIRT3","SIRT7","SLC16A8","SLC25A10","SLC25A22","SLC38A10","SMCR7L","SOCS3","SOX10","SYNGR1","TAB1","TALDO1","TBCD","TH","TMC6","TMEM184B","TMEM80","TNNI2","TNRC6B","TOMM22","TRIOBP","TSSC4","WDR45L","ZNF750"
"gsm1667144","nonUL","GSE68295",6.32,9.84,9.59,8.2,8.96,9.39,7.43,7.6,14.96,6.21,10.63,7.55,8.39,8.69,5.69,3.92,10.82,8.06,7.7,12.13,4.16,3.5,13.49,6.17,5.3,15.66,9.52,2.67,8.12,9.71,12.76,14.19,9.86,11.42,7.86,9.72,9.87,11.05,3.39,3.55,7.43,16.39,9.46,14.12,11,7.43,8.32,5.88,4.37,11.53,10.32,4.55,13.29,14.48,3.12,7.13,3.22,2.74,10.77,11.31,12.44,2.88,9.03,15.26,6.29,5.21,7.04,9.29,11.14,7.94,10.83,17.09,8.97,9.84,11.63,10.66,9.04,8.55,10.68,9.49,10.49,8.01,9.51,4.15,8.11,2.56,6.3,9.19,8.13,8.85,12.45,12.74,11.09,10.08,8.99,9.8,4.89,7.15,8.78,14.63,16.9,17.16,4.57,9.05,10.82,11.03,9.5,9.16,6.18,5.78,9.5,12.11,10.12,8.7,2.99,9.03,9.39,13,11.3,5.71,6.31,14.18,11.07,6.01,9.44,11.38,10.96,11.01,13.17,3.19
"gsm1667145","nonUL","GSE68295",6.69,10.98,10.27,9,4.35,10.09,6.87,7.18,15.67,7.6,10.02,8.88,7.98,8.31,5.67,2.51,10.75,7.14,6.7,11.26,5.44,4.67,13.66,7.36,7.05,4.92,9.23,3.15,7.56,9.24,13.03,12.06,8.82,11.63,8.11,3.74,11.3,10.03,4.1,3.34,7.2,15.25,9.28,14.11,2.51,8.1,7.33,2.83,5.33,11.76,9.33,5.1,12.24,12.82,6.92,7.65,4.04,6.38,10.84,2.51,11.96,2.85,8.46,15.74,7.79,7.04,4.12,9.48,11.97,7.73,11.61,17.15,5.27,10.85,12.57,9.54,6.52,7.76,10.81,8.6,6.71,7.8,9.85,5.14,6.96,3.63,5.03,7.85,8.04,8.91,12.32,13.64,10.99,9.53,10.13,9.98,5.05,6.71,9.56,14.15,16.41,17.41,5.34,11.03,10.54,11.64,9.74,8.36,6.52,2.51,8.67,11.83,9.52,11.67,4,8.95,6.2,12.27,7.48,4.73,7.45,13.99,11.2,5.69,10.21,11.33,9.97,10.71,13.8,3.04
"gsm1667146","nonUL","GSE68295",6.02,9.07,10.26,8.52,7.95,9.82,7.76,6.72,15.44,7.73,10.08,8.74,7.83,7.83,6.12,2.56,10.46,6.42,5.45,10.94,5.14,3.26,13.09,6.61,5.6,15.71,9.41,2.56,7.93,9.05,11.7,14.46,8.29,11.29,5.94,11.23,11.14,10.86,4.32,4.79,6.8,15.31,9.12,13.49,9.92,8.55,6.96,2.81,6.53,11.67,9.24,4.25,13.5,12.62,3.9,8.04,3.76,3.51,10.85,10.87,12.12,2.71,8.72,15.78,7.74,5.14,7.22,9.35,10.83,7.19,11.63,17.11,8.91,9.82,11.91,10.03,8.9,7.03,10.49,10.56,11.08,6.6,9.39,3,7.11,4.19,4.49,7.04,9.28,9.11,12.4,13.73,10.52,9.37,9.78,9.3,3.5,8.33,10.13,13.75,16.24,17.12,5.7,9.45,10.4,11.85,9.08,7.96,7.12,3.14,8.96,11.88,10.02,7.57,2.87,8.65,6.39,12.81,10.72,6.89,6.46,13.53,10.91,9.81,10.83,10.05,9.66,10.82,13.71,3.23
"gsm336252","nonUL","GSE13319",5.63,8.54,7.36,4.95,5.52,7.54,2.8,6.17,11.66,6.02,4.61,4.75,5.08,6.29,3.17,4.36,7,5.86,6.64,5.42,2.58,3.44,9.26,3.44,3.69,12.4,6.76,0.55,4.67,6.63,8.32,5.69,7.33,6.07,5.06,8.67,9.91,5.43,3.07,2.84,5.79,0.26,7.58,11.67,9.56,7,4.58,4.95,0.49,8.31,6.07,2.43,7.7,2.58,4.55,9.32,1.32,0,6.1,9.6,7,2.26,7.75,12.48,2.07,-0.15,5.58,6.47,8.32,7.66,8.47,12.91,5.58,6.87,6.54,5.07,4.17,8.23,5.71,6.22,7.17,5.91,7.73,4.25,4.49,2.17,5.1,3.96,5.79,7.23,7.68,9.95,8.05,5.79,6.38,6.01,1.38,4.88,7.06,9.73,12.84,5.8,0.58,6.18,6.56,7.79,6.12,6.48,4.67,3.29,5.8,6.05,6.51,8.55,2.09,6.44,5.32,9.49,5.79,2.66,5.32,7.43,7.36,1.07,6.35,7.52,8.19,6.53,9.44,0
"gsm336253","nonUL","GSE13319",5.95,8.58,5.84,5.28,6.3,7.5,3.77,5.71,11.51,6.15,4.89,3.83,4.8,6.01,4.02,4.37,6.72,5.33,6.69,6.09,2.14,4.79,9.57,4.76,3.34,12.31,6.12,-0.1,1.07,6.07,7.89,5.7,7.24,5.69,5.34,6.98,10.27,5.41,3.35,3.32,5.86,0.26,7.67,12.23,9.4,7.37,4.38,4.95,2.72,8.2,5.98,2.26,7.74,3.6,3.25,8.98,1.77,3.74,5.66,9.81,6.89,2.42,7.15,12.38,2.46,0.14,5.27,5.86,8.29,6.57,8.83,13.12,4.31,6.92,6.64,5.14,4.59,7.98,5.36,6.23,6.97,5.72,7.34,4.45,5.07,2.35,4.77,4.33,6.2,6.97,7.78,9.65,7.97,5.33,6.64,6.39,0.68,6.02,7.14,8.87,13.18,6.6,0.26,6.01,6.75,7.29,6.35,6.45,1.93,4.29,5.56,5.63,6.89,4.55,3.41,6.63,5.4,9.39,6,0,5.65,7.41,7.19,0.93,7.31,6.92,8.4,6.21,9.37,2.1
"gsm336254","nonUL","GSE13319",5.88,8.2,6.88,5.13,5.03,6.88,2.32,5.64,11.69,6,4.13,2.9,5.29,5.91,2.87,4.13,6.43,5.78,6.45,5.45,2.47,4.14,9.62,3.87,2.47,12.34,5.6,2.09,4.78,6.03,7.94,5.43,6.96,5.75,4.81,7.22,10.08,6.19,3.72,3.74,5.24,0.14,7,11.94,9.4,6.88,4.95,5.01,0.93,7.9,6.13,0.77,7.6,3.42,2.61,9.38,1.93,3.92,5.16,8.92,6.75,2.23,7.25,12.36,2.17,0.14,5.33,6.25,7.74,7.46,8.17,12.79,4.61,6.83,6.35,5.26,4.51,7.98,5.62,5.46,7.04,5.62,7.07,4.07,4.56,2.68,4.87,3.99,6.26,7.23,7.93,9.42,7.8,6.04,6.18,5.77,0.77,5.56,7.08,8.62,12.92,4.67,1.32,6.51,6.34,7.13,6.13,6.1,4.52,3.8,5.07,5.54,6.55,7.03,2.66,6.49,5.41,9.11,5.75,3.22,5.37,7.49,6.81,0.85,7.03,7.32,7.87,5.75,9.6,-1.74
"gsm336255","nonUL","GSE13319",5.33,8.47,6.45,5.37,6.12,7.36,0.58,5.86,11.45,6.22,5.1,5,5.08,6.37,3.01,3.69,6.89,6.25,6.58,6.2,2.73,4.51,9.64,4.84,4.22,12.42,6.65,1.34,2.83,5.97,7.87,5.91,7.45,5.84,5.33,7.42,10.27,6.2,3.38,2.71,5.77,0.58,7.94,12.35,9.32,7.74,5.14,4.89,2.43,7.94,6.32,1.68,7.83,4.51,3.28,9.07,1.07,3.34,5.79,8.73,7.48,3.06,7.18,12.43,2.04,1,5.58,6.78,8.24,6.48,8.51,13.09,4.57,6.67,6.66,5.44,4.54,7.55,5.81,5.96,6.87,5.82,7.65,4.45,4.85,2.98,6.03,4.69,6.32,7.5,7.66,9.71,7.86,5.17,6.65,6.49,1.72,6.2,6.96,8.47,13.21,6.14,0.93,6.28,6.54,7.4,6.31,6.96,3.64,4.15,5.93,5.68,6.87,5.85,3.93,6.33,5.37,9.25,6.22,1.26,5.52,7.81,7.28,1.68,7.3,7.08,8.18,6.47,8.94,-1
"gsm336256","nonUL","GSE13319",5.96,8.65,6.93,4.2,5.59,7.56,0.26,6.42,11.77,7.1,5.39,5.05,5.9,6.28,3.89,3.52,7.11,5.88,6.89,6.62,2.22,3.96,9.51,3.98,3.77,12.58,6.78,1.69,4.56,6.22,8.27,6.29,7.44,5.97,5.01,7.69,10.23,6.7,2.41,2.75,5.82,0.14,8.07,12.19,9.42,7.42,4.73,4.77,-0.32,8.3,5.93,3.31,8.29,3.49,3.91,8.91,1.49,2.6,5.87,9.32,7.54,2.88,7.8,12.75,2.89,0.26,5.54,7.13,8.78,6.82,8.06,13.35,5.01,6.91,6.75,5.87,4.67,8.05,5.63,6.06,7.1,6.29,7.77,2.72,4.64,2.14,6.19,4.08,6.42,6.55,7.56,10.08,8.25,5.89,6.59,6.53,1.38,6.05,7.51,8.95,13.33,4.53,0.38,6.34,7.04,7.87,6.21,6.92,1.85,4.76,5.33,5.99,6.5,4.7,3.19,6.46,5.82,9.51,6.78,2.58,6.01,7.96,7.01,1,6.3,7.31,8.38,7.23,9.27,1.14
"gsm336257","nonUL","GSE13319",7.01,8.6,6.38,4.95,5.8,7.74,1.94,5.3,12.02,7.27,6.48,5.15,5.07,6.14,5.02,5,6.9,5.78,6.61,6.03,3.71,5.1,9.16,4.94,5.17,12.43,6.34,3.94,5.92,6.95,8.25,6.02,6.9,6.31,6.1,7.72,10.22,6.03,4.51,5.01,6.06,2.17,7.84,12.08,9,7.71,5.45,6.07,4.37,7.9,6.42,1.32,7.91,5.71,4.95,8.78,2.26,3.13,5.93,9.67,6.78,4.58,8.08,12.55,4.47,1.93,5.5,6.04,8.69,7.73,8.58,13.43,5.28,6.52,6.84,5.37,4.99,8.64,6.06,6.43,7.34,6,7.94,5.01,5.04,3.5,4.64,3.31,6.5,7.38,7.52,9.89,8.26,6.57,6.31,6.56,2.56,6.33,7.4,9.17,13.18,6.02,2.07,6.95,6.86,8.07,6.47,6.57,3.38,4.1,6.16,5.89,6.98,8.33,4.28,6.69,5.22,9.71,6.71,3,5.45,7.83,7.03,3.25,7.12,6.73,8.45,5.88,9.37,1.07
"gsm336258","nonUL","GSE13319",6.38,8.65,7.06,4.68,6.06,7.6,2.38,6.74,11.65,6.39,5.49,4.58,5.63,6.35,3.9,4.63,7.06,5.85,7.26,7.26,2.83,4.35,9.9,3.44,3.04,12.4,6.57,0.42,4.47,6.58,8.16,6.32,7.73,5.54,5.08,7.47,10.16,6.14,3.22,2.55,6.42,3.04,7.83,12.31,9.4,7.87,4.82,5.05,0.77,8.17,5.83,4.24,8.4,3.7,4.22,9.34,0.38,3.7,5.93,9.6,7.56,3.15,7.34,12.32,2.29,-0.51,5.88,6.93,8.56,6.45,8.4,12.85,5.13,6.78,6.86,5.73,4.36,7.65,5.28,6.5,7.18,5.93,7.63,1.38,4.81,2.58,5.58,4,6.61,7.15,7.78,10.09,8.23,5.36,6.78,6.73,1.63,5.75,7.43,9.31,12.95,3.79,1.26,6.9,6.35,7.63,6.27,7.09,3.71,4.3,5.86,6.26,6.47,6.75,4.38,6.99,4.97,9.47,6.66,2.85,5.72,7.14,6.74,1.43,6.84,7.12,8.22,7.07,9.63,-0.32
