"Gene","Gene_Name","Gene_Summary","Gene_Function","nonUL_Means","UL_Means","nonUL_Medians","UL_Medians","FoldChange","DifferentialExpression","Magnitude","FoldChangeMedian","Median_DE","MedianMagnitude","GSM3417135","GSM3417136","GSM3417137","GSM3417138","GSM3417139","GSM3417140","GSM3417141","GSM3417142","GSM3417143","GSM3417144","GSM2496194","GSM2496195","GSM2496196","GSM2496197","GSM2496198","GSM2496199","GSM2496200","GSM2496201","GSM2496202","GSM2496210","GSM2496211","GSM2496212","GSM2496213","GSM2496214","GSM2496215","GSM2496216","GSM2496220","GSM2496221","GSM2496222","GSM3417145UL","GSM3417146UL","GSM3417147UL","GSM3417148UL","GSM3417149UL","GSM3417150UL","GSM3417151UL","GSM3417152UL","GSM3417153UL","GSM3417154UL","GSM3417155UL","GSM3417156UL","GSM3417157UL","GSM3417158UL","GSM3417159UL","GSM3417160UL","GSM3417161UL","GSM3417162UL","GSM3417163UL","GSM3417164UL","GSM3417165UL","GSM3417166UL","GSM3417167UL","GSM3417168UL","GSM2496185UL","GSM2496186UL","GSM2496187UL","GSM2496188UL","GSM2496189UL","GSM2496190UL","GSM2496191UL","GSM2496192UL","GSM2496193UL","GSM2496203UL","GSM2496204UL","GSM2496205UL","GSM2496206UL","GSM2496207UL","GSM2496208UL","GSM2496209UL","GSM2496217UL","GSM2496218UL","GSM2496219UL"
"ESR1","estrogen receptor 1","This gene encodes an estrogen receptor, a ligand-activated transcription factor composed of several domains important for hormone binding, DNA binding, and activation of transcription. The protein localizes to the nucleus where it may form a homodimer or a heterodimer with estrogen receptor 2. Estrogen and its receptors are essential for sexual development and reproductive function, but also play a role in other tissues such as bone. Estrogen receptors are also involved in pathological processes including breast cancer, endometrial cancer, and osteoporosis. Alternative promoter usage and alternative splicing result in dozens of transcript variants, but the full-length nature of many of these variants has not been determined. [provided by RefSeq, Mar 2014]","The function of binding to a specific DNA sequence in order to modulate transcription. The transcription factor may or may not also interact selectively with a protein or macromolecular complex [goid 3700] [evidence IEA]",1644.0720877368,1862.41195719398,1889.9942,0.076932608,1.13280431623759,218.339869457185,218.339869457185,4.07052085133383e-05,-1889.917267392,1889.917267392,0.0462851436,0.0878385276,0.0732682137,0.0816196745,0.0896050132,0.0774318416,0.0760662938,0.1181390722,0.0861803989,0.099910188,2606.6727,3340.4334,3533.3847,3661.2201,2502.5161,1889.9942,2495.8726,4193.5261,3139.0841,2415.6866,2040.1084,1899.9391,1790.7688,2361.016,1545.3627,2733.5438,2356.2887,1690.6742,1481.1619,0.065307728,0.0775362242,0.0662773703,0.0629875395,0.0571536243,0.0736981481,0.0646301223,0.049746734,0.0675295836,0.0679091009,0.0712981967,0.0637059572,0.0659606579,0.0633133558,0.050992689,0.0769497192,0.066857707,0.062687982,0.0579475066,0.0654109093,0.0651736881,0.0648478352,0.0785204742,0.0563164878,6710.5,6799.0431,6441.6331,6254.7242,5157.8029,2953.696,4931.062,6198.8269,4497.904,1506.4032,3675.0213,5217.3864,3778.3675,2407.7321,2119.887,2115.9168,2872.8484,2963.5305,3479.866
"PGR","progesterone receptor","This gene encodes a member of the steroid receptor superfamily. The encoded protein mediates the physiological effects of progesterone, which plays a central role in reproductive events associated with the establishment and maintenance of pregnancy. This gene uses two distinct promotors and translation start sites in the first exon to produce several transcript variants, both protein coding and non-protein coding. Two of the isoforms (A and B) are identical except for an additional 165 amino acids found in the N-terminus of isoform B and mediate their own response genes and physiologic effects with little overlap. [provided by RefSeq, Sep 2015]","The function of binding to a specific DNA sequence in order to modulate transcription. The transcription factor may or may not also interact selectively with a protein or macromolecular complex [goid 3700] [evidence IEA]",654.281803561522,644.219992187458,549.3498,0.0825081755,0.98462159375472,-10.0618113740637,10.0618113740637,0.000150192419292771,-549.2672918245,549.2672918245,0.29456930875,0.3199647695,0.3205475844375,0.331154131625,0.32854098425,0.326295083625,0.324147385875,0.356883008,0.3367402184375,0.338360809625,1121.0431,1068.5488,1040.7376,1352.1659,809.3632,431.0138,1347.2944,2875.1394,1488.9701,845.1435,508.4307,911.2812,821.7281,811.4375,467.8696,1420.584,578.2461,549.3498,522.5483,0.29794654225,0.331453216,0.2945321780625,0.2895141226875,0.2932883248125,0.294284960125,0.2890158054375,0.2779278483125,0.279907684375,0.290377213375,0.3010164215,0.2992875989375,0.299638541875,0.299405913125,0.28480286625,0.302527040625,0.2830462331875,0.294155184875,0.2967629876875,0.301893890125,0.2932249754375,0.2926803684375,0.272142903,0.2805312401875,2538.5,2322.9957,1712.1643,1528.9861,1733.7853,662.4352,1480.9111,2813.013,2257.3016,1624.2472,891.1092,1374.9885,974.401,1239.3944,647.036,1200.8376,551.9828,1030.7801,1109.5512
"NRIP1","nuclear receptor interacting protein 1","Nuclear receptor interacting protein 1 (NRIP1) is a nuclear protein that specifically interacts with the hormone-dependent activation domain AF2 of nuclear receptors. Also known as RIP140, this protein modulates transcriptional activity of the estrogen receptor. [provided by RefSeq, Jul 2008]","The function of a transcription cofactor that activates transcription from a RNA polymerase II promoter",810.222168336989,796.96200127412,1002.2911,0.085808885,0.983633912300762,-13.2601670628695,13.2601670628695,8.56127376567546e-05,-1002.205291115,1002.205291115,0.253659774076923,0.311633198769231,0.305601960230769,0.295526309615385,0.304472092769231,0.307097263923077,0.296650083307692,0.300893751615385,0.296702688,0.298144650384615,1398.8688,1536.7697,1028.1189,1273.7318,1002.8237,859.6789,1019.4826,2555.824,2161.3771,1468.5221,802.1026,1082.2556,1043.1799,925.9687,814.4927,1080.9166,1002.2911,1275.6755,1161.3922,0.265052189692308,0.288925571461538,0.289696925538462,0.289183758538462,0.283378377769231,0.265376859538462,0.284388823769231,0.274103538384615,0.314146923,0.296293879769231,0.317070897,0.303725067692308,0.294945112076923,0.294215800461538,0.304585529615385,0.284079052,0.289881773230769,0.316897222307692,0.308281793461538,0.299111576538462,0.310649222153846,0.280218484615385,0.283635576846154,0.288410831692308,2260.5,2512.6799,1473.9899,2184.2186,2140.8767,1248.0477,1687.6846,3184.5971,2228.6661,1019.8175,1359.6514,1571.1296,1664.1084,1540.9966,1245.2333,1767.6997,1153.9021,2177.0882,1841.4524
"TRIB3","tribbles pseudokinase 3","The protein encoded by this gene is a putative protein kinase that is induced by the transcription factor NF-kappaB. The encoded protein is a negative regulator of NF-kappaB and can also sensitize cells to TNF- and TRAIL-induced apoptosis. In addition, this protein can negatively regulate the cell survival serine-threonine kinase AKT1. Differential promoter usage and alternate splicing result in multiple transcript variants. [provided by RefSeq, Jul 2014]","The function of a transcription cofactor that represses transcription from a RNA polymerase II promoter",118.301477103586,112.368438270907,126.3392,0.9347797,0.949848142407519,-5.93303883267923,5.93303883267923,0.00739896801626099,-125.4044203,125.4044203,0.661804275,0.677836004,0.672540569,0.662543157,0.674478069,0.664552855,0.668868414,0.662012888,0.661963947,0.670135826,126.52,99.004,106.76,241.004,171.0565,148.7969,126.3392,206.666,237.9638,83.9394,166.5918,210.6293,220.4979,253.2468,228.0111,141.525,96.6296,253.0938,305.791,0.65203679,0.681815332,0.665810028,0.678641147,0.678535421,0.671824942,0.684066274,0.672887656,0.672658028,0.663613449,0.677982477,0.67775803,0.661270551,0.666175356,0.668502316,0.673523092,0.662669552,0.676641225,0.678101894,0.673464256,0.660710502,0.667355957,0.675768468,0.660932906,179.6,152.6566,147.3475,403.0912,221.0514,313.4111,253.9552,296.3937,320.6309,162.6714,280.667,176.1103,321.2437,314.2596,269.1266,169.6478,130.4926,327.4441,375.9394
"AR","androgen receptor","The androgen receptor gene is more than 90 kb long and codes for a protein that has 3 major functional domains: the N-terminal domain, DNA-binding domain, and androgen-binding domain. The protein functions as a steroid-hormone activated transcription factor. Upon binding the hormone ligand, the receptor dissociates from accessory proteins, translocates into the nucleus, dimerizes, and then stimulates transcription of androgen responsive genes. This gene contains 2 polymorphic trinucleotide repeat segments that encode polyglutamine and polyglycine tracts in the N-terminal transactivation domain of its protein. Expansion of the polyglutamine tract from the normal 9-34 repeats to the pathogenic 38-62 repeats causes spinal bulbar muscular atrophy (SBMA, also known as Kennedy's disease). Mutations in this gene are also associated with complete androgen insensitivity (CAIS). Alternative splicing results in multiple transcript variants encoding different isoforms. [provided by RefSeq, Jan 2017]","The function of binding to a specific DNA sequence in order to modulate transcription. The transcription factor may or may not also interact selectively with a protein or macromolecular complex [goid 3700] [pmid 15572661] [evidence IDA]",230.994920628725,200.885557601222,98.3579,0.524822709,0.86965357097225,-30.1093630275028,30.1093630275028,0.00533584703414774,-97.833077291,97.833077291,0.490739523915254,0.506933411338983,0.472891213745763,0.505554485745763,0.456203273237288,0.480478734644068,0.520734800677966,0.49462884059322,0.509427260881356,0.499952450949153,429.856325423729,415.22256779661,489.343420338983,363.328288135593,337.478806779661,368.90410338983,304.253945762712,349.346881355932,355.823247457627,507.517155932203,337.34706440678,265.35893559322,208.383074576271,277.543071186441,184.828159322034,334.369511864407,456.761505084746,358.026274576271,350.222815254237,0.447489060966102,0.437803934949153,0.42684361359322,0.384106922711864,0.461447448525424,0.392573012847458,0.398244254050847,0.493047530508475,0.397728066152542,0.410765654864407,0.497655433983051,0.462372577474576,0.45016458440678,0.538147146186441,0.499594116864407,0.433174591288136,0.443382548576271,0.494844858016949,0.508655559101695,0.435239468694915,0.434532340033898,0.437608639220339,0.478630017237288,0.450072929915254,846.7,524.278983050847,446.551962711864,565.025576271186,469.767572881356,370.051098305085,444.739118644068,487.931077966102,358.638952542373,292.86553220339,442.107189830509,336.409491525424,543.58119661017,239.583606779661,257.425183050847,429.124457627119,380.82606779661,811.31696779661,380.340816949153
"TP53"," tumor protein p53","This gene encodes a tumor suppressor protein containing transcriptional activation, DNA binding, and oligomerization domains. The encoded protein responds to diverse cellular stresses to regulate expression of target genes, thereby inducing cell cycle arrest, apoptosis, senescence, DNA repair, or changes in metabolism. Mutations in this gene are associated with a variety of human cancers, including hereditary cancers such as Li-Fraumeni syndrome. Alternative splicing of this gene and the use of alternate promoters result in multiple transcript variants and isoforms. Additional isoforms have also been shown to result from the use of alternate translation initiation codons from identical transcript variants (PMIDs: 12032546, 20937277). [provided by RefSeq, Dec 2016]","The function of binding to a specific DNA sequence in order to modulate transcription. The transcription factor may or may not also interact selectively with a protein or macromolecular complex [goid 3700] [evidence IEA]",73.9609886335987,57.7542649788182,83.2933,0.069068153,0.780874702269485,-16.2067236547806,16.2067236547806,0.000829216191458377,-83.224231847,83.224231847,0.259410937363636,0.285266196,0.281786977454545,0.276853536454545,0.283485460909091,0.280515621181818,0.280512586,0.288463809909091,0.278618769181818,0.283556479909091,166.5059,200.7214,161.9505,148.9174,99.3893,77.4,100.4372,83.2933,97.2552,150.3034,116.76,110.6,77.4,67.52,60.5,95.5452,112,125.5,90.0714,0.302801364454545,0.295444000909091,0.271261817272727,0.282957819272727,0.247699615181818,0.258934712454545,0.274217540818182,0.263461687181818,0.278758112090909,0.278804542909091,0.282998268818182,0.275693728363636,0.271405108454545,0.267712692272727,0.271393269909091,0.285200957454545,0.270703875363636,0.285442356454545,0.277834004363636,0.279028894818182,0.263025849363636,0.278726322090909,0.285401419636364,0.264386129272727,306.5,227.9985,232.8045,178.3514,185.9603,109.9333,132.1873,83.3389,92.8667,61.775,132.7714,128.7583,62.32,60.8,76.9636,77.6769,112.9979,131.2706,81.5455
"MAPK8","mitogen-activated protein kinase 8 (JNK)","The protein encoded by this gene is a member of the MAP kinase family. MAP kinases act as an integration point for multiple biochemical signals, and are involved in a wide variety of cellular processes such as proliferation, differentiation, transcription regulation and development. This kinase is activated by various cell stimuli, and targets specific transcription factors, and thus mediates immediate-early gene expression in response to cell stimuli. The activation of this kinase by tumor-necrosis factor alpha (TNF-alpha) is found to be required for TNF-alpha induced apoptosis. This kinase is also involved in UV radiation induced apoptosis, which is thought to be related to cytochrom c-mediated cell death pathway. Studies of the mouse counterpart of this gene suggested that this kinase play a key role in T cell proliferation, apoptosis and differentiation. Several alternatively spliced transcript variants encoding distinct isoforms have been reported. [provided by RefSeq, Apr 2016]","Interacting selectively with a nucleotide, any compound consisting of a nucleoside that is esterified with (ortho)phosphate or an oligophosphate at any hydroxyl group on the ribose or deoxyribose moiety [goid 166] [evidence IEA]",53.6835051406897,41.0105253069767,72.05,0.944212,0.76393158754257,-12.6729798337129,12.6729798337129,0.0131049548924358,-71.105788,71.105788,0.79335188,0.93611138,0.93392068,0.92630116,0.92044882,0.93020842,0.93469872,0.92762212,0.93328538,0.92200052,76.8,87.4636,77.6625,81,84.5063,85.7652,99.7163,89.3316,83.1647,69.3222,78.6,94.28,70.6,68.2333,72.05,95.0323,81.7846,80.5636,71.7875,0.93152372,0.93226414,0.94868408,0.93370378,0.86695854,0.76467388,0.8894621,0.91133522,0.86652754,0.85335216,0.89240166,0.9333165,0.90302488,0.90876072,0.91935264,0.9299971,0.9021912,0.88771104,0.94742738,0.82384442,0.9255768,0.87963484,0.87259758,0.87436628,69.4,83.3182,68.3231,78.4696,82.8308,112.2066,93.75,70.2889,77.2364,136.7385,84.66,93.2824,96.4,97.95,94.2176,147.9841,70.7091,95.1886,89
"IL17A"," interleukin 17A","The protein encoded by this gene is a proinflammatory cytokine produced by activated T cells. This cytokine regulates the activities of NF-kappaB and mitogen-activated protein kinases. This cytokine can stimulate the expression of IL6 and cyclooxygenase-2 (PTGS2/COX-2), as well as enhance the production of nitric oxide (NO). High levels of this cytokine are associated with several chronic inflammatory diseases including rheumatoid arthritis, psoriasis and multiple sclerosis. [provided by RefSeq, Jul 2008]","Functions to control the survival, growth, differentiation and effector function of tissues and cells [goid 5125] [pmid 7499828] [evidence TAS]",28.7783990512328,20.2298537098023,42.5182,0.9620810505,0.702952713727686,-8.54854534143043,8.54854534143043,0.0226275112892832,-41.5561189495,41.5561189495,0.9561682515,0.947008168,0.95534041225,0.95463010775,0.9432714605,0.95706029,0.96260474375,0.935674511,0.955466682,0.948547859,40.8333,44.2,41.64,42.1336,46.85,43.675,42.9462,43.3154,42.9,44.6375,42.5182,40.3,45.5,43.26,47.2,43.5,43.3286,43.3,43.02,0.9378869525,0.94573508425,0.87593150025,0.95718552825,0.9544247705,0.93299644125,0.93879432875,0.93246653,0.94997088675,0.89242848425,0.9047688745,0.95463942875,0.95645183275,0.9494783055,0.939784319,0.958523802,0.9547262675,0.9110553485,0.96208161125,0.86647865275,0.84391388875,0.85957176125,0.880728302,0.94308662025,45.6,42.7,44.4,44.9,44.3167,45.2333,42.7364,44,49.3,43.5,45.48,44.4,43.8,44.2,41.3571,48,43.1571,46.4,44.2
"ESRRG","estrogen related receptor gamma","This gene encodes a member of the estrogen receptor-related receptor (ESRR) family, which belongs to the nuclear hormone receptor superfamily. All members of the ESRR family share an almost identical DNA binding domain, which is composed of two C4-type zinc finger motifs. The ESRR members are orphan nuclear receptors; they bind to the estrogen response element and steroidogenic factor 1 response element, and activate genes controlled by both response elements in the absence of any ligands. The ESRR family is closely related to the estrogen receptor (ER) family. They share target genes, co-regulators and promoters, and by targeting the same set of genes, the ESRRs seem to interfere with the ER-mediated estrogen response in various ways. It has been reported that the family member encoded by this gene functions as a transcriptional activator of DNA cytosine-5-methyltransferases 1 (Dnmt1) expression by direct binding to its response elements in the DNMT1 promoters, modulates cell proliferation and estrogen signaling in breast cancer, and negatively regulates bone morphogenetic protein 2-induced osteoblast differentiation and bone formation. Multiple alternatively spliced transcript variants have been identified, which mainly differ at the 5' end and some of which encode protein isoforms differing in the N-terminal region. [provided by RefSeq, Aug 2011]","The function of binding to a specific DNA sequence in order to modulate transcription. The transcription factor may or may not also interact selectively with a protein or macromolecular complex [goid 3700] [evidence IEA]",34.8313677870428,24.1405283233192,49.9,0.7737229,0.693068629142363,-10.6908394637236,10.6908394637236,0.0155054689378758,-49.1262771,49.1262771,0.474637942121212,0.511981115454545,0.497181924848485,0.511725386060606,0.501073352121212,0.499938183636364,0.506672456060606,0.515428863333333,0.488911357272727,0.498275849393939,77.9333333333333,65.4309818181818,58.5813818181818,51.1368696969697,50.8351515151515,52.4957575757576,50.1729060606061,45.3980121212121,47.7212121212121,51.1227272727273,50.4757575757576,51.3414151515152,45.3742424242424,52.1060606060606,56.6484848484848,49.7916666666667,50.1954545454545,50.1151515151515,48.2272727272727,0.496587049090909,0.530872222727273,0.493301974848485,0.520998893939394,0.48289965030303,0.542945973333333,0.541336416666667,0.543641493333333,0.472673288484848,0.542037123636364,0.51865162,0.518990075454545,0.526300212727273,0.554799711818182,0.498370996060606,0.49440394,0.558198633030303,0.541382922727273,0.575278372424242,0.522649765151515,0.53448850969697,0.51197926969697,0.484817238484848,0.459400427878788,56.030303030303,63.6838060606061,61.9724242424242,52.9959272727273,50.7748484848485,50.6790727272727,54.1818181818182,48.8744272727273,52.8739393939394,52.1060606060606,50.0848484848485,51.4082545454545,45.959596969697,74.9353848484848,52.2590909090909,54.5263636363636,49.9454545454545,49.1113636363636,53.1727272727273
"SHBG","sex hormone binding globulin","This gene encodes a steroid binding protein that was first described as a plasma protein secreted by the liver but is now thought to participate in the regulation of steroid responses. The encoded protein transports androgens and estrogens in the blood, binding each steroid molecule as a dimer formed from identical or nearly identical monomers. Polymorphisms in this gene have been associated with polycystic ovary syndrome and type 2 diabetes mellitus. Alternative splicing results in multiple transcript variants. [provided by RefSeq, Jan 2014]","Interacting selectively with any androgen, male sex hormones [goid 5497] [pmid 2587256] [evidence TAS]",54.8780662248965,37.8161206988953,71.9,0.755278261,0.689093535911426,-17.0619455260012,17.0619455260012,0.0105045655215577,-71.144721739,71.144721739,0.735089878,0.7172809585,0.7182337415,0.702515412,0.713036324,0.730854652,0.75777006,0.7117864495,0.669766172,0.7302868745,73.725,91.8571,92.0353,58.9833,67.7231,79.7455,77.7818,89.5842,89.1364,79.5818,92.3553,86.3,69.6,79.68,95.4364,71.9,124.9632,66.8,97.0889,0.532970136,0.681919235,0.703369165,0.730272475,0.7343355055,0.729058914,0.7591819155,0.7413982805,0.653773524,0.7007445265,0.693375114,0.752536633,0.755278261,0.7549093145,0.7456084,0.658279473,0.7498764695,0.731036997,0.8204242505,0.727182528,0.6807696325,0.7307663935,0.6557981245,0.6971247845,66.5,69.6,76.32,65.5,63.28,78.45,60.1333,61.8167,67.85,210.1,71.1312,59.9429,85.07,191.7364,76.6909,72.225,78.8,87.6935,66.1333
