"","TYPE","RAC3","GRIP1","TH","ASCL2","CBX2","FSCN2","NPTX1","ASPSCR1","PYCR1","KDELR3","APOBEC3F","TNRC6B","CYTH4","CCDC57","FASN","HMGA2"
"gsm1667144","nonUL",4.89,2.74,5.71,7.43,3.5,4.55,4.15,7.6,10.08,7.94,8.2,9.44,7.86,6.17,5.88,2.88
"gsm1667145","nonUL",5.05,6.38,4.73,6.87,4.67,5.1,5.14,7.18,9.53,7.73,9,10.21,8.11,7.36,2.83,2.85
"gsm1667146","nonUL",3.5,3.51,6.89,7.76,3.26,4.25,3,6.72,9.37,7.19,8.52,10.83,5.94,6.61,2.81,2.71
"gsm336252","nonUL",1.38,0,2.66,2.8,3.44,2.43,4.25,6.17,5.79,7.66,4.95,6.35,5.06,3.44,4.95,2.26
"gsm336253","nonUL",0.68,3.74,0,3.77,4.79,2.26,4.45,5.71,5.33,6.57,5.28,7.31,5.34,4.76,4.95,2.42
"gsm336254","nonUL",0.77,3.92,3.22,2.32,4.14,0.77,4.07,5.64,6.04,7.46,5.13,7.03,4.81,3.87,5.01,2.23
"gsm336255","nonUL",1.72,3.34,1.26,0.58,4.51,1.68,4.45,5.86,5.17,6.48,5.37,7.3,5.33,4.84,4.89,3.06
"gsm336256","nonUL",1.38,2.6,2.58,0.26,3.96,3.31,2.72,6.42,5.89,6.82,4.2,6.3,5.01,3.98,4.77,2.88
"gsm336257","nonUL",2.56,3.13,3,1.94,5.1,1.32,5.01,5.3,6.57,7.73,4.95,7.12,6.1,4.94,6.07,4.58
"gsm336258","nonUL",1.63,3.7,2.85,2.38,4.35,4.24,1.38,6.74,5.36,6.45,4.68,6.84,5.08,3.44,5.05,3.15
"gsm336259","nonUL",3.04,2.85,1,3.36,4.55,4.06,3.05,6.68,6.2,7.28,5.17,5.72,5.38,3.9,5.66,2.6
"gsm336260","nonUL",0.26,3.6,-0.74,3,4.33,0.38,4.16,5.42,5.31,6.85,4.88,6.58,4.47,3.76,5.54,3.05
"gsm336261","nonUL",1.77,3.12,3.73,3.53,4.28,1.43,2.49,6.32,6.26,7.16,5.28,6.17,5.2,4.19,5.43,2.33
"gsm336262","nonUL",1.63,3.22,3.39,4.1,4.39,3.15,3.96,6.52,5.05,6.35,4.83,6.64,5.49,4.17,5.34,3.04
"gsm336263","nonUL",1,3.89,1.07,3.54,4.46,2.68,4.25,5.92,5.27,5.94,4.29,6.83,4.71,4.48,5.61,2.53
"gsm336264","nonUL",0.68,3.73,2.89,3.79,4.32,2.98,1.89,6.56,5.63,6.47,3.92,7.52,5.27,4.08,5.16,3.07
"gsm336265","nonUL",1.49,2.72,4.06,0.43,4.31,1.07,1.77,6,6.6,7.54,5.1,6.93,5.01,4.08,5.82,3.19
"gsm336266","nonUL",1.54,3.54,1.14,1.32,4.69,2.81,3.84,5.88,6.1,7.13,4.76,6.69,5.03,3.38,5.28,2.25
"gsm336267","nonUL",1.38,3.45,0,3.92,4.54,1.2,4.19,5.43,5.41,6.58,5.1,6.9,4.66,4.34,5.34,2.91
"gsm336268","nonUL",1.68,3.08,1.81,1.63,4.62,1.96,3.47,6.29,6.27,7.06,5.7,6.33,5.58,4.35,6.11,3.67
"gsm336269","nonUL",4.82,3.24,0.38,1.94,4.39,3.96,4.96,5.89,6.48,7.34,4.79,7.44,5.33,4.36,6.15,3.29
"gsm336270","nonUL",0.77,4.3,3.32,0.81,5.62,2,4.46,5.04,6.07,7.23,4.94,6.98,4.93,4.24,5.7,3.96
"gsm336271","nonUL",1.26,4.68,3.51,-0.15,4.87,0.58,4.93,4.81,6.46,7.1,3.45,6.94,4.52,4.73,5.08,3.97
"gsm336272","nonUL",1.2,3.9,0.85,0.63,4.89,0.93,5.37,5.16,6.45,8.13,5.13,6.59,4.99,4.54,5.84,4.17
"gsm336273","nonUL",1.2,3.69,1.32,1.07,5.14,2.43,4.46,3.97,5.4,6.26,4.56,7.1,4.78,4.09,4.99,3.44
"gsm336274","nonUL",1.2,3.74,4.46,0.85,4.57,1.81,3.67,5.75,5.65,7.18,5.48,6.93,5.34,4.53,5.42,3.39
"gsm336275","nonUL",1.85,4.16,1.2,2.47,4.64,3.71,2.54,6.36,5.94,7.75,5.39,7.51,5.48,4.16,4.99,3.36
"gsm336276","nonUL",1.07,3.99,-0.15,3.12,4.08,1.58,1.96,6.33,6.26,7.05,5.32,7.49,5.6,4.51,5.28,2.99
"gsm336277","nonUL",0.38,2.14,2.26,2.67,4.2,2.61,-0.15,6.65,6.25,7.06,4.97,6.03,4.78,4.32,5.3,2.2
"gsm336278","nonUL",0.14,3.11,-1.74,1.32,4.24,0.77,4.05,6.37,5.84,7.21,4.9,7,4.98,4.08,5.29,2.96
"gsm52661","nonUL",0.77,0.58,4.2,-1,2.74,0.68,0.68,4.75,5.46,5.85,2.49,5.97,5.25,3.66,5,4.61
"gsm52662","nonUL",1.96,-0.51,3.88,-1,1.77,2.91,4.09,3.7,5.84,6.32,-1,6.22,5.72,4.43,4.55,4.25
"gsm52663","nonUL",1.26,-0.32,3.88,-1.74,1,0.26,0.68,4.85,5.26,6,2.32,6.73,5.82,2.63,4.78,5.61
"gsm52664","nonUL",1.2,0.49,1.93,-1.32,1.93,-1.32,2.04,5.01,4.87,5.84,1.32,6.6,6.16,2.51,5.29,4.97
"gsm52665","nonUL",3.6,1.38,3.66,-0.51,2.54,3.75,2.81,5,6.68,6.93,3.22,6.08,5.09,2.41,5.88,5.09
"gsm52666","nonUL",1.2,1.43,4.56,-1.74,2.1,1.38,4.09,4.81,6.24,6.54,3.12,5.96,5.41,3.26,5.74,5.02
"gsm52667","nonUL",1.43,0.49,0.68,-0.51,0.85,3.46,3.67,5.97,6.84,6.92,0,6.06,5.83,1.77,4.98,4.26
"gsm52668","nonUL",1.26,0.77,3.7,-1.32,4.19,0.14,3.19,4.13,5.46,6.05,-1,6.54,5.73,2.83,5.01,4.42
"gsm52669","nonUL",1.26,0.14,4.7,2,2.43,3.29,0.49,4.78,5.91,6.52,3.58,5.98,5.75,2.46,5.26,4.16
"gsm52670","nonUL",2.29,0.77,4.19,-3.32,1.85,-0.51,4.36,4.7,6.99,7.29,0.26,6.19,4.9,1.63,4.61,4.58
"gsm52671","nonUL",0.93,-0.51,3.15,-1.32,3.23,2.61,4.94,4.18,5.35,6.28,2.54,6.58,5.24,1.54,4.33,4.33
"gsm9098","nonUL",1.81,2.68,0.58,-0.74,1.81,0.77,5.59,5.51,5.73,7.03,1.14,7.16,5.86,3.29,6.12,5.62
"gsm9099","nonUL",5.29,1,5.07,2.26,2.98,0.93,4.68,5.56,6.6,6.78,3.7,7.12,5.83,5.02,5.88,4.46
"gsm9100","nonUL",2.04,1.68,1.49,-2.32,2.81,1.2,5.11,5.51,6.83,7.36,2.49,7.56,5.52,2.43,5.28,3.54
"gsm9101","nonUL",1.77,0.14,4.19,-1,4.11,0,5.36,5.16,6.1,7.14,1.2,7.19,6.19,4.55,5.39,3.69
"gsm9102","nonUL",1.63,1.32,4.31,-2.32,5.52,-1,5.17,4.93,6.57,6.76,1.58,7.3,6.16,2.87,5.12,4.55
"gsm569424","nonUL",4.78,4.49,4.08,3.46,5.61,4.15,5.25,4.73,7.04,5.07,5.53,6.51,6.65,5.9,6.25,4.5
"gsm569425","nonUL",4.46,3.98,3.96,3.36,4.87,4.01,4.87,4.58,6.27,5.51,5.04,5.8,5.7,5.04,5.95,4.02
"gsm569426","nonUL",4.28,3.91,3.87,3.42,5.07,3.95,5.28,4.59,6.29,4.84,4.34,5.21,5.45,4.96,6.02,4.29
"gsm569427","nonUL",4.46,3.8,3.8,3.45,4.5,3.88,4.92,4.8,5.82,5.12,4.49,5.63,5.53,4.93,5.66,4.02
"gsm569428","nonUL",4.39,3.74,3.94,3.5,4.47,3.94,4.98,4.88,6.4,6.11,4.26,5.89,4.96,4.85,6.06,4.38
"gsm1667147ul","UL",5.64,5.21,5.22,6.74,2.29,4.26,7.52,7.82,12.21,8.11,8.33,10.01,7.83,6.13,5.95,2.67
"gsm1667148ul","UL",7.45,5.29,6.34,6.22,3.78,4.05,6.6,6.06,12.61,8.39,8.44,10.99,5.71,6.81,3.05,2.57
"gsm1667149ul","UL",3.14,6.42,6.92,7.89,5.38,7.98,6.9,7.91,6.78,9.75,9.32,11.15,7.08,8.79,3.14,4.96
"gsm336202ul","UL",3.57,2.86,-0.32,2.97,4.1,-0.15,4.6,6.37,6.09,7.47,4.92,7.46,4.93,4.36,5.27,2.39
"gsm336203ul","UL",3.86,3.48,3.68,3.89,5,3.54,5.22,6.18,7.07,7.84,4.4,7.58,4.87,4.46,5.76,3.11
"gsm336204ul","UL",3.45,3.41,4.36,2.95,5.45,3.88,4.24,6.09,7.24,8.3,5.16,6.87,5.1,3.18,6.01,2.67
"gsm336205ul","UL",5.7,4.09,5.06,2.91,5.44,4.19,4.6,6.86,7.11,6.98,4.78,6.79,4.5,4.73,5.37,2.37
"gsm336206ul","UL",2.2,4.64,4.36,2.38,6.08,3.77,4.1,6.7,7.72,7.55,5.16,6.96,4.91,4.14,5.41,2.77
"gsm336207ul","UL",1.38,3.46,4.04,2.87,5.56,0.93,2.91,5.94,6.69,7.42,5.23,7.36,5.29,4.64,5.41,2.98
"gsm336208ul","UL",5.7,4.03,5.2,2.8,5.68,-0.15,3.82,6.53,7.7,8.66,4.63,6.53,4.86,3.7,6.35,3.26
"gsm336209ul","UL",4.49,3.6,5.48,1.1,5.59,2.14,4.89,6.5,7.58,8.18,4.42,7.63,5.16,3.66,6.37,3.72
"gsm336210ul","UL",5.48,4.1,4.58,1.35,5.88,2.72,4.87,6.26,7.57,8.53,5.08,6.73,4.62,4.26,5.53,3.04
"gsm336211ul","UL",3.35,3.74,4.83,2.94,5.52,3.32,4.15,6.84,6.53,7.62,5.03,6.71,5.12,3.85,6.07,3.22
"gsm336212ul","UL",3.05,3.71,4.85,1.66,5.64,3.31,4.92,6.97,6.76,7.51,4.66,6.27,5.01,4.47,6.14,2.69
"gsm336213ul","UL",3.26,4.51,3.86,1.81,6.02,1.32,5.31,5.62,6.75,8.83,5.1,7.04,5.12,4.75,5.85,4.15
"gsm336214ul","UL",2.29,3.94,4.29,2.71,5.46,3.57,5.29,7.89,7.36,7.61,4.69,6.26,5.13,4.09,5.94,3.04
"gsm336215ul","UL",3.61,3.72,3.62,0.63,5.72,3.98,3.82,6.25,6.78,7.81,4.42,6.48,5.1,4.13,5.43,2.83
"gsm336216ul","UL",4.14,3.63,3.56,2.6,4.42,3.04,4.45,7.32,7.51,8.77,4.88,6.19,4.94,4.26,6.13,2.34
"gsm336217ul","UL",0.14,3.15,-0.32,0.32,5.03,-0.32,3.58,5.17,5.49,7.9,5.1,6.62,5.07,3.8,4.64,1.69
"gsm336218ul","UL",3.54,4.49,4.17,2,6.06,3.07,5.33,6.69,7.53,7.81,4.05,7.74,5.19,4.66,5.23,2.88
"gsm336219ul","UL",4.64,3.53,3.12,2.14,6.13,-0.15,5.03,6.55,7.38,7.61,4.7,6.43,4.65,3.53,5.89,7.46
"gsm336220ul","UL",1.93,4.06,0.85,0.63,4.53,2.04,3.69,6.44,6.47,7.73,3.98,6.12,5.17,4.37,5.14,2.69
"gsm336221ul","UL",3.79,2.62,3.04,2.72,3.91,3.56,1.38,7.03,6.07,7.02,4.82,6.64,5.16,4.37,5.33,2.68
"gsm336222ul","UL",0.14,2.67,0.77,0.43,4.54,3.32,2.87,5.68,7.04,8.22,4.61,6.98,5.02,3.77,5.56,2.82
"gsm336223ul","UL",1.89,3.76,3.42,0.77,3.9,1.38,3.99,6.25,7.06,7.58,4.42,6.93,5.49,4.02,5.54,2.89
"gsm336224ul","UL",4.17,4.49,5.7,1.17,5.66,3.86,2.07,6.47,7.72,7.94,4.58,6.91,4.9,4.19,5.14,3.14
"gsm336225ul","UL",2.38,2.97,4.89,2.45,5.27,3.1,1.89,6.6,7.56,8.26,5.36,6.92,5.48,3.53,5.26,2.69
"gsm336226ul","UL",1.49,6.4,-0.51,2.41,5.04,2.41,7.03,6.41,4.82,7.13,4.53,6.84,4.86,3.2,5.07,7.25
"gsm336227ul","UL",2.56,3.98,2.35,3.19,6.04,1.85,3.2,6.49,6.04,6.8,5.26,7.28,5.15,4.66,6.41,7.38
"gsm336228ul","UL",1.14,5.12,2.7,0,4.49,1.2,7.32,7.06,6.68,6.66,4.84,7.29,5.13,4.17,6.61,6.3
"gsm336229ul","UL",2,2.8,2.68,1.43,4.93,4.65,6.31,6.54,6.5,7.75,4.51,7.27,5.26,3.9,5.71,2.08
"gsm336230ul","UL",0.77,2.94,0.38,1.23,5.5,2.83,4.02,6.38,6.11,7.64,4.66,6.83,4.86,3.95,5.54,1.98
"gsm336231ul","UL",2.38,3.16,3.38,1.29,5.14,3.43,5.36,7.15,6.42,7.23,3.58,7.36,4.84,4.34,5.86,2.64
"gsm336232ul","UL",3.05,3.61,2.74,0.77,4.52,0.58,3.34,7.19,6.38,7.83,4.69,6.51,5.24,4.57,6,3.59
"gsm336233ul","UL",1.2,4.18,2.46,0,5.14,1.68,4.66,5.38,6.71,8.6,4.51,6.96,5.24,4.28,5.54,4.51
"gsm336234ul","UL",2.35,5.18,1.14,0.07,5.48,0.38,4.43,5.44,6.5,7.54,5.51,6.71,5.23,4.51,5.27,4.09
"gsm336235ul","UL",4.3,4.22,6.34,2.12,5.23,3.25,3.46,6.27,7.2,7.12,4.52,6.19,4.68,4.32,5.09,2.96
"gsm336236ul","UL",3.14,4.63,6.46,0.26,5.55,3.19,4.23,6.38,6.75,6.95,3.89,6.39,4.79,3.51,5.03,2.32
"gsm336237ul","UL",4.34,4.11,6.05,2.7,5.27,3.14,4.49,7.15,7.69,8.02,4.45,6,4.65,4.3,5.77,3.48
"gsm336238ul","UL",1.96,4.42,1.49,1,5.83,1.14,4.66,5.26,6.13,7.45,4.4,7,5.02,4.29,5,3.68
"gsm336239ul","UL",1.07,2.2,1.32,3.49,6.31,4.53,5.6,5.26,6.84,7.81,4.92,6.26,5.45,5.17,6.3,4.54
"gsm336240ul","UL",1.85,4,4.42,2.7,5.87,4.22,4.55,6.03,6.37,7.06,4.43,6.37,4.94,4.13,5.47,2.72
"gsm336241ul","UL",0.77,3.41,-0.51,3.42,4.74,4.5,5.13,6.34,5.8,6.74,4.87,6.33,4.95,3.81,4.82,1.87
"gsm336242ul","UL",2.1,4.25,3.62,1.23,5.18,2.29,4.64,6.15,6.54,7.13,4.05,7.35,4.98,4.42,5.5,3.48
"gsm336243ul","UL",1.43,2.68,2.32,2.54,4.5,2.87,1.81,7.02,6.35,8.04,4.69,7.17,4.88,4.3,5.59,4.33
"gsm336244ul","UL",5.31,3.15,5.23,3.3,5.56,2.54,4.65,6.59,7.58,8.53,5.35,6.19,4.75,3.58,6.44,3.9
"gsm336245ul","UL",1.2,3.19,2.87,3.05,4.32,3.9,1.93,6.36,6.26,7.81,4.95,7.36,4.93,3.96,5.5,2.52
"gsm336246ul","UL",4.19,3.5,3.26,2.32,5.63,3.94,4.31,6.1,7.12,7.91,5.26,7.4,5.68,4.29,5.07,4.02
"gsm336247ul","UL",0.93,4.52,2.41,-1.15,4.06,2,6.37,5.66,5.76,6.68,4.75,8.05,4.25,4.17,4.76,1.96
"gsm336248ul","UL",-0.74,1.07,1.43,0.77,3.95,0.85,1.43,6,6.17,6.98,5.28,6.71,5.01,3.88,4.88,2.6
"gsm336249ul","UL",-0.15,2.36,1.07,0.38,5.05,3.25,4.53,6.79,6.11,7.74,5.09,6.82,5.63,4.17,6.03,2.73
"gsm336250ul","UL",1,3.69,0.49,3.17,6.05,2.26,4.49,7.33,6.16,7.97,4.28,6.67,5.1,4.16,5.96,2.96
"gsm336251ul","UL",1.81,0.49,1.14,3.35,5,3.26,3.67,7.16,7.07,8.49,4.64,6.23,6.21,3.4,6.14,3.06
"gsm38689ul","UL",2.17,0.49,4.07,-0.51,1.63,-0.74,1.93,5.18,5.85,6.49,2.66,6.14,5.88,3.73,4.82,5.22
"gsm38690ul","UL",1.32,1.43,3.87,-1,4.1,1,2.96,4.82,6.31,6.47,1.43,6.3,5.09,2.46,4.3,3.54
"gsm38691ul","UL",1,0.58,3.12,-1,2.51,-1.74,0.38,5.04,6.82,6.97,0.38,7.19,5.65,4.04,5.05,5.49
"gsm38692ul","UL",1.38,0,0.14,2.2,2,1.07,4.53,4.18,5.9,6.88,1,6.25,5.37,2.29,5.13,5.17
"gsm38693ul","UL",2.35,3.1,3.17,1.77,0.68,0.38,0.26,4.91,6.69,7.42,3.05,6.4,5.8,2.2,5.25,4.5
"gsm38694ul","UL",2.83,1.14,5.55,2.1,1.93,1.93,1.54,5.69,6.49,7.09,1.43,5.92,5.92,3.47,5.6,5.33
"gsm38695ul","UL",1.85,0.14,4.63,0.14,1.38,-0.15,0.49,5.44,6.15,6.96,0.49,6.18,5.96,1.93,5.62,5
