"gene","type","all","up","down","majority","CYTOBAND"
"ASPSCR1","up",48,24,24,"Equal","hs|17q25.3"
"BET1L","up",33,16,17,"FALSE","hs|11p15.5"
"CBX2","up",48,24,24,"Equal","hs|17q25.3"
"CBX7","down",43,25,18,"FALSE","hs|22q13.1"
"CCDC57","up",48,24,24,"Equal","hs|17q25.3"
"CYTH4","down",43,25,18,"FALSE","hs|22q13.1"
"FASN","up",48,24,24,"Equal","hs|17q25.3"
"GRIP1","up",6,5,1,"TRUE","hs|12q14.3"
"HMGA2","up",6,5,1,"TRUE","hs|12q14.3"
"KDELR3","up",43,25,18,"TRUE","hs|22q13.1"
"PYCR1","up",48,24,24,"Equal","hs|17q25.3"
"RAC3","up",48,24,24,"Equal","hs|17q25.3"
"SOCS3","down",48,24,24,"Equal","hs|17q25.3"
"TH","up",33,16,17,"FALSE","hs|11p15.5"
"TNRC6B","up",43,25,18,"TRUE","hs|22q13.1"
"ZNF750","down",48,24,24,"Equal","hs|17q25.3"
