"","DE","nonUL_means","nonUL_sd","ul_means","ul_sd"
"ASPSCR1",0.62227484313726,5.54636107843137,0.120165663884263,6.16863592156863,0.114006042710228
"BET1L",0.435508196078429,5.39755035294118,0.219127063035112,5.83305854901961,0.186225468690258
"CBX2",0.79536548487395,3.90738552941176,0.164399516249263,4.70275101428571,0.151906065692752
"CBX7",-0.65092223529412,9.15582562745098,0.188224901615632,8.50490339215686,0.158249608839386
"CCDC57",0.145489,4.05270882352941,0.163475702668813,4.19819782352941,0.136015550946077
"CYTH4",-0.16771960784314,5.4689808627451,0.0955256453639876,5.30126125490196,0.082272352521053
"FASN",0.22724003921569,5.28790205882353,0.0942379800912294,5.51514209803922,0.0886854366861591
"GRIP1",0.67960725490196,2.64103688235294,0.223023678829453,3.3206441372549,0.195509628282761
"HMGA2",0.0933081764705901,3.64281943137255,0.128475989271059,3.73612760784314,0.202661364967951
"KDELR3",0.72158037254902,6.76387974509804,0.100610993529294,7.48546011764706,0.116695871397373
"PYCR1",0.684223058823529,6.20698392156863,0.142049879296165,6.89120698039216,0.157646688747633
"RAC3",0.74089735294118,2.03929111764706,0.195716530344764,2.78018847058824,0.226694386135072
"SOCS3",-0.77192382352941,6.0091252745098,0.25920759139948,5.23720145098039,0.171861756071338
"TH",0.64881623529412,2.75753058823529,0.251608434470876,3.40634682352941,0.257049649498961
"TNRC6B",0.0709517647058897,6.84906501960784,0.141074902788297,6.92001678431373,0.134982480415162
"ZNF750",-0.820953999439776,1.35332331372549,0.241919072467761,0.532369314285714,0.215772343894305
