"","TYPE","ASPSCR1","BET1L","CBX2","CBX7","CCDC57","CYTH4","FASN","GRIP1","HMGA2","KDELR3","PYCR1","RAC3","SOCS3","TH","TNRC6B","ZNF750"
"gsm1667144","nonUL",7.6,8.69,3.5,13.49,6.17,7.86,5.88,2.74,2.88,7.94,10.08,4.89,8.7,5.71,9.44,3.19
"gsm1667145","nonUL",7.18,8.31,4.67,13.66,7.36,8.11,2.83,6.38,2.85,7.73,9.53,5.05,11.67,4.73,10.21,3.04
"gsm1667146","nonUL",6.72,7.83,3.26,13.09,6.61,5.94,2.81,3.51,2.71,7.19,9.37,3.5,7.57,6.89,10.83,3.23
"gsm336252","nonUL",6.17,6.29,3.44,9.26,3.44,5.06,4.95,0,2.26,7.66,5.79,1.38,8.55,2.66,6.35,0
"gsm336253","nonUL",5.71,6.01,4.79,9.57,4.76,5.34,4.95,3.74,2.42,6.57,5.33,0.68,4.55,0,7.31,2.1
"gsm336254","nonUL",5.64,5.91,4.14,9.62,3.87,4.81,5.01,3.92,2.23,7.46,6.04,0.77,7.03,3.22,7.03,-1.74
"gsm336255","nonUL",5.86,6.37,4.51,9.64,4.84,5.33,4.89,3.34,3.06,6.48,5.17,1.72,5.85,1.26,7.3,-1
"gsm336256","nonUL",6.42,6.28,3.96,9.51,3.98,5.01,4.77,2.6,2.88,6.82,5.89,1.38,4.7,2.58,6.3,1.14
"gsm336257","nonUL",5.3,6.14,5.1,9.16,4.94,6.1,6.07,3.13,4.58,7.73,6.57,2.56,8.33,3,7.12,1.07
"gsm336258","nonUL",6.74,6.35,4.35,9.9,3.44,5.08,5.05,3.7,3.15,6.45,5.36,1.63,6.75,2.85,6.84,-0.32
"gsm336259","nonUL",6.68,6.76,4.55,9.3,3.9,5.38,5.66,2.85,2.6,7.28,6.2,3.04,5.13,1,5.72,-1.74
"gsm336260","nonUL",5.42,6.19,4.33,9.41,3.76,4.47,5.54,3.6,3.05,6.85,5.31,0.26,5.91,-0.74,6.58,0.77
"gsm336261","nonUL",6.32,6.36,4.28,9.47,4.19,5.2,5.43,3.12,2.33,7.16,6.26,1.77,5.01,3.73,6.17,2.38
"gsm336262","nonUL",6.52,6.44,4.39,9.88,4.17,5.49,5.34,3.22,3.04,6.35,5.05,1.63,4.31,3.39,6.64,0.26
"gsm336263","nonUL",5.92,6.6,4.46,9.84,4.48,4.71,5.61,3.89,2.53,5.94,5.27,1,6.87,1.07,6.83,-1.32
"gsm336264","nonUL",6.56,6.42,4.32,9.75,4.08,5.27,5.16,3.73,3.07,6.47,5.63,0.68,7.6,2.89,7.52,1.38
"gsm336265","nonUL",6,6.2,4.31,9.39,4.08,5.01,5.82,2.72,3.19,7.54,6.6,1.49,6.25,4.06,6.93,1.49
"gsm336266","nonUL",5.88,6.36,4.69,9.26,3.38,5.03,5.28,3.54,2.25,7.13,6.1,1.54,6.18,1.14,6.69,1.07
"gsm336267","nonUL",5.43,6.69,4.54,9.76,4.34,4.66,5.34,3.45,2.91,6.58,5.41,1.38,5.76,0,6.9,3
"gsm336268","nonUL",6.29,6.62,4.62,9.59,4.35,5.58,6.11,3.08,3.67,7.06,6.27,1.68,4.93,1.81,6.33,-0.15
"gsm336269","nonUL",5.89,6.36,4.39,9.14,4.36,5.33,6.15,3.24,3.29,7.34,6.48,4.82,4.18,0.38,7.44,-1.32
"gsm336270","nonUL",5.04,6.23,5.62,9.11,4.24,4.93,5.7,4.3,3.96,7.23,6.07,0.77,8.97,3.32,6.98,2.49
"gsm336271","nonUL",4.81,6.26,4.87,8.48,4.73,4.52,5.08,4.68,3.97,7.1,6.46,1.26,5.36,3.51,6.94,0
"gsm336272","nonUL",5.16,6.35,4.89,8.55,4.54,4.99,5.84,3.9,4.17,8.13,6.45,1.2,6.03,0.85,6.59,3.78
"gsm336273","nonUL",3.97,5.97,5.14,9.69,4.09,4.78,4.99,3.69,3.44,6.26,5.4,1.2,4.3,1.32,7.1,2.26
"gsm336274","nonUL",5.75,6.09,4.57,9.16,4.53,5.34,5.42,3.74,3.39,7.18,5.65,1.2,10.78,4.46,6.93,2.41
"gsm336275","nonUL",6.36,6.03,4.64,9.42,4.16,5.48,4.99,4.16,3.36,7.75,5.94,1.85,7.61,1.2,7.51,-0.32
"gsm336276","nonUL",6.33,6.42,4.08,9.56,4.51,5.6,5.28,3.99,2.99,7.05,6.26,1.07,9.92,-0.15,7.49,-0.32
"gsm336277","nonUL",6.65,5.99,4.2,9.95,4.32,4.78,5.3,2.14,2.2,7.06,6.25,0.38,6.03,2.26,6.03,2.89
"gsm336278","nonUL",6.37,6.23,4.24,9.84,4.08,4.98,5.29,3.11,2.96,7.21,5.84,0.14,6.31,-1.74,7,-1
"gsm52661","nonUL",4.75,2.38,2.74,8.95,3.66,5.25,5,0.58,4.61,5.85,5.46,0.77,4.43,4.2,5.97,2.61
"gsm52662","nonUL",3.7,3.95,1.77,8.13,4.43,5.72,4.55,-0.51,4.25,6.32,5.84,1.96,3.7,3.88,6.22,2.46
"gsm52663","nonUL",4.85,1.96,1,8.76,2.63,5.82,4.78,-0.32,5.61,6,5.26,1.26,3.13,3.88,6.73,2.66
"gsm52664","nonUL",5.01,3.17,1.93,8.91,2.51,6.16,5.29,0.49,4.97,5.84,4.87,1.2,4.18,1.93,6.6,2.94
"gsm52665","nonUL",5,3.75,2.54,7.71,2.41,5.09,5.88,1.38,5.09,6.93,6.68,3.6,4.08,3.66,6.08,1.96
"gsm52666","nonUL",4.81,2.49,2.1,7.97,3.26,5.41,5.74,1.43,5.02,6.54,6.24,1.2,5.15,4.56,5.96,1
"gsm52667","nonUL",5.97,2.04,0.85,8.06,1.77,5.83,4.98,0.49,4.26,6.92,6.84,1.43,4.92,0.68,6.06,-1
"gsm52668","nonUL",4.13,4.02,4.19,9.14,2.83,5.73,5.01,0.77,4.42,6.05,5.46,1.26,5.95,3.7,6.54,2.14
"gsm52669","nonUL",4.78,3.84,2.43,8.06,2.46,5.75,5.26,0.14,4.16,6.52,5.91,1.26,4.01,4.7,5.98,2.26
"gsm52670","nonUL",4.7,3.57,1.85,6.4,1.63,4.9,4.61,0.77,4.58,7.29,6.99,2.29,3.46,4.19,6.19,0.14
"gsm52671","nonUL",4.18,1.77,3.23,8.7,1.54,5.24,4.33,-0.51,4.33,6.28,5.35,0.93,4.76,3.15,6.58,-1.32
"gsm9098","nonUL",5.51,3.78,1.81,8.87,3.29,5.86,6.12,2.68,5.62,7.03,5.73,1.81,7.47,0.58,7.16,1.85
"gsm9099","nonUL",5.56,4.54,2.98,7.87,5.02,5.83,5.88,1,4.46,6.78,6.6,5.29,6.81,5.07,7.12,5.28
"gsm9100","nonUL",5.51,5.34,2.81,7.95,2.43,5.52,5.28,1.68,3.54,7.36,6.83,2.04,7.69,1.49,7.56,-0.51
"gsm9101","nonUL",5.16,4.17,4.11,8.11,4.55,6.19,5.39,0.14,3.69,7.14,6.1,1.77,5.08,4.19,7.19,1.43
"gsm9102","nonUL",4.93,4.31,5.52,8.24,2.87,6.16,5.12,1.32,4.55,6.76,6.57,1.63,5.59,4.31,7.3,0.14
"gsm569424","nonUL",4.73,5.9,5.61,8.05,5.9,6.65,6.25,4.49,4.5,5.07,7.04,4.78,5.24,4.08,6.51,3.45
"gsm569425","nonUL",4.58,5.22,4.87,7.78,5.04,5.7,5.95,3.98,4.02,5.51,6.27,4.46,5.73,3.96,5.8,3.29
"gsm569426","nonUL",4.59,4.88,5.07,7.25,4.96,5.45,6.02,3.91,4.29,4.84,6.29,4.28,4.69,3.87,5.21,3.32
"gsm569427","nonUL",4.8,4.73,4.5,8.85,4.93,5.53,5.66,3.8,4.02,5.12,5.82,4.46,4.79,3.8,5.63,3.26
"gsm569428","nonUL",4.88,4.67,4.47,7.69,4.85,4.96,6.06,3.74,4.38,6.11,6.4,4.39,4.35,3.94,5.89,3.23
"gsm1667147ul","UL",7.82,8.64,2.29,12.54,6.13,7.83,5.95,5.21,2.67,8.11,12.21,5.64,8.34,5.22,10.01,2.46
"gsm1667148ul","UL",6.06,7.45,3.78,11.84,6.81,5.71,3.05,5.29,2.57,8.39,12.61,7.45,7.48,6.34,10.99,2.94
"gsm1667149ul","UL",7.91,9.4,5.38,12.76,8.79,7.08,3.14,6.42,4.96,9.75,6.78,3.14,5.94,6.92,11.15,3.14
"gsm336202ul","UL",6.37,6.17,4.1,9.35,4.36,4.93,5.27,2.86,2.39,7.47,6.09,3.57,7.31,-0.32,7.46,-1.32
"gsm336203ul","UL",6.18,6.45,5,8.68,4.46,4.87,5.76,3.48,3.11,7.84,7.07,3.86,6.03,3.68,7.58,-1.74
"gsm336204ul","UL",6.09,5.97,5.45,8.26,3.18,5.1,6.01,3.41,2.67,8.3,7.24,3.45,5.02,4.36,6.87,-0.51
"gsm336205ul","UL",6.86,6.16,5.44,8.35,4.73,4.5,5.37,4.09,2.37,6.98,7.11,5.7,4.1,5.06,6.79,-0.15
"gsm336206ul","UL",6.7,6.04,6.08,8.47,4.14,4.91,5.41,4.64,2.77,7.55,7.72,2.2,3.79,4.36,6.96,-1.74
"gsm336207ul","UL",5.94,6.15,5.56,8.9,4.64,5.29,5.41,3.46,2.98,7.42,6.69,1.38,4.37,4.04,7.36,-0.74
"gsm336208ul","UL",6.53,6.69,5.68,7.71,3.7,4.86,6.35,4.03,3.26,8.66,7.7,5.7,4.64,5.2,6.53,0.77
"gsm336209ul","UL",6.5,6.61,5.59,8.4,3.66,5.16,6.37,3.6,3.72,8.18,7.58,4.49,6.01,5.48,7.63,2
"gsm336210ul","UL",6.26,6.33,5.88,8.15,4.26,4.62,5.53,4.1,3.04,8.53,7.57,5.48,4.71,4.58,6.73,-1.74
"gsm336211ul","UL",6.84,6.73,5.52,8.63,3.85,5.12,6.07,3.74,3.22,7.62,6.53,3.35,4.05,4.83,6.71,-1.74
