"","ZNF750","CBX2","SOCS3","RAC3","KDELR3","GRIP1","PYCR1","TH","CBX7","ASPSCR1","BET1L","HMGA2","CYTH4","CCDC57","FASN","TNRC6B"
"gsm1667147ul",2.46,2.29,8.34,5.64,8.11,5.21,12.21,5.22,12.54,7.82,8.64,2.67,7.83,6.13,5.95,10.01
"gsm1667148ul",2.94,3.78,7.48,7.45,8.39,5.29,12.61,6.34,11.84,6.06,7.45,2.57,5.71,6.81,3.05,10.99
"gsm1667149ul",3.14,5.38,5.94,3.14,9.75,6.42,6.78,6.92,12.76,7.91,9.4,4.96,7.08,8.79,3.14,11.15
"gsm336202ul",-1.32,4.1,7.31,3.57,7.47,2.86,6.09,-0.32,9.35,6.37,6.17,2.39,4.93,4.36,5.27,7.46
"gsm336203ul",-1.74,5,6.03,3.86,7.84,3.48,7.07,3.68,8.68,6.18,6.45,3.11,4.87,4.46,5.76,7.58
"gsm336204ul",-0.51,5.45,5.02,3.45,8.3,3.41,7.24,4.36,8.26,6.09,5.97,2.67,5.1,3.18,6.01,6.87
"gsm336205ul",-0.15,5.44,4.1,5.7,6.98,4.09,7.11,5.06,8.35,6.86,6.16,2.37,4.5,4.73,5.37,6.79
"gsm336206ul",-1.74,6.08,3.79,2.2,7.55,4.64,7.72,4.36,8.47,6.7,6.04,2.77,4.91,4.14,5.41,6.96
"gsm336207ul",-0.74,5.56,4.37,1.38,7.42,3.46,6.69,4.04,8.9,5.94,6.15,2.98,5.29,4.64,5.41,7.36
"gsm336208ul",0.77,5.68,4.64,5.7,8.66,4.03,7.7,5.2,7.71,6.53,6.69,3.26,4.86,3.7,6.35,6.53
"gsm336209ul",2,5.59,6.01,4.49,8.18,3.6,7.58,5.48,8.4,6.5,6.61,3.72,5.16,3.66,6.37,7.63
"gsm336210ul",-1.74,5.88,4.71,5.48,8.53,4.1,7.57,4.58,8.15,6.26,6.33,3.04,4.62,4.26,5.53,6.73
"gsm336211ul",-1.74,5.52,4.05,3.35,7.62,3.74,6.53,4.83,8.63,6.84,6.73,3.22,5.12,3.85,6.07,6.71
"gsm336212ul",-0.32,5.64,4.18,3.05,7.51,3.71,6.76,4.85,8.75,6.97,6.17,2.69,5.01,4.47,6.14,6.27
"gsm336213ul",1.54,6.02,4.8,3.26,8.83,4.51,6.75,3.86,7.03,5.62,6.41,4.15,5.12,4.75,5.85,7.04
"gsm336214ul",-1.74,5.46,3.76,2.29,7.61,3.94,7.36,4.29,9.11,7.89,6.41,3.04,5.13,4.09,5.94,6.26
"gsm336215ul",0.49,5.72,4.83,3.61,7.81,3.72,6.78,3.62,8.58,6.25,6.28,2.83,5.1,4.13,5.43,6.48
"gsm336216ul",1.14,4.42,4.24,4.14,8.77,3.63,7.51,3.56,8.01,7.32,7.01,2.34,4.94,4.26,6.13,6.19
"gsm336217ul",2.66,5.03,5.13,0.14,7.9,3.15,5.49,-0.32,8.98,5.17,6.45,1.69,5.07,3.8,4.64,6.62
"gsm336218ul",1.2,6.06,4.3,3.54,7.81,4.49,7.53,4.17,8.53,6.69,6.45,2.88,5.19,4.66,5.23,7.74
"gsm336219ul",-0.32,6.13,4.72,4.64,7.61,3.53,7.38,3.12,7.42,6.55,6.33,7.46,4.65,3.53,5.89,6.43
"gsm336220ul",-0.51,4.53,5.3,1.93,7.73,4.06,6.47,0.85,9.33,6.44,6.36,2.69,5.17,4.37,5.14,6.12
"gsm336221ul",-0.32,3.91,4.19,3.79,7.02,2.62,6.07,3.04,9.58,7.03,6.18,2.68,5.16,4.37,5.33,6.64
"gsm336222ul",-1.32,4.54,4.61,0.14,8.22,2.67,7.04,0.77,8.24,5.68,6.14,2.82,5.02,3.77,5.56,6.98
"gsm336223ul",2.17,3.9,8.77,1.89,7.58,3.76,7.06,3.42,9.17,6.25,6.2,2.89,5.49,4.02,5.54,6.93
"gsm336224ul",0.93,5.66,5.66,4.17,7.94,4.49,7.72,5.7,8.63,6.47,6.29,3.14,4.9,4.19,5.14,6.91
"gsm336225ul",-0.15,5.27,5.31,2.38,8.26,2.97,7.56,4.89,8.56,6.6,6.1,2.69,5.48,3.53,5.26,6.92
"gsm336226ul",-3.32,5.04,6.96,1.49,7.13,6.4,4.82,-0.51,8.47,6.41,6.3,7.25,4.86,3.2,5.07,6.84
"gsm336227ul",0,6.04,6.58,2.56,6.8,3.98,6.04,2.35,9.31,6.49,6.91,7.38,5.15,4.66,6.41,7.28
"gsm336228ul",-1,4.49,4.64,1.14,6.66,5.12,6.68,2.7,8.25,7.06,6.75,6.3,5.13,4.17,6.61,7.29
"gsm336229ul",-1.32,4.93,5.39,2,7.75,2.8,6.5,2.68,8.73,6.54,6.71,2.08,5.26,3.9,5.71,7.27
"gsm336230ul",-1.32,5.5,5.05,0.77,7.64,2.94,6.11,0.38,8.78,6.38,6.11,1.98,4.86,3.95,5.54,6.83
"gsm336231ul",-2.32,5.14,4.07,2.38,7.23,3.16,6.42,3.38,9,7.15,6.65,2.64,4.84,4.34,5.86,7.36
"gsm336232ul",0.26,4.52,5.62,3.05,7.83,3.61,6.38,2.74,8.66,7.19,6.26,3.59,5.24,4.57,6,6.51
"gsm336233ul",-0.32,5.14,5.54,1.2,8.6,4.18,6.71,2.46,8.1,5.38,6.6,4.51,5.24,4.28,5.54,6.96
"gsm336234ul",2.54,5.48,5.04,2.35,7.54,5.18,6.5,1.14,7.94,5.44,6.38,4.09,5.23,4.51,5.27,6.71
"gsm336235ul",2.32,5.23,4.58,4.3,7.12,4.22,7.2,6.34,8.68,6.27,5.87,2.96,4.68,4.32,5.09,6.19
"gsm336236ul",1.81,5.55,4.75,3.14,6.95,4.63,6.75,6.46,8.95,6.38,5.83,2.32,4.79,3.51,5.03,6.39
"gsm336237ul",-0.32,5.27,4.58,4.34,8.02,4.11,7.69,6.05,8.46,7.15,6.68,3.48,4.65,4.3,5.77,6
"gsm336238ul",0.14,5.83,5.85,1.96,7.45,4.42,6.13,1.49,9.02,5.26,6.33,3.68,5.02,4.29,5,7
"gsm336239ul",-0.32,6.31,5.77,1.07,7.81,2.2,6.84,1.32,8.62,5.26,6.79,4.54,5.45,5.17,6.3,6.26
"gsm336240ul",-2.32,5.87,4.83,1.85,7.06,4,6.37,4.42,9,6.03,5.85,2.72,4.94,4.13,5.47,6.37
"gsm336241ul",1.07,4.74,3.6,0.77,6.74,3.41,5.8,-0.51,9.6,6.34,6,1.87,4.95,3.81,4.82,6.33
"gsm336242ul",2.58,5.18,9.75,2.1,7.13,4.25,6.54,3.62,8.92,6.15,6.15,3.48,4.98,4.42,5.5,7.35
"gsm336243ul",1.96,4.5,6,1.43,8.04,2.68,6.35,2.32,8.25,7.02,6.21,4.33,4.88,4.3,5.59,7.17
"gsm336244ul",-0.74,5.56,5.54,5.31,8.53,3.15,7.58,5.23,8.02,6.59,6.88,3.9,4.75,3.58,6.44,6.19
"gsm336245ul",0,4.32,7.21,1.2,7.81,3.19,6.26,2.87,9.03,6.36,6.04,2.52,4.93,3.96,5.5,7.36
"gsm336246ul",-1.32,5.63,5.42,4.19,7.91,3.5,7.12,3.26,8.66,6.1,6.22,4.02,5.68,4.29,5.07,7.4
"gsm336247ul",1,4.06,6.13,0.93,6.68,4.52,5.76,2.41,9.63,5.66,6.02,1.96,4.25,4.17,4.76,8.05
"gsm336248ul",1.63,3.95,7.06,-0.74,6.98,1.07,6.17,1.43,9.63,6,6.23,2.6,5.01,3.88,4.88,6.71
"gsm336249ul",0.26,5.05,5.19,-0.15,7.74,2.36,6.11,1.07,9.28,6.79,6.22,2.73,5.63,4.17,6.03,6.82
"gsm336250ul",-2.32,6.05,5.35,1,7.97,3.69,6.16,0.49,8.99,7.33,6.61,2.96,5.1,4.16,5.96,6.67
"gsm336251ul",-1.74,5,6.87,1.81,8.49,0.49,7.07,1.14,8.38,7.16,6.47,3.06,6.21,3.4,6.14,6.23
"gsm38689ul",2.7,1.63,4.3,2.17,6.49,0.49,5.85,4.07,7.7,5.18,4.1,5.22,5.88,3.73,4.82,6.14
"gsm38690ul",-1,4.1,3.47,1.32,6.47,1.43,6.31,3.87,7.78,4.82,1.49,3.54,5.09,2.46,4.3,6.3
