"","TYPE","DCXR","TRIOBP","DDX17","RPL3","RASSF7","CD7","GAA","IFITM3","PICK1","TBCD","SIRT3","SLC16A8","AZI1","BAIAP2","PLA2G6","SIRT7"
"gsm1667144","nonUL",9.72,10.96,9.87,16.9,7.15,5.3,13.29,15.26,6.3,11.3,9.5,6.18,10.63,8.39,8.13,9.16
"gsm1667145","nonUL",3.74,9.97,11.3,16.41,6.71,7.05,12.24,15.74,5.03,7.48,9.74,6.52,10.02,7.98,8.04,8.36
"gsm1667146","nonUL",11.23,9.66,11.14,16.24,8.33,5.6,13.5,15.78,4.49,10.72,9.08,7.12,10.08,7.83,9.28,7.96
"gsm336252","nonUL",8.67,8.19,9.91,12.84,4.88,3.69,7.7,12.48,5.1,5.79,6.12,4.67,4.61,5.08,5.79,6.48
"gsm336253","nonUL",6.98,8.4,10.27,13.18,6.02,3.34,7.74,12.38,4.77,6,6.35,1.93,4.89,4.8,6.2,6.45
"gsm336254","nonUL",7.22,7.87,10.08,12.92,5.56,2.47,7.6,12.36,4.87,5.75,6.13,4.52,4.13,5.29,6.26,6.1
"gsm336255","nonUL",7.42,8.18,10.27,13.21,6.2,4.22,7.83,12.43,6.03,6.22,6.31,3.64,5.1,5.08,6.32,6.96
"gsm336256","nonUL",7.69,8.38,10.23,13.33,6.05,3.77,8.29,12.75,6.19,6.78,6.21,1.85,5.39,5.9,6.42,6.92
"gsm336257","nonUL",7.72,8.45,10.22,13.18,6.33,5.17,7.91,12.55,4.64,6.71,6.47,3.38,6.48,5.07,6.5,6.57
"gsm336258","nonUL",7.47,8.22,10.16,12.95,5.75,3.04,8.4,12.32,5.58,6.66,6.27,3.71,5.49,5.63,6.61,7.09
"gsm336259","nonUL",7.62,8.46,10.07,13.03,6.57,3.95,8.24,12.69,5.5,6.46,6.27,2.04,5.24,5.58,6.75,7.03
"gsm336260","nonUL",6.9,8.35,10.58,13.08,6.16,3.44,6.98,12.23,4.99,5.74,6.22,1.26,4.87,4.59,6.17,6.13
"gsm336261","nonUL",7.75,8.81,10.15,13.17,6.1,3.42,7.97,12.88,5.98,6.47,5.75,1.58,5.21,5.51,6.2,6.55
"gsm336262","nonUL",7.88,8.67,10.23,13.14,6.53,2.19,8.16,12.58,6.4,6.9,6.65,2.17,5.8,5.45,6.85,6.95
"gsm336263","nonUL",7.46,8.16,10.21,12.94,6.13,2.49,8.07,12.17,5.94,6.62,6.32,4.04,5.48,4.94,6.89,6.96
"gsm336264","nonUL",8.05,8.32,10.31,12.97,6.4,3.68,7.99,12.58,6.07,6.62,6.39,2.51,5.93,5.21,6.22,6.84
"gsm336265","nonUL",7.6,7.91,10.24,13.25,6.47,4.06,8,12.18,5.82,6.08,6.22,4.18,4.11,5.02,6.18,6.78
"gsm336266","nonUL",8.08,8.13,10.12,13.23,5.77,3.98,8.21,12.75,5.31,6.32,6.44,2.79,4.31,5.21,6.38,6.67
"gsm336267","nonUL",7.62,7.9,10.22,13.04,5.86,3.58,7.97,11.7,6.11,6.27,6.45,2.17,5.51,4.56,6.6,7.13
"gsm336268","nonUL",7.68,8.05,10.07,13.04,6.22,4.36,7.85,12.36,5.09,6.39,6.16,4.09,5.66,6.05,6.79,7.01
"gsm336269","nonUL",8.84,8.25,10.31,13.36,6.85,3.29,7.68,12.68,5.65,6.44,6.59,2.17,5.45,5.06,6.61,7.17
"gsm336270","nonUL",6.19,8.15,10.35,12.92,6,2.85,7.58,11.85,5.52,4.95,6.77,3.04,3.81,4.72,6.57,6
"gsm336271","nonUL",5.53,8.34,10.56,13.38,6.44,2.94,7.07,12.38,6.18,5.33,6.5,2.46,4.54,4.83,6.43,6.15
"gsm336272","nonUL",6.48,8.46,9.82,12.45,5.97,3.52,7.46,11.93,6.03,4.34,6.22,3.92,2.29,4.29,6.39,6.62
"gsm336273","nonUL",5.5,7.95,10.15,12.83,5.75,1.79,7.15,11.28,5.77,4.97,6.57,2.91,4.13,4.93,6.36,6.04
"gsm336274","nonUL",7.86,8.08,10.31,13.55,5.7,4.74,7.89,12.81,6.24,5.88,6.15,2.1,4.31,5.54,6.14,6.38
"gsm336275","nonUL",7.84,8.59,10.25,13.4,5.56,3.64,7.3,12.8,5.9,5.91,6.4,4.81,5.51,5.3,5.94,6.58
"gsm336276","nonUL",7.82,8.37,10.5,13.68,5.96,3.15,7.53,12.84,5.99,6.17,6.41,3.81,5.77,5.22,6.57,6.64
"gsm336277","nonUL",8.03,8.32,10.15,13.12,5.97,3.91,8.03,12.42,5.75,6.55,6.28,1.49,6.14,4.99,5.97,7.17
"gsm336278","nonUL",7.51,8.13,10.05,13.18,5.7,1.98,7.92,12.46,5.22,6.19,6.07,2,4.97,4.83,5.99,7.39
"gsm52661","nonUL",6.38,8.6,9.69,12.61,6.65,2.71,7.69,10.85,5.61,6.51,6.94,2.89,4.66,5.4,6.68,5.89
"gsm52662","nonUL",6.35,8.8,9.39,12.3,6.02,1.51,6.85,11.01,4.93,5.55,6.46,2.49,3,4.38,5.56,5.69
"gsm52663","nonUL",4.7,8.75,9.65,12.65,5.55,3.22,7.18,10.98,5.21,6.22,6.47,3.56,4.67,4.86,6.4,5.99
"gsm52664","nonUL",5.6,7.91,9.88,12.46,6.34,2.26,7.2,10.67,4.99,5.63,6.6,2.96,4.66,5.16,6.58,5.63
"gsm52665","nonUL",6.62,8.62,9.96,12.39,6.49,3.74,7.1,10.01,4.32,6.44,6.54,3.04,4.74,5,6.73,6.72
"gsm52666","nonUL",6.44,8.98,9.45,12.54,6.83,3.49,7.7,10.66,5.04,6.23,6.62,4.9,4.88,5.38,6.67,6.37
"gsm52667","nonUL",7.38,9.13,8.93,12.32,6.26,3.36,7.5,11.38,5.34,6.55,6.3,3.31,4.3,5.25,6.21,5.97
"gsm52668","nonUL",7.14,7.98,9.13,12.08,6.35,2.07,7.49,10.47,4.48,5.97,6.44,2.93,3.31,4.84,6.13,5.78
"gsm52669","nonUL",7.16,8.97,9.32,12.43,6.24,2.32,7.77,11.38,4.63,6.05,6.44,3.02,3.74,5.03,6.26,5.63
"gsm52670","nonUL",6.49,8.39,9.69,12.52,6.76,1.83,6.88,10.72,4.55,6.03,6.15,3.22,4.3,4.22,6.12,6.1
"gsm52671","nonUL",6.85,8.69,9.54,12.33,6.17,3.09,6.84,10.63,4.31,5.51,6.14,2.77,4.52,5.12,6.32,5.93
"gsm9098","nonUL",5.33,8.79,10.38,12.8,6.99,2.26,7.6,11.29,6.33,6.02,6.88,3.67,4.93,5.42,6.84,6.48
"gsm9099","nonUL",7.78,8.77,10,12.93,6.88,4.5,7.9,12.19,6.86,6.54,6.46,2.98,4.75,5.04,6.59,6.74
"gsm9100","nonUL",6.81,8.77,9.6,12.68,5.87,2.04,7.68,12.54,5.8,6.46,6.7,2.79,4.96,5.5,6.44,6.22
"gsm9101","nonUL",6.85,8.67,9.58,12.65,6.89,1.85,7.8,11.78,6.35,6.2,7.2,3.55,4.83,5,6.65,6.74
"gsm9102","nonUL",7.26,8.62,9.63,12.48,6.61,3.12,7.39,11.9,5.28,6.58,6.62,3.67,4.83,5.08,6.87,6.6
"gsm569424","nonUL",6.13,8.67,9.05,12.81,7.95,5.73,7.25,10.58,6.81,6.93,7.36,6.25,5.86,5.93,7.37,5.94
"gsm569425","nonUL",6.64,9.13,9.8,12.78,6.83,4.96,7.25,11.73,6.04,6.75,6.68,5.24,5.11,5.2,6.32,5.5
"gsm569426","nonUL",6.79,8.41,9.81,12.31,6.84,4.89,6.86,10.67,6.16,6.58,6.87,4.76,5.1,5.43,6.53,5.62
"gsm569427","nonUL",7.69,8.87,9.33,12.67,6.54,4.49,7.05,11.44,6.18,6.39,6.37,4.58,5.05,5.32,6.43,5.85
"gsm569428","nonUL",7.57,9.25,9.93,12.94,6.81,4.41,6.7,11.41,5.98,6.66,6.38,4.36,5.04,5.2,6.36,5.53
"gsm1667147ul","UL",8.99,10.59,10.49,16.96,7.29,4.59,13.31,14.38,6.57,11.24,9.77,6.07,11.21,7.49,7.53,9.09
"gsm1667148ul","UL",9.31,9.47,11.62,16.59,6.54,6.99,12.68,14.25,4.6,9.9,8.99,6.48,10.14,6.85,8.82,8.13
"gsm1667149ul","UL",3.14,10.85,12.48,16.74,8.42,3.14,3.14,13.61,4.85,8.58,8.69,9.37,10.71,8.25,9.67,3.14
"gsm336202ul","UL",8.28,8.65,10.21,12.98,6.34,3.68,7.27,12.66,5.33,6.08,6.34,2.46,5.09,4.99,6.05,6.73
"gsm336203ul","UL",8.5,8.17,10.35,13.13,5.88,2.47,7.91,12.76,6.02,6.52,6.4,4.17,5.48,5.45,5.96,6.47
"gsm336204ul","UL",8.12,8.15,10.07,13.14,5.92,3.63,7.5,12.77,5.2,6.23,6.11,3.84,5.28,5.18,6.33,6.59
"gsm336205ul","UL",6.97,8.48,10.05,12.78,6.94,4.55,7.89,11.78,5.29,6.44,6.76,3.14,5.35,4.92,6.67,6.79
"gsm336206ul","UL",6.79,9.04,10.13,12.93,6.08,4.47,8,11.93,6.4,6.85,6.56,3,5.8,4.51,6.67,6.97
"gsm336207ul","UL",6.71,8.42,10.44,13.55,5.87,3.88,7.73,12.16,6.19,6.29,6.53,3.38,5.98,5.24,6.34,6.8
"gsm336208ul","UL",8.09,8.23,9.8,12.95,6.05,3.91,8.28,12.69,5.71,6.43,6.42,2.26,4.82,5.62,6.48,6.65
"gsm336209ul","UL",7.64,8.58,9.58,12.93,6.13,3.49,7.74,12.55,5.46,6.35,6.41,3.2,5.35,5.58,6.16,6.69
"gsm336210ul","UL",7.74,8.5,10.09,13.06,6.12,3.59,7.74,12.85,6.26,6.34,6.46,4.54,5.16,5.36,6.25,6.78
"gsm336211ul","UL",7.17,8.27,10.27,12.98,6.65,2.8,8.11,12.38,5.41,6.6,6.5,2.1,5.58,5.9,6.9,7.11
"gsm336212ul","UL",7.52,8.21,10.06,12.87,6.86,4.13,8.45,12.33,6.07,6.95,6.57,2.07,5.39,5.76,6.84,7.34
"gsm336213ul","UL",5.73,8.42,10.47,13.13,5.79,3.57,6.83,12.22,5.96,4.45,6.46,4.04,3.31,4.67,6.72,5.95
"gsm336214ul","UL",8.03,8.06,10.15,12.99,6.36,3.28,8.49,11.92,5.65,7.09,6.65,3.14,6.14,5.64,7.23,7.38
"gsm336215ul","UL",7.3,8.24,10.05,13.15,5.65,3.47,7.84,12.34,5.45,6.41,6.47,2.1,5.11,4.99,6.43,7.13
"gsm336216ul","UL",8.17,8.77,9.95,12.58,6.18,3.82,8.5,12.44,5.06,6.25,6.21,1.89,4.47,6.41,6.46,6.69
"gsm336217ul","UL",5.73,8.45,10.53,13.27,5.26,4.35,7.18,12.78,4.35,5.98,5.91,1.96,4.89,4.57,5.94,5.71
"gsm336218ul","UL",7.16,8.72,10.05,12.71,6.16,2.79,7.55,11.95,5.05,6.41,6.39,3.7,5.24,4.47,6.38,6.84
"gsm336219ul","UL",7.9,7.62,9.71,12.88,6.22,3.36,8.3,12.16,4.76,6.14,6.52,3.77,5.23,4.87,5.48,6.45
"gsm336220ul","UL",7.2,7.79,9.98,12.89,6.19,3.28,8.75,12.13,6.19,6.36,6.37,2.17,5.67,5.25,6.46,6.97
"gsm336221ul","UL",7.6,8.31,9.95,12.95,5.79,1.96,8.32,12.22,5.75,6.37,6.37,3.87,4.7,5.29,6.17,6.68
"gsm336222ul","UL",6.59,8.11,9.9,12.92,5.85,4,8.51,12.07,5.36,5.79,6.24,3.81,4.85,4.71,5.98,6.44
"gsm336223ul","UL",8.27,8.74,10.04,13.24,5.59,3.86,8.22,12.98,5.47,6.43,5.99,2.77,5.4,5.58,6.45,6.59
