"","TYPE","EPS8L2","TNNI2","SCT","INS","RPLP2","KDELR3","GRIP1","MICALL1","ADSL","MGAT3"
"gsm1667144","nonUL",8.32,6.01,4.57,5.21,17.16,7.94,2.74,8.55,9.84,9.04
"gsm1667145","nonUL",7.33,5.69,5.34,7.04,17.41,7.73,6.38,7.76,10.98,6.52
"gsm1667146","nonUL",6.96,9.81,5.7,5.14,17.12,7.19,3.51,7.03,9.07,8.9
"gsm336252","nonUL",4.58,1.07,0.58,-0.15,5.8,7.66,0,8.23,8.54,4.17
"gsm336253","nonUL",4.38,0.93,0.26,0.14,6.6,6.57,3.74,7.98,8.58,4.59
"gsm336254","nonUL",4.95,0.85,1.32,0.14,4.67,7.46,3.92,7.98,8.2,4.51
"gsm336255","nonUL",5.14,1.68,0.93,1,6.14,6.48,3.34,7.55,8.47,4.54
"gsm336256","nonUL",4.73,1,0.38,0.26,4.53,6.82,2.6,8.05,8.65,4.67
"gsm336257","nonUL",5.45,3.25,2.07,1.93,6.02,7.73,3.13,8.64,8.6,4.99
"gsm336258","nonUL",4.82,1.43,1.26,-0.51,3.79,6.45,3.7,7.65,8.65,4.36
"gsm336259","nonUL",4.97,0.85,2.04,0.93,4.4,7.28,2.85,8.89,8.91,4.14
"gsm336260","nonUL",4.04,1.38,0,-0.74,6.55,6.85,3.6,7.42,8.38,4.28
"gsm336261","nonUL",5.08,0.93,0.68,1,5.09,7.16,3.12,8.78,8.64,4.17
"gsm336262","nonUL",4.46,1.38,0.85,-0.74,4.62,6.35,3.22,7.3,9.05,4.5
"gsm336263","nonUL",4.14,0.49,0.77,0.77,5.76,5.94,3.89,6.67,8.42,3.94
"gsm336264","nonUL",4.95,0.85,0.38,0.93,5.07,6.47,3.73,7.08,8.6,3.29
"gsm336265","nonUL",4.97,0.58,1.07,1.2,5.89,7.54,2.72,7.36,8.64,4.3
"gsm336266","nonUL",3.63,1,1,0.26,4.84,7.13,3.54,7.97,8.72,3.75
"gsm336267","nonUL",3.73,1.2,0.26,-0.15,5.07,6.58,3.45,6.37,8.81,4.1
"gsm336268","nonUL",4.66,2.17,1.43,2.77,4.59,7.06,3.08,7.96,8.66,5.48
"gsm336269","nonUL",4.52,1.07,1.14,0.77,6.5,7.34,3.24,8.44,8.52,4.8
"gsm336270","nonUL",3.18,0.49,0.38,0.49,6.7,7.23,4.3,7.88,8.37,4.5
"gsm336271","nonUL",4.43,1.32,0.85,0.38,6.76,7.1,4.68,7.58,8.48,4.46
"gsm336272","nonUL",4.7,2.23,0.49,1.81,6.24,8.13,3.9,8.21,8.58,4.25
"gsm336273","nonUL",3.85,0.49,0.85,1.14,6.95,6.26,3.69,6.8,8.52,4.25
"gsm336274","nonUL",4.98,1.85,1.2,1.93,6.1,7.18,3.74,7.84,8.45,4.73
"gsm336275","nonUL",4.33,0.58,0.93,1.63,6.33,7.75,4.16,7.95,8.59,4.51
"gsm336276","nonUL",5.12,1.2,2.26,2,6.19,7.05,3.99,7.6,8.31,4.82
"gsm336277","nonUL",4.04,0.77,0.26,1.58,3.19,7.06,2.14,8.46,8.74,4.69
"gsm336278","nonUL",4.8,1.81,0.85,0.38,4.96,7.21,3.11,7.12,8.66,4.56
"gsm52661","nonUL",5.18,0.58,1.49,-0.32,4.49,5.85,0.58,6.75,7.65,4.27
"gsm52662","nonUL",4.87,0.68,2,0.14,3.71,6.32,-0.51,6.83,7.82,4.38
"gsm52663","nonUL",4.75,0.93,-1,1,3.86,6,-0.32,6.66,7.65,3.96
"gsm52664","nonUL",4.88,1.63,-0.74,0.14,4.29,5.84,0.49,5.79,8.13,4.24
"gsm52665","nonUL",5.39,3.55,3.5,1.07,5.17,6.93,1.38,7.09,7.59,4.39
"gsm52666","nonUL",4.26,2.87,0.14,1,4.55,6.54,1.43,7.13,7.73,4.67
"gsm52667","nonUL",5.62,1.85,0.85,1.07,3.9,6.92,0.49,7.78,7.81,4.84
"gsm52668","nonUL",5.57,0.49,-0.32,0.68,4.02,6.05,0.77,6.38,7.81,4.3
"gsm52669","nonUL",3.68,0.26,-1.32,0.38,4.15,6.52,0.14,7.67,7.74,3.77
"gsm52670","nonUL",5.52,0.77,-1,-0.32,3.39,7.29,0.77,6.51,7.86,3.54
"gsm52671","nonUL",5.57,0.49,1.07,0.14,3.79,6.28,-0.51,6.51,7.49,3.85
"gsm9098","nonUL",6.22,1.58,0.85,1.32,2.29,7.03,2.68,6.27,7.92,4.04
"gsm9099","nonUL",4.06,2.49,2.43,2.56,2.79,6.78,1,7.18,8.02,3.93
"gsm9100","nonUL",2.72,2.32,2.77,0,4.01,7.36,1.68,7.7,7.71,4.74
"gsm9101","nonUL",5.44,3.19,-0.15,1,3.81,7.14,0.14,7.02,7.94,4.94
"gsm9102","nonUL",5.07,1.43,1.72,0.85,3.38,6.76,1.32,7.25,7.74,5.37
"gsm569424","nonUL",6.09,5.23,6.49,4.78,4.22,5.07,4.49,6.71,6.83,6.11
"gsm569425","nonUL",5.48,4.41,4.88,4.32,3.94,5.51,3.98,7.56,7.71,5.42
"gsm569426","nonUL",5.95,4.61,4.13,4.13,4.02,4.84,3.91,7.4,7.64,5.36
"gsm569427","nonUL",5.61,4.56,4.33,4.07,3.82,5.12,3.8,7.01,8.52,4.97
"gsm569428","nonUL",5.84,4.34,3.82,3.94,4.09,6.11,3.74,7.9,8.7,5.06
"gsm1667147ul","UL",7.58,5.74,4.36,4.48,17.49,8.11,5.21,8.7,10.25,10.38
"gsm1667148ul","UL",4.67,4.43,3.58,5.44,17.71,8.39,5.29,7.72,11.03,8.86
"gsm1667149ul","UL",5.23,7.14,7.66,7.36,17.51,9.75,6.42,8.57,11.82,5.17
"gsm336202ul","UL",4.79,1.14,0.49,0,5.5,7.47,2.86,8.17,8.59,4.07
"gsm336203ul","UL",4.5,1.72,0.14,-0.51,5.09,7.84,3.48,8.2,8.62,4.53
"gsm336204ul","UL",5.14,1.14,0.68,2.41,6.37,8.3,3.41,8.59,8.76,4.77
"gsm336205ul","UL",4.93,0.68,0.26,-0.32,4.66,6.98,4.09,9.02,9.09,5.49
"gsm336206ul","UL",5.01,1.93,0.77,0.38,5.23,7.55,4.64,8.98,9.43,5.36
"gsm336207ul","UL",5.38,1.96,1.2,0.58,6.39,7.42,3.46,8.41,9.09,5.69
"gsm336208ul","UL",4.9,0.85,0.38,-0.32,5.1,8.66,4.03,8.86,8.86,4.84
"gsm336209ul","UL",4.69,1.49,1.2,0.26,4.24,8.18,3.6,8.74,8.94,5.39
"gsm336210ul","UL",4.87,0.68,0.58,0.68,5.7,8.53,4.1,8.69,9.05,5.03
"gsm336211ul","UL",4.53,1.49,0.85,0.38,5.17,7.62,3.74,8.77,8.77,5.25
"gsm336212ul","UL",4.43,1,0.77,0.14,3.8,7.51,3.71,8.9,8.83,5.18
"gsm336213ul","UL",3.01,0.68,0.93,1.54,7.28,8.83,4.51,8.33,8.63,4.86
"gsm336214ul","UL",2.87,0.93,0.26,0.49,3.71,7.61,3.94,7.25,8.91,5.14
"gsm336215ul","UL",4.21,1,1.26,1.07,5.8,7.81,3.72,7.81,9.12,4.99
"gsm336216ul","UL",4.91,0.14,1.07,0.26,3.14,8.77,3.63,8.75,8.92,4.85
"gsm336217ul","UL",4.8,1.2,0.38,-0.15,6.65,7.9,3.15,6.98,8.58,4.1
"gsm336218ul","UL",3.82,1.14,-0.15,0.93,5.29,7.81,4.49,7.79,8.81,4.69
