"","TYPE","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16"
"GSM1667144","nonUL",140415.2,138391.9,137714.4,321295.2,210342.4,131806,141254.8,171722.9,200859.9,12035.6,146782.6,175906.6,154054.4,24100.8666666667,177613.075,153537.775
"GSM1667145","nonUL",116491.666666667,136927.2,74720.7,284928.4,274898.6,132901.45,135557.9,138482.15,210342.4,18874.2,178790.85,102849.8,143577.5,101269.8,141931.85,107229.825
"GSM1667146","nonUL",202443.033333333,134994.4,90894.2,250314.1,342010.2,103499.45,172181.4,142301.25,186641.5,7183.6,129726.95,127199.2,180022.8,17953.3666666667,114247.575,101239.575
"GSM1667147UL","nonUL",43977.3,94224.2,38684.6,342010.2,258495.6,89439.5,132444.6,131025.5,176828.3,113621,118814.7,134442.5,114111.1,5800.56666666667,161103.625,111012.55
"GSM1667148UL","nonUL",71651.7333333333,56913.8,42128.5,173632.8,236074.1,64348.15,73856.6,97593.85,120359.5,84549,115100.55,50035.7,107663.5,8750.9,84888,68576.175
"GSM1667149UL","nonUL",51654.6666666667,111,8.8,258495.6,274898.6,47021.4,496.7,41689.3,175906.6,1035.4,63890.85,18743.5,122717.4,11262.0333333333,52224.85,17137.3
"GSM336202UL","nonUL",9360.9,4445.96666666667,3817.8,8749.3,5731.25,3510.1,8568.5,1826.95,3650.53333333333,937.5,7766.46666666667,3555.8,2875.8,4328.9,7345.3,9558.58333333333
"GSM336203UL","nonUL",9950.9,4965.83333333333,1941.55,10012.9,6866.75,4061.7,10751.3,2163.4,4526.03333333333,6227.1,9420.43333333333,4164.35,2638.7,3145.3,8468.2,12034.8333333333
"GSM336204UL","nonUL",9457.9,4748.23333333333,1879.6,8497.7,6027.05,3344.4,9476.6,1981,3961.2,6231.7,7760.63333333333,3285.8,2170.2,832.55,7218.4,10493.3
"GSM336205UL","nonUL",6537.5,4188.13333333333,997.6,6509.1,4168.45,2985.9,7180.4,1589.5,2995.6,4615.1,5565.03333333333,2487.65,2065.3,621.6,6321.5,7626.33333333333
"GSM336206UL","nonUL",7264.5,4064.83333333333,1405.95,7643.4,4852.65,3045.4,7786.9,1610.825,3286.33333333333,6593.1,6164.6,3131.5,2376.2,387.3,6111.95,8016.2
"GSM336207UL","nonUL",9180.8,5205.6,1648.6,12246,7138.05,4135.25,10960.2,1950.875,5776.4,9327.5,9919.5,3341.05,2258.7,531.8,10135.8,13604.9333333333
"GSM336208UL","nonUL",8150,4335.73333333333,2563.1,7818.4,5548,3854.85,8114.9,1723.725,3052.13333333333,5915.6,6800.63333333333,3196.3,2845,885.5,6827.5,8489.1
"GSM336209UL","nonUL",8896.9,4474.43333333333,3134.85,7844.3,5779.3,3332.45,8090.2,1887.2,3380.06666666667,4865.4,6783.1,3702.7,2537.3,1006.45,6999.6,9251.15
"GSM336210UL","nonUL",9222,5076.56666666667,2482.4,8869.6,6087.7,3657.4,9052.7,1917.725,3880.93333333333,7265.9,7931.16666666667,3702.55,2572,724.75,6978.7,10190.3166666667
"GSM336211UL","nonUL",6164.6,4671.36666666667,1497.4,9139.3,5379.8,2472.45,9371.6,1849.275,4021.56666666667,6650.7,7456.16666666667,4059.6,2378.7,643.35,7699,9575.6
"GSM336212UL","nonUL",6284.9,4194.13333333333,1253.1,8048.4,4790.6,2488.4,7737,1609.925,3111.53333333333,6120.3,6669.36666666667,3595.65,2220.1,660.8,6981.15,9049.63333333333
"GSM336213UL","nonUL",8279.5,5879.06666666667,1503.35,9121.1,7300.7,2870.3,12846.9,1224.8,6154.23333333333,7889.4,8672.66666666667,3066.85,976.1,383.5,7330.15,12331.7
"GSM336214UL","nonUL",4791.4,3333.3,1058,5731.8,2878.25,3103.25,8215.1,1312.075,2972.46666666667,4069.7,6368.76666666667,1903.55,2627.4,498.55,6458.8,8594.35
"GSM336215UL","nonUL",5678.9,4250.46666666667,1212,8345.7,4175.9,3638.05,8222.9,1593.575,4160.9,5511.9,7636.23333333333,2393.2,1700.5,691.25,7467.25,9766.45
"GSM336216UL","nonUL",7274.9,3923.83333333333,2843.75,6957.6,4357.6,2733.4,8011.1,1520.225,3003.8,4046.9,6181.96666666667,2918.4,4670.1,968.2,5931.4,7475.71666666667
"GSM336217UL","nonUL",7918.7,6098.1,1873.55,9850.4,7033.75,4690.1,14612.4,1083.6,5673.63333333333,1054.9,9955.26666666667,2967.65,1522.7,1255.3,9366.3,15088.7666666667
"GSM336218UL","nonUL",4125.4,2902.23333333333,1233.25,5101.3,3019.55,3117.05,7378.6,1118.3,3150.9,3823.4,4978.83333333333,1656.8,1525.9,597.8,5553,6906.88333333333
"GSM336219UL","nonUL",7017.6,3949.83333333333,927.7,5825.1,3133.15,3555.9,8789.4,1474.875,4154.9,4252.4,8080.53333333333,1682.25,2433.1,606.35,7009.45,10891.8833333333
"GSM336220UL","nonUL",7621.2,4346.66666666667,2256.55,6983.1,4346.3,3285.75,8026.4,1768.175,3185.3,1194.7,6598.03333333333,2951.8,2233.6,3064.9,6992.25,8757.21666666667
"GSM336221UL","nonUL",6218.5,3862.63333333333,1541.6,6016.6,3850.55,3488.55,7526.1,1452.525,3125.06666666667,469.3,6121.33333333333,1774.4,2523.6,1302.85,6495.5,8521.41666666667
"GSM336222UL","nonUL",8018.5,4105.46666666667,2122.2,6113.2,4663.25,2950.9,7308.4,1720.15,3161.26666666667,337.9,5589.83333333333,3044.95,1601.2,920.5,6048.5,8763.3
"GSM336223UL","nonUL",9448.5,4287.03333333333,3467.35,9177.6,5602.7,4359.9,9192.5,1964.675,3762.33333333333,203.9,7893.66666666667,3100.7,2257.3,4781.9,7975.6,10220.8666666667
"GSM336224UL","nonUL",7206.2,4816.06666666667,1418.75,8182.3,5292.65,3569,9132.1,1809.4,3847.3,6472.4,7312.96666666667,3143.35,2742.7,629.4,7194.95,9151.03333333333
"GSM336225UL","nonUL",8971.1,5237.83333333333,2953.2,9029.6,6073.65,3943.55,8999.7,2159.275,3932.73333333333,4517.6,8054.33333333333,4173.2,2263.5,1412.85,7820,10529.35
"GSM336226UL","nonUL",4556,3795.3,567.35,5230.9,3369.5,1540.45,5120.3,1428.975,2382.06666666667,4703.5,4972.16666666667,1587.5,1763.7,1972.85,5378.9,6033.96666666667
"GSM336227UL","nonUL",5144.2,3464.4,2083.4,8087,5258.1,2179.25,7273.8,1830.275,3599.56666666667,3348.4,7408.13333333333,3199.55,2676.7,3606.3,7838.3,9642.4
"GSM336228UL","nonUL",6594.6,4791.46666666667,810.3,8800.7,6328,1574.05,8088.6,2190.85,4262.76666666667,6072.5,9150.16666666667,3231.85,2007.1,99.55,9408.95,11567.9
"GSM336229UL","nonUL",6444.9,4605.93333333333,1959.4,8099.2,5018.4,3874.4,8098.4,1561.55,3745.06666666667,7090.8,7418.86666666667,3806.1,1654.5,3397.95,7948.95,10399.7666666667
"GSM336230UL","nonUL",6102.1,4131.9,2343.9,6677,3905.3,3432.5,7665.9,1467.375,3107.1,5678.7,6145.63333333333,2873.3,1529,2979.9,7020.45,9340.56666666667
"GSM336231UL","nonUL",7524.4,3791.53333333333,3239.65,8005.1,5007.7,4083,8209.9,1535.225,3619.23333333333,3653.4,6786.53333333333,3904.2,1561.7,2686.2,7740.45,9769.55
"GSM336232UL","nonUL",8104.3,4430.16666666667,1951.25,8613.6,5400.1,3100.7,9333.7,1970.675,3497.06666666667,6478.4,6894.6,4080.85,2749.6,501.15,7289.8,10252.7666666667
"GSM336233UL","nonUL",5633.2,3886.4,1114.25,5865.7,3759.3,2318.95,7703.3,1023.475,3300.03333333333,4871.8,4673.43333333333,2116.6,1223.5,654.8,5489.5,7683.86666666667
