"","TYPE","FOLH1B","STMN2","TNN","AKR1B10","DCX","CAPN6","KIAA1199","PLP1","PRL","IL17B","PPFIA4","GRP","CARTPT","GRIA2","CHI3L1","DLK1"
"GSM1667144","nonUL",22.9,37.5,6.2,6.2,8.8,1739.6,106.533333333333,125.6,108.8,283.5,24.5,28.8,28.7,168.433333333333,7.45,20.6
"GSM1667145","nonUL",32.4,25.45,5.7,12.85,8.1,323.5,97.1333333333333,228.1,37.8,248.2,5.7,7.8,19.2,36.8666666666667,35.8,5.7
"GSM1667146","nonUL",7.2,34,7.2,5.6,30.9,1061.5,60.5666666666667,352,200.8,143,7.1,62.4,12.9,192.733333333333,53.55,6
"GSM1667147UL","nonUL",55.5,853.95,271.1,5.4,1441.3,10442.8,8369.73333333333,4040.3,1219.9,3858.8,323.9,94.7,5,1221.1,24.85,89.1
"GSM1667148UL","nonUL",17.5,813.85,3098.5,5.95,12735.2,37059.4,2648.46666666667,9134.7,3621.9,984.6,139.1,9.4,10.2,2579.43333333333,109.4,826.6
"GSM1667149UL","nonUL",87675.1,18548.7,13167.2,8.8,8.8,81.8,1512.66666666667,8.8,743.5,542.5,667.9,126,8.8,950.866666666667,8.8,8.8
"GSM336202UL","nonUL",2.9,4.85,29.3,18.8,21.95,35.6666666666667,10.8,68.2,38.7,11.6,1.7,13.7,6.3,89.9,7.56666666666667,18.05
"GSM336203UL","nonUL",1.1,73.2,13.6,6,146.05,316.3,204.6,344.8,37.4,138.3,44.7,28,72.3,367.366666666667,15.1333333333333,62.5
"GSM336204UL","nonUL",18.4,128.75,249.8,3.3,763.05,1164.53333333333,445.9,812.4,49.6,331.8,97.7,235.6,1020.1,389.933333333333,10.8333333333333,41.8
"GSM336205UL","nonUL",19.3,82.3,87.4,6,1676.7,411.133333333333,281.8,3274.3,197.4,222.9,64.2,15.1,51.8,311.133333333333,29.8333333333333,54.65
"GSM336206UL","nonUL",21.8,31.65,92.7,8.8,884.35,909.3,327.95,1913.8,251.7,549.4,140.8,5,11.9,526.3,9.23333333333333,81.45
"GSM336207UL","nonUL",1.3,86.4,840.8,13.1,565.1,516.9,254,2743.9,221.1,195,62.4,2.7,41.4,305.1,18.1,73.9
"GSM336208UL","nonUL",25,57.1,75.4,3,340.25,916.233333333333,240,961.8,198.4,436,50.2,719,289.8,177.666666666667,7.7,26.4
"GSM336209UL","nonUL",12.4,19.9,69.8,16.6,1345.75,842.4,238.45,912.5,503.3,559.4,19.3,519.6,5640.1,159.5,9.3,34.35
