"","ZNF750","CBX2","SOCS3","RAC3","KDELR3","GRIP1","PYCR1","TH","CBX7","ASPSCR1","BET1L","HMGA2","CYTH4","CCDC57","FASN","TNRC6B"
"gsm1667144",3.19,3.5,8.7,4.89,7.94,2.74,10.08,5.71,13.49,7.6,8.69,2.88,7.86,6.17,5.88,9.44
"gsm1667145",3.04,4.67,11.67,5.05,7.73,6.38,9.53,4.73,13.66,7.18,8.31,2.85,8.11,7.36,2.83,10.21
"gsm1667146",3.23,3.26,7.57,3.5,7.19,3.51,9.37,6.89,13.09,6.72,7.83,2.71,5.94,6.61,2.81,10.83
"gsm336252",0,3.44,8.55,1.38,7.66,0,5.79,2.66,9.26,6.17,6.29,2.26,5.06,3.44,4.95,6.35
"gsm336253",2.1,4.79,4.55,0.68,6.57,3.74,5.33,0,9.57,5.71,6.01,2.42,5.34,4.76,4.95,7.31
"gsm336254",-1.74,4.14,7.03,0.77,7.46,3.92,6.04,3.22,9.62,5.64,5.91,2.23,4.81,3.87,5.01,7.03
"gsm336255",-1,4.51,5.85,1.72,6.48,3.34,5.17,1.26,9.64,5.86,6.37,3.06,5.33,4.84,4.89,7.3
"gsm336256",1.14,3.96,4.7,1.38,6.82,2.6,5.89,2.58,9.51,6.42,6.28,2.88,5.01,3.98,4.77,6.3
"gsm336257",1.07,5.1,8.33,2.56,7.73,3.13,6.57,3,9.16,5.3,6.14,4.58,6.1,4.94,6.07,7.12
"gsm336258",-0.32,4.35,6.75,1.63,6.45,3.7,5.36,2.85,9.9,6.74,6.35,3.15,5.08,3.44,5.05,6.84
"gsm336259",-1.74,4.55,5.13,3.04,7.28,2.85,6.2,1,9.3,6.68,6.76,2.6,5.38,3.9,5.66,5.72
"gsm336260",0.77,4.33,5.91,0.26,6.85,3.6,5.31,-0.74,9.41,5.42,6.19,3.05,4.47,3.76,5.54,6.58
"gsm336261",2.38,4.28,5.01,1.77,7.16,3.12,6.26,3.73,9.47,6.32,6.36,2.33,5.2,4.19,5.43,6.17
"gsm336262",0.26,4.39,4.31,1.63,6.35,3.22,5.05,3.39,9.88,6.52,6.44,3.04,5.49,4.17,5.34,6.64
"gsm336263",-1.32,4.46,6.87,1,5.94,3.89,5.27,1.07,9.84,5.92,6.6,2.53,4.71,4.48,5.61,6.83
"gsm336264",1.38,4.32,7.6,0.68,6.47,3.73,5.63,2.89,9.75,6.56,6.42,3.07,5.27,4.08,5.16,7.52
"gsm336265",1.49,4.31,6.25,1.49,7.54,2.72,6.6,4.06,9.39,6,6.2,3.19,5.01,4.08,5.82,6.93
"gsm336266",1.07,4.69,6.18,1.54,7.13,3.54,6.1,1.14,9.26,5.88,6.36,2.25,5.03,3.38,5.28,6.69
"gsm336267",3,4.54,5.76,1.38,6.58,3.45,5.41,0,9.76,5.43,6.69,2.91,4.66,4.34,5.34,6.9
"gsm336268",-0.15,4.62,4.93,1.68,7.06,3.08,6.27,1.81,9.59,6.29,6.62,3.67,5.58,4.35,6.11,6.33
"gsm336269",-1.32,4.39,4.18,4.82,7.34,3.24,6.48,0.38,9.14,5.89,6.36,3.29,5.33,4.36,6.15,7.44
"gsm336270",2.49,5.62,8.97,0.77,7.23,4.3,6.07,3.32,9.11,5.04,6.23,3.96,4.93,4.24,5.7,6.98
"gsm336271",0,4.87,5.36,1.26,7.1,4.68,6.46,3.51,8.48,4.81,6.26,3.97,4.52,4.73,5.08,6.94
"gsm336272",3.78,4.89,6.03,1.2,8.13,3.9,6.45,0.85,8.55,5.16,6.35,4.17,4.99,4.54,5.84,6.59
"gsm336273",2.26,5.14,4.3,1.2,6.26,3.69,5.4,1.32,9.69,3.97,5.97,3.44,4.78,4.09,4.99,7.1
"gsm336274",2.41,4.57,10.78,1.2,7.18,3.74,5.65,4.46,9.16,5.75,6.09,3.39,5.34,4.53,5.42,6.93
"gsm336275",-0.32,4.64,7.61,1.85,7.75,4.16,5.94,1.2,9.42,6.36,6.03,3.36,5.48,4.16,4.99,7.51
"gsm336276",-0.32,4.08,9.92,1.07,7.05,3.99,6.26,-0.15,9.56,6.33,6.42,2.99,5.6,4.51,5.28,7.49
"gsm336277",2.89,4.2,6.03,0.38,7.06,2.14,6.25,2.26,9.95,6.65,5.99,2.2,4.78,4.32,5.3,6.03
"gsm336278",-1,4.24,6.31,0.14,7.21,3.11,5.84,-1.74,9.84,6.37,6.23,2.96,4.98,4.08,5.29,7
"gsm52661",2.61,2.74,4.43,0.77,5.85,0.58,5.46,4.2,8.95,4.75,2.38,4.61,5.25,3.66,5,5.97
"gsm52662",2.46,1.77,3.7,1.96,6.32,-0.51,5.84,3.88,8.13,3.7,3.95,4.25,5.72,4.43,4.55,6.22
"gsm52663",2.66,1,3.13,1.26,6,-0.32,5.26,3.88,8.76,4.85,1.96,5.61,5.82,2.63,4.78,6.73
"gsm52664",2.94,1.93,4.18,1.2,5.84,0.49,4.87,1.93,8.91,5.01,3.17,4.97,6.16,2.51,5.29,6.6
"gsm52665",1.96,2.54,4.08,3.6,6.93,1.38,6.68,3.66,7.71,5,3.75,5.09,5.09,2.41,5.88,6.08
"gsm52666",1,2.1,5.15,1.2,6.54,1.43,6.24,4.56,7.97,4.81,2.49,5.02,5.41,3.26,5.74,5.96
"gsm52667",-1,0.85,4.92,1.43,6.92,0.49,6.84,0.68,8.06,5.97,2.04,4.26,5.83,1.77,4.98,6.06
"gsm52668",2.14,4.19,5.95,1.26,6.05,0.77,5.46,3.7,9.14,4.13,4.02,4.42,5.73,2.83,5.01,6.54
"gsm52669",2.26,2.43,4.01,1.26,6.52,0.14,5.91,4.7,8.06,4.78,3.84,4.16,5.75,2.46,5.26,5.98
"gsm52670",0.14,1.85,3.46,2.29,7.29,0.77,6.99,4.19,6.4,4.7,3.57,4.58,4.9,1.63,4.61,6.19
"gsm52671",-1.32,3.23,4.76,0.93,6.28,-0.51,5.35,3.15,8.7,4.18,1.77,4.33,5.24,1.54,4.33,6.58
"gsm9098",1.85,1.81,7.47,1.81,7.03,2.68,5.73,0.58,8.87,5.51,3.78,5.62,5.86,3.29,6.12,7.16
"gsm9099",5.28,2.98,6.81,5.29,6.78,1,6.6,5.07,7.87,5.56,4.54,4.46,5.83,5.02,5.88,7.12
"gsm9100",-0.51,2.81,7.69,2.04,7.36,1.68,6.83,1.49,7.95,5.51,5.34,3.54,5.52,2.43,5.28,7.56
