"","ZNF750","CBX2","SOCS3","RAC3","KDELR3","GRIP1","PYCR1","TH","CBX7","ASPSCR1","MICALL1","C1QTNF1","SLC38A10","CARD10","GRAP2","EIF4A3"
"gsm1667144",3.19,3.5,8.7,4.89,7.94,2.74,10.08,5.71,13.49,7.6,8.55,8.06,12.11,12.13,3.22,11
"gsm1667145",3.04,4.67,11.67,5.05,7.73,6.38,9.53,4.73,13.66,7.18,7.76,7.14,11.83,11.26,4.04,2.51
"gsm1667146",3.23,3.26,7.57,3.5,7.19,3.51,9.37,6.89,13.09,6.72,7.03,6.42,11.88,10.94,3.76,9.92
"gsm336252",0,3.44,8.55,1.38,7.66,0,5.79,2.66,9.26,6.17,8.23,5.86,6.05,5.42,1.32,9.56
"gsm336253",2.1,4.79,4.55,0.68,6.57,3.74,5.33,0,9.57,5.71,7.98,5.33,5.63,6.09,1.77,9.4
"gsm336254",-1.74,4.14,7.03,0.77,7.46,3.92,6.04,3.22,9.62,5.64,7.98,5.78,5.54,5.45,1.93,9.4
"gsm336255",-1,4.51,5.85,1.72,6.48,3.34,5.17,1.26,9.64,5.86,7.55,6.25,5.68,6.2,1.07,9.32
"gsm336256",1.14,3.96,4.7,1.38,6.82,2.6,5.89,2.58,9.51,6.42,8.05,5.88,5.99,6.62,1.49,9.42
"gsm336257",1.07,5.1,8.33,2.56,7.73,3.13,6.57,3,9.16,5.3,8.64,5.78,5.89,6.03,2.26,9
"gsm336258",-0.32,4.35,6.75,1.63,6.45,3.7,5.36,2.85,9.9,6.74,7.65,5.85,6.26,7.26,0.38,9.4
"gsm336259",-1.74,4.55,5.13,3.04,7.28,2.85,6.2,1,9.3,6.68,8.89,6.13,6.39,6.05,1.14,9.3
"gsm336260",0.77,4.33,5.91,0.26,6.85,3.6,5.31,-0.74,9.41,5.42,7.42,5.2,5.51,5.23,1.38,9.38
"gsm336261",2.38,4.28,5.01,1.77,7.16,3.12,6.26,3.73,9.47,6.32,8.78,5.58,6.15,6.04,3.49,9.24
"gsm336262",0.26,4.39,4.31,1.63,6.35,3.22,5.05,3.39,9.88,6.52,7.3,5.78,6.04,6.73,3.28,9.53
"gsm336263",-1.32,4.46,6.87,1,5.94,3.89,5.27,1.07,9.84,5.92,6.67,5.06,5.45,5.61,0.49,9.44
"gsm336264",1.38,4.32,7.6,0.68,6.47,3.73,5.63,2.89,9.75,6.56,7.08,5.98,6.05,6.59,3.75,9.2
