"","gsm1667147ul","gsm1667148ul","gsm1667149ul","gsm336202ul","gsm336203ul","gsm336204ul","gsm336205ul","gsm336206ul","gsm336207ul","gsm336208ul","gsm336209ul","gsm336210ul","gsm336211ul","gsm336212ul","gsm336213ul","gsm336214ul","gsm336215ul","gsm336216ul","gsm336217ul","gsm336218ul","gsm336219ul","gsm336220ul","gsm336221ul","gsm336222ul","gsm336223ul","gsm336224ul","gsm336225ul","gsm336226ul","gsm336227ul","gsm336228ul","gsm336229ul","gsm336230ul","gsm336231ul","gsm336232ul","gsm336233ul","gsm336234ul","gsm336235ul","gsm336236ul","gsm336237ul","gsm336238ul","gsm336239ul","gsm336240ul","gsm336241ul","gsm336242ul","gsm336243ul","gsm336244ul","gsm336245ul","gsm336246ul","gsm336247ul","gsm336248ul","gsm336249ul","gsm336250ul","gsm336251ul","gsm38689ul","gsm38690ul","gsm38691ul","gsm38692ul","gsm38693ul","gsm38694ul","gsm38695ul","gsm9093ul","gsm9094ul","gsm9095ul","gsm9096ul","gsm9097ul","gsm569429ul","gsm569430ul","gsm569431ul","gsm569432ul","gsm569433ul"
"DRD4",16.46,15.42,15.3,0.68,3.46,0.14,1.07,2.38,1.07,1.32,0.38,0.49,2.56,1.54,1.89,0.68,0.38,0.26,0.14,2.07,2.56,0.58,0.14,0.68,0.68,1.43,0.58,-0.15,0.49,1.26,1,0.14,0.26,0.49,0.85,0.26,-0.32,-0.15,0.58,0.26,1.96,-0.32,-0.32,1.81,0,1.54,0,0.38,0,0,4.07,2.29,1.38,0.58,-0.32,0.49,1.85,1,3.87,2.94,1.68,4.17,1.85,4.01,1.68,4.86,4.72,4.46,4.05,4.21
"SCT",4.36,3.58,7.66,0.49,0.14,0.68,0.26,0.77,1.2,0.38,1.2,0.58,0.85,0.77,0.93,0.26,1.26,1.07,0.38,-0.15,0.68,0.38,0.14,1,0.68,0.38,1.68,0.38,1.14,0.58,0.49,0.49,0.38,0.77,1.49,0.26,0.38,0.38,0.58,0.26,1,0.38,0,0.77,0,1.49,0.38,1.58,2.49,0.49,0.68,0.49,0,-1,-0.32,-0.74,0.38,0.26,0.26,0.58,0.49,1.2,0.38,3.19,1.38,5.76,5.74,4.39,4.34,4.15
"LGALS2",9.91,9.26,6.53,5.29,5.08,4.52,1.81,4.41,5.9,4.19,3.22,3.49,5.21,4.73,4.71,2.38,7.17,1.68,3.73,3.04,2.07,6.54,5.8,8.99,6.56,6.45,7.22,0.38,2.2,2.17,3.39,4.6,2.68,2.66,2.41,1.81,5.7,2.79,5.14,4.99,4.87,5.17,5.31,4.77,1.07,5.02,6.71,6.25,3.83,7.46,2.23,0.38,1.85,6.99,6.69,5.54,0.49,6.08,5.98,4.98,5.46,3.63,2.56,5.58,5.64,5.21,5.25,5.01,5.14,5.58
"MICALL1",8.7,7.72,8.57,8.17,8.2,8.59,9.02,8.98,8.41,8.86,8.74,8.69,8.77,8.9,8.33,7.25,7.81,8.75,6.98,7.79,6.71,7.72,7.46,8.37,8.53,8.69,8.55,8.38,8.69,8.69,8.4,8.14,8.14,8.57,8.1,7.94,8.41,8.09,8.17,8.02,7.36,7.73,7.57,7.47,8.45,8.93,7.79,8.67,7.65,8.09,7.91,7.78,8.18,7.02,7.3,7.81,6.78,7.24,7.65,6.78,7.58,7.51,7.45,7.7,7.95,7.27,7.75,7.95,7.09,8.79
"JOSD1",11.2,11.56,12.69,8.63,8.5,8.07,8.35,8.69,8.22,7.51,8.92,8.59,8.42,8.56,7.59,8.67,8.43,8.3,8.27,8.39,7.73,8.47,8.14,8.33,8.56,8.75,8.05,8.23,8.98,8.47,8.46,8.17,8.41,8.05,7.72,7.76,8.7,8.59,8.27,7.57,7.97,8.48,8.31,8.49,8.28,8.52,8.28,8.27,8.31,8.33,8.59,8.65,8.49,6.62,7.16,6.88,7.04,7.02,6.68,6.85,7.74,6.82,7.53,7.3,7.85,7.46,6.76,7.28,7.57,7.99
"GTPBP1",10.89,10.63,11.84,5.77,5.71,5.42,5.72,6,5.69,5.92,5.63,5.81,5.75,5.87,4.95,5.58,5.6,6.06,5.44,5.9,5.4,5.76,6,5.72,6.02,5.82,5.94,6.12,6.35,6.58,5.63,5.7,5.91,5.87,5.54,5.35,5.76,5.71,5.95,4.93,4.8,5.48,5.84,5.88,5.78,6.01,5.8,6.05,5.61,5.96,5.74,5.46,5.94,5.64,5.48,5.26,5.49,5.19,5.35,5.01,5.02,5.65,5.1,5.52,5.81,6.63,6.67,6.27,6.02,6.21
"CBX7",12.54,11.84,12.76,9.35,8.68,8.26,8.35,8.47,8.9,7.71,8.4,8.15,8.63,8.75,7.03,9.11,8.58,8.01,8.98,8.53,7.42,9.33,9.58,8.24,9.17,8.63,8.56,8.47,9.31,8.25,8.73,8.78,9,8.66,8.1,7.94,8.68,8.95,8.46,9.02,8.62,9,9.6,8.92,8.25,8.02,9.03,8.66,9.63,9.63,9.28,8.99,8.38,7.7,7.78,6.65,6.7,6.8,7.22,6.85,6.77,7.91,8.24,7.02,7.53,8.38,7.07,7.82,7.05,7.52
"TAB1",9.14,5.28,3.14,5.13,6.02,5.39,5.72,5.49,5.24,5.69,5.62,5.87,5.93,5.63,5.38,5.83,5.61,5.91,5.22,5.5,4.59,5.3,6.08,4.52,5.6,5.58,5.85,6.09,6.23,6.01,5.12,5.37,5.3,5.3,5.75,5.38,5.39,5.31,5.56,5.07,5.77,5.88,5.42,6.17,5.75,6.33,5.61,6.04,5.68,5.29,5.78,5.94,5.29,3.81,4.42,4.43,4.68,3.67,4.69,4.84,4.63,4.47,3.94,3.82,5.61,5.44,5.32,5.09,4.74,5.1
"CDC42EP1",9.26,9.37,9.96,6.03,5.62,5.35,6.34,5.9,5.43,6.93,6.86,6.48,6.92,6.93,5.95,6.84,6.47,7.99,6.26,6.19,5.57,7.32,6.54,5.9,6.93,5.88,6.44,5.69,7.55,5.99,6.79,7.1,7.01,6.27,6.83,6.4,6.28,5.1,7.24,5.87,6.22,6.21,6.15,6.17,6.07,6.73,6.82,6.02,4.71,6.86,7.02,6.88,7.06,6.97,5.53,6.5,5.89,6.7,7.31,6.1,7.2,6.64,5.93,6.7,7.25,7.11,6.48,7.29,6.3,6.17
"GALR3",14.1,12.87,13.56,1.43,2.58,3.64,4.04,4.36,2.87,3.34,4.25,4.13,4.34,2.72,4.87,3.25,4.05,5.04,1.54,3,4.47,3.2,3.79,3.25,4.69,4.52,3.19,2.89,3.73,3.12,1.26,1.38,4.71,4.77,3.47,5.65,4.73,2.35,5.5,2.85,4.93,2.61,1.93,3.05,4.22,3.46,4.15,3.15,2.68,3.31,3.35,4.63,5.2,3.42,4.41,5.35,5.45,5.06,5.33,4.14,4.77,4.73,4.09,4.66,4.56,6.38,6.42,5.8,5.74,5.53
