"chromosome","genes","type","all","up","down","majority"
"chr12","IRAK3","down",6,5,1,"FALSE"
"chr12","GRIP1","up",6,5,1,"TRUE"
"chr12","LEMD3","up",6,5,1,"TRUE"
"chr12","LLPH","up",6,5,1,"TRUE"
"chr12","HMGA2","up",6,5,1,"TRUE"
"chr12","GNS","up",6,5,1,"TRUE"
"chr22","RAC2","down",43,25,18,"FALSE"
"chr22","JOSD1","up",43,25,18,"TRUE"
"chr22","PICK1","up",43,25,18,"TRUE"
"chr22","CARD10","down",43,25,18,"FALSE"
"chr22","APOBEC3G","down",43,25,18,"FALSE"
"chr22","DDX17","up",43,25,18,"TRUE"
"chr22","NOL12","up",43,25,18,"TRUE"
"chr22","SGSM3","up",43,25,18,"TRUE"
"chr22","CBX7","down",43,25,18,"FALSE"
"chr22","ADSL","up",43,25,18,"TRUE"
"chr22","LGALS2","down",43,25,18,"FALSE"
"chr22","TRIOBP","down",43,25,18,"FALSE"
"chr22","CDC42EP1","down",43,25,18,"FALSE"
"chr22","EIF3L","up",43,25,18,"TRUE"
"chr22","MFNG","down",43,25,18,"FALSE"
"chr22","MICALL1","up",43,25,18,"TRUE"
"chr22","POLR2F","up",43,25,18,"TRUE"
"chr22","CYTH4","down",43,25,18,"FALSE"
"chr22","GALR3","down",43,25,18,"FALSE"
"chr22","DNAL4","up",43,25,18,"TRUE"
"chr22","SLC16A8","down",43,25,18,"FALSE"
"chr22","DMC1","down",43,25,18,"FALSE"
"chr22","GRAP2","down",43,25,18,"FALSE"
"chr22","CSNK1E","up",43,25,18,"TRUE"
"chr22","H1F0","down",43,25,18,"FALSE"
"chr22","APOBEC3F","up",43,25,18,"TRUE"
"chr22","RPL3","up",43,25,18,"TRUE"
"chr22","ATF4","up",43,25,18,"TRUE"
"chr22","MGAT3","up",43,25,18,"TRUE"
"chr22","TAB1","up",43,25,18,"TRUE"
"chr22","APOBEC3C","up",43,25,18,"TRUE"
"chr22","MKL1","down",43,25,18,"FALSE"
"chr22","NPTXR","up",43,25,18,"TRUE"
