"","GENE_NAME","strand","CYTOBAND"
"ASPSCR1","alveolar soft part sarcoma chromosome region, candidate 1","+","hs|17q25.3"
"C1QTNF1","C1q and tumor necrosis factor related protein 1","+","hs|17q25.3"
"CARD10","caspase recruitment domain family, member 10","-","hs|22q13.1"
"CBX2","chromobox homolog 2","+","hs|17q25.3"
"CBX7","chromobox homolog 7","-","hs|22q13.1"
"EIF4A3","eukaryotic translation initiation factor 4A3","-","hs|17q25.3"
"GRAP2","GRB2-related adaptor protein 2","+","hs|22q13.1"
"GRIP1","glutamate receptor interacting protein 1","-","hs|12q14.3"
"KDELR3","KDEL (Lys-Asp-Glu-Leu) endoplasmic reticulum protein retention receptor 3","+","hs|22q13.1"
"MICALL1","MICAL-like 1","+","hs|22q13.1"
"PYCR1","pyrroline-5-carboxylate reductase 1","-","hs|17q25.3"
"RAC3","ras-related C3 botulinum toxin substrate 3 (rho family, small GTP binding protein Rac3)","+","hs|17q25.3"
"SLC38A10","solute carrier family 38, member 10","-","hs|17q25.3"
"SOCS3","suppressor of cytokine signaling 3","-","hs|17q25.3"
"TH","tyrosine hydroxylase","-","hs|11p15.5"
"ZNF750","zinc finger protein 750","-","hs|17q25.3"
