"GENE","CYTOBAND","GENE_SYMBOL","GSM1667144","GSM1667145","GSM1667146","GSM336252","GSM336253","GSM336254","GSM336255","GSM336256","GSM336257","GSM336258","GSM336259","GSM336260","GSM336261","GSM336262","GSM336263","GSM336264","GSM336265","GSM336266","GSM336267","GSM336268","GSM336269","GSM336270","GSM336271","GSM336272","GSM336273","GSM336274","GSM336275","GSM336276","GSM336277","GSM336278","GSM52661","GSM52662","GSM52663","GSM52664","GSM52665","GSM52666","GSM52667","GSM52668","GSM52669","GSM52670","GSM52671","GSM9098","GSM9099","GSM9100","GSM9101","GSM9102","GSM569424","GSM569425","GSM569426","GSM569427","GSM569428"
158,"hs|22q13.1","ADSL",914.2,2022.1,537,373.5,382.25,293.05,354.2,401.7,388.1,400.35,480.3,333.5,398.95,530.3,341.8,387.95,398.6,420.55,447.4,405.85,366.15,330.35,356.75,383.95,365.95,349.8,386.2,316.35,426.7,403.55,201,225.5,200.2,280.25,193.15,213,224.7,224.55,213.15,232.1,179.95,242.85,260.05,210.05,246.25,213.15,113.65,209,199.45,367.65,416.8
468,"hs|22q13.1","ATF4",31934.85,52202.95,44497.1,3233.6,2911.5,3303.5,2803.5,3489.9,4166.4,3204.4,4015.2,2447.7,4017.7,3367,2836.2,2754,2524.3,2952.1,2391.4,3117.3,2976.1,1950.5,1291.3,2444.7,2255.3,3445.8,3089,3306,3439.5,3145.8,1302.5,1138.6,1163.9,1230.7,957.1,778.8,1588.9,1296.9,1223.5,652.7,735,1362.4,1379.7,1873.1,1096.9,1236.7,556.8,1084.2,642.5,1179.2,855.7
1454,"hs|22q13.1","CSNK1E",18748.9333333333,4255.96666666667,22528.3333333333,51.8,52.05,43.2,60.05,78.25,64.8,80,58.8,30.05,46.25,73.5,56.35,73.3,52.65,81.3,66.9,55.7,31.8,29.15,40.7,34.8,59.95,100.6,43.6,117.35,47.8,59.45,5.1,15.6,8.5,5.8,9.8,7.4,9.7,6,10,7.5,11.5,21.6,21.1,16.8,14.7,16.3,143.2,100.3,74.3,69.1,82.1
3005,"hs|22q13.1","H1F0",2543.4,5.7,1875.8,773.8,898.7,483.6,423.6,640.2,814.8,775.1,1265.4,1603.4,1426,1252.3,1049.3,809,669.8,360.4,1413.8,1048.2,886.6,658.8,301.7,683,774,787.7,635,724,347,843.7,363.5,309.4,613,428.3,488,396.2,332.9,408.9,544.4,209.7,429.5,392.5,300.3,186,349.8,533,166.6,363.9,677.3,298.9,405.7
3761,"hs|22q13.1","KCNJ4",9.7,5.7,14.2,3.5,1.1,5.55,4.35,7.35,3.85,3.05,2.4,7.4,5.1,1.75,6.25,6.95,5.65,8.2,8.65,7.75,15.65,10.95,8.3,8.25,1.7,5.55,6.35,3.85,0.75,6.85,15.3,4.15,13.75,14.35,43.35,18.1,10.4,14.2,22.85,2.25,4.1,19.05,26.15,37.2,10.55,14.8,22.65,16.15,34.05,14.9,14.6
3956,"hs|22q13.1","LGALS1",139774.3,144965.5,141254.8,7676.9,8896.4,7105.8,8740.1,10456.9,11040.2,7372.4,8715.9,8100.6,10075.5,8039.1,6370.9,7818.8,8202.7,9376.5,5489.4,8659.8,9750.3,7122.8,8640,7237.8,5615.8,11970.2,10943.4,12023.3,8235.3,8930.1,4267.8,4340.5,4647,2805.8,4453.9,3010.9,5392.4,3886.8,6571.5,4416.5,4426.2,4328.5,8110,6376.8,4358.7,4347.6,1816.9,3868.2,2479.6,4891.1,4789.5
3957,"hs|22q13.1","LGALS2",500.1,38.6,479.9,47.7,19.8,24.4,23.7,32.2,38.8,34.9,29.6,10.6,50.6,13.4,27.4,20.9,93.2,33,3.1,31.3,23.6,28.4,10.4,44.2,10.4,46.4,120.2,68.2,157.2,28.6,32.7,20.1,6.4,9,5.3,10.6,22.8,49,7.5,1.5,17.9,18.3,9.3,11.5,9.6,21.5,46.5,31.4,32.1,37,26.7
4242,"hs|22q13.1","MFNG",1613.9,745.45,1047.45,33.5,35.2,38.2,43.3333333333333,58.4666666666667,41.3333333333333,53.0333333333333,65.8333333333333,23.2666666666667,42.7333333333333,52.2,47.9333333333333,61,35.2666666666667,33.1,34.4666666666667,55.7333333333333,45.6,37.8333333333333,33.9333333333333,49.2333333333333,44.1666666666667,35.6333333333333,27.6333333333333,53,46.5333333333333,45.8333333333333,47.7333333333333,29.6666666666667,33.0333333333333,41.4666666666667,51.6333333333333,46.7333333333333,27.0666666666667,36.6,33.8666666666667,17.6,30.6666666666667,35.9666666666667,38.2333333333333,34.4,60.8666666666667,53.7666666666667,46,34.0666666666667,30.3333333333333,30.7666666666667,26.3
4248,"hs|22q13.1","MGAT3",527.2,91.8,476.7,18,24.1333333333333,22.7666666666667,23.2333333333333,25.5,31.8666666666667,20.6,17.6666666666667,19.4333333333333,18,22.7,15.3666666666667,9.76666666666667,19.7,13.4666666666667,17.2,44.6666666666667,27.8,22.6333333333333,22.0666666666667,19.0666666666667,19.0333333333333,26.6,22.7666666666667,28.1666666666667,25.8333333333333,23.5333333333333,19.3,20.8,15.55,18.9,21,25.4,28.7,19.7,13.65,11.65,14.45,16.45,15.2,26.7,30.65,41.45,69.3,42.95,41.1,31.35,33.25
5155,"hs|22q13.1","PDGFB",157.9,313.8,282.4,24.825,37.975,28.525,26.025,23,50.025,29.275,26.75,14.775,34.075,26.725,28.125,28.775,33.9,30.8,24.9,27.625,28.525,36.025,35.025,25.625,31.75,33.675,31.7,44.575,15.1,23.2,32.125,22.725,27.65,26.825,37.625,25.1,25.075,30.55,23.1,17.425,19.675,42.175,33.925,37.075,45.325,38.275,59.475,42.675,39.975,35.1,30.775
