"","GENE_NAME","strand","CYTOBAND"
"ZNF750","zinc finger protein 750","-","hs|17q25.3"
"CBX2","chromobox homolog 2","+","hs|17q25.3"
"SOCS3","suppressor of cytokine signaling 3","-","hs|17q25.3"
"RAC3","ras-related C3 botulinum toxin substrate 3 (rho family, small GTP binding protein Rac3)","+","hs|17q25.3"
"KDELR3","KDEL (Lys-Asp-Glu-Leu) endoplasmic reticulum protein retention receptor 3","+","hs|22q13.1"
"GRIP1","glutamate receptor interacting protein 1","-","hs|12q14.3"
"PYCR1","pyrroline-5-carboxylate reductase 1","-","hs|17q25.3"
"TH","tyrosine hydroxylase","-","hs|11p15.5"
"CBX7","chromobox homolog 7","-","hs|22q13.1"
"ASPSCR1","alveolar soft part sarcoma chromosome region, candidate 1","+","hs|17q25.3"
"MICALL1","MICAL-like 1","+","hs|22q13.1"
"C1QTNF1","C1q and tumor necrosis factor related protein 1","+","hs|17q25.3"
"SLC38A10","solute carrier family 38, member 10","-","hs|17q25.3"
"CARD10","caspase recruitment domain family, member 10","-","hs|22q13.1"
"GRAP2","GRB2-related adaptor protein 2","+","hs|22q13.1"
"EIF4A3","eukaryotic translation initiation factor 4A3","-","hs|17q25.3"
"RAC2","ras-related C3 botulinum toxin substrate 2 (rho family, small GTP binding protein Rac2)","-","hs|22q13.1"
"NPTX1","neuronal pentraxin I","-","hs|17q25.3"
"EPS8L2","EPS8-like 2","+","hs|11p15.5"
"TNNI2","troponin I type 2 (skeletal, fast)","+","hs|11p15.5"
"IRAK3","interleukin-1 receptor-associated kinase 3","+","hs|12q14.3"
"BET1L","blocked early in transport 1 homolog (S. cerevisiae)-like","-","hs|11p15.5"
"ADSL","adenylosuccinate lyase","+","hs|22q13.1"
"MGAT3","mannosyl (beta-1,4-)-glycoprotein beta-1,4-N-acetylglucosaminyltransferase","+","hs|22q13.1"
"CYTH1","cytohesin 1","-","hs|17q25.3"
"HRAS","v-Ha-ras Harvey rat sarcoma viral oncogene homolog","-","hs|11p15.5"
"SLC25A10","solute carrier family 25 (mitochondrial carrier; dicarboxylate transporter), member 10","+","hs|17q25.3"
"APOBEC3C","apolipoprotein B mRNA editing enzyme, catalytic polypeptide-like 3C","+","hs|22q13.1"
"APOBEC3F","apolipoprotein B mRNA editing enzyme, catalytic polypeptide-like 3F","+","hs|22q13.1"
"DNAH17","dynein, axonemal, heavy chain 17","-","hs|17q25.3"
"SCT","secretin","-","hs|11p15.5"
"CEND1","cell cycle exit and neuronal differentiation 1","-","hs|11p15.5"
"POLR2L","polymerase (RNA) II (DNA directed) polypeptide L, 7.6kDa","-","hs|11p15.5"
"FN3K","fructosamine 3 kinase","+","hs|17q25.3"
"GALR3","galanin receptor 3","+","hs|22q13.1"
"ASCL2","achaete-scute complex homolog 2 (Drosophila)","-","hs|11p15.5"
"INS","insulin","-","hs|11p15.5"
"RPLP2","ribosomal protein, large, P2","+","hs|11p15.5"
"MRPL12","mitochondrial ribosomal protein L12","+","hs|17q25.3"
"PKP3","plakophilin 3","+","hs|11p15.5"
"PNPLA2","patatin-like phospholipase domain containing 2","+","hs|11p15.5"
"FSCN2","fascin homolog 2, actin-bundling protein, retinal (Strongylocentrotus purpuratus)","+","hs|17q25.3"
"RAB40B","RAB40B, member RAS oncogene family","-","hs|17q25.3"
"AATK","apoptosis-associated tyrosine kinase","-","hs|17q25.3"
"TALDO1","transaldolase 1","+","hs|11p15.5"
"DNAL4","dynein, axonemal, light chain 4","-","hs|22q13.1"
"TOMM22","translocase of outer mitochondrial membrane 22 homolog (yeast)","+","hs|22q13.1"
"ATHL1","ATH1, acid trehalase-like 1 (yeast)","+","hs|11p15.5"
"MFNG","MFNG O-fucosylpeptide 3-beta-N-acetylglucosaminyltransferase","-","hs|22q13.1"
"FN3KRP","fructosamine 3 kinase related protein","+","hs|17q25.3"
"MKL1","megakaryoblastic leukemia (translocation) 1","-","hs|22q13.1"
"NPTXR","neuronal pentraxin receptor","-","hs|22q13.1"
"SIGIRR","single immunoglobulin and toll-interleukin 1 receptor (TIR) domain","-","hs|11p15.5"
"PSMD13","proteasome (prosome, macropain) 26S subunit, non-ATPase, 13","+","hs|11p15.5"
"TSSC4","tumor suppressing subtransferable candidate 4","+","hs|11p15.5"
"DRD4","dopamine receptor D4","+","hs|11p15.5"
"SYNGR1","synaptogyrin 1","+","hs|22q13.1"
"CDHR5","cadherin-related family member 5","-","hs|11p15.5"
"DMC1","DMC1 dosage suppressor of mck1 homolog, meiosis-specific homologous recombination (yeast)","-","hs|22q13.1"
"IGF2-AS","insulin-like growth factor 2 antisense (non-protein coding)","+","hs|11p15.5"
"EIF3L","eukaryotic translation initiation factor 3, subunit L","+","hs|22q13.1"
"FASN","fatty acid synthase","-","hs|17q25.3"
"BAHCC1","BAH domain and coiled-coil containing 1","+","hs|17q25.3"
"TMC6","transmembrane channel-like 6","-","hs|17q25.3"
"TMEM184B","transmembrane protein 184B","-","hs|22q13.1"
"LLPH","LLP homolog, long-term synaptic facilitation (Aplysia)","-","hs|12q14.3"
"MAFG","v-maf musculoaponeurotic fibrosarcoma oncogene homolog G (avian)","-","hs|17q25.3"
"CARD14","caspase recruitment domain family, member 14","+","hs|17q25.3"
"SECTM1","secreted and transmembrane 1","-","hs|17q25.3"
"C11orf21","chromosome 11 open reading frame 21","-","hs|11p15.5"
"PDE6G","phosphodiesterase 6G, cGMP-specific, rod, gamma","-","hs|17q25.3"
"CHMP6","charged multivesicular body protein 6","+","hs|17q25.3"
"CYTH4","cytohesin 4","+","hs|22q13.1"
"LEMD3","LEM domain containing 3","+","hs|12q14.3"
"NPLOC4","nuclear protein localization 4 homolog (S. cerevisiae)","-","hs|17q25.3"
"ATF4","activating transcription factor 4 (tax-responsive enhancer element B67)","+","hs|22q13.1"
"CANT1","calcium activated nucleotidase 1","-","hs|17q25.3"
"CSNK1D","casein kinase 1, delta","-","hs|17q25.3"
"WDR45L","WDR45-like","-","hs|17q25.3"
"C17orf101","chromosome 17 open reading frame 101","-","hs|17q25.3"
"FOXK2","forkhead box K2","+","hs|17q25.3"
"CTSD","cathepsin D","-","hs|11p15.5"
"SLC25A22","solute carrier family 25 (mitochondrial carrier: glutamate), member 22","-","hs|11p15.5"
"BIRC5","baculoviral IAP repeat containing 5","+","hs|17q25.3"
"CCDC57","coiled-coil domain containing 57","-","hs|17q25.3"
"CSNK1E","casein kinase 1, epsilon","-","hs|22q13.1"
"JOSD1","Josephin domain containing 1","-","hs|22q13.1"
"IRF7","interferon regulatory factor 7","-","hs|11p15.5"
"RNH1","ribonuclease/angiogenin inhibitor 1","-","hs|11p15.5"
"DUS1L","dihydrouridine synthase 1-like (S. cerevisiae)","-","hs|17q25.3"
"CD81","CD81 molecule","+","hs|11p15.5"
"LGALS1","lectin, galactoside-binding, soluble, 1","+","hs|22q13.1"
"NOL12","nucleolar protein 12","+","hs|22q13.1"
"SGSM3","small G protein signaling modulator 3","+","hs|22q13.1"
"RFNG","RFNG O-fucosylpeptide 3-beta-N-acetylglucosaminyltransferase","-","hs|17q25.3"
"GTPBP1","GTP binding protein 1","+","hs|22q13.1"
"H1F0","H1 histone family, member 0","+","hs|22q13.1"
"TAB1","TGF-beta activated kinase 1/MAP3K7 binding protein 1","+","hs|22q13.1"
"MRPL23","mitochondrial ribosomal protein L23","+","hs|11p15.5"
"CDC42EP1","CDC42 effector protein (Rho GTPase binding) 1","+","hs|22q13.1"
"HMGA2","high mobility group AT-hook 2","+","hs|12q14.3"
"TMEM80","transmembrane protein 80","+","hs|11p15.5"
"APOBEC3G","apolipoprotein B mRNA editing enzyme, catalytic polypeptide-like 3G","+","hs|22q13.1"
