"Gene","Gene_Name","Gene_Summary","GENE","CYTOBAND","Counts","UL_mean","nonUL_mean","DE","Magnitude","foldChange","GSM1667144","GSM1667145","GSM1667146","GSM336252","GSM336253","GSM336254","GSM336255","GSM336256","GSM336257","GSM336258","GSM336259","GSM336260","GSM336261","GSM336262","GSM336263","GSM336264","GSM336265","GSM336266","GSM336267","GSM336268","GSM336269","GSM336270","GSM336271","GSM336272","GSM336273","GSM336274","GSM336275","GSM336276","GSM336277","GSM336278","GSM52661","GSM52662","GSM52663","GSM52664","GSM52665","GSM52666","GSM52667","GSM52668","GSM52669","GSM52670","GSM52671","GSM9098","GSM9099","GSM9100","GSM9101","GSM9102","GSM569424","GSM569425","GSM569426","GSM569427","GSM569428","GSM1667147UL","GSM1667148UL","GSM1667149UL","GSM336202UL","GSM336203UL","GSM336204UL","GSM336205UL","GSM336206UL","GSM336207UL","GSM336208UL","GSM336209UL","GSM336210UL","GSM336211UL","GSM336212UL","GSM336213UL","GSM336214UL","GSM336215UL","GSM336216UL","GSM336217UL","GSM336218UL","GSM336219UL","GSM336220UL","GSM336221UL","GSM336222UL","GSM336223UL","GSM336224UL","GSM336225UL","GSM336226UL","GSM336227UL","GSM336228UL","GSM336229UL","GSM336230UL","GSM336231UL","GSM336232UL","GSM336233UL","GSM336234UL","GSM336235UL","GSM336236UL","GSM336237UL","GSM336238UL","GSM336239UL","GSM336240UL","GSM336241UL","GSM336242UL","GSM336243UL","GSM336244UL","GSM336245UL","GSM336246UL","GSM336247UL","GSM336248UL","GSM336249UL","GSM336250UL","GSM336251UL","GSM38689UL","GSM38690UL","GSM38691UL","GSM38692UL","GSM38693UL","GSM38694UL","GSM38695UL","GSM9093UL","GSM9094UL","GSM9095UL","GSM9096UL","GSM9097UL","GSM569429UL","GSM569430UL","GSM569431UL","GSM569432UL","GSM569433UL"
"ADIPOQ","adiponectin, C1Q and collagen domain containing","This gene is expressed in adipose tissue exclusively. It encodes a protein with similarity to collagens X and VIII and complement factor C1q. The encoded protein circulates in the plasma and is involved with metabolic and hormonal processes. Mutations in this gene are associated with adiponectin deficiency. Multiple alternatively spliced variants, encoding the same protein, have been identified. [provided by RefSeq, Apr 2010]",9370,"hs|3q27.3",1,10.8071428571429,13.6823529411765,-2.87521008403361,2.87521008403361,0.789859968062893,6.8,6.8,7.5,7.2,18.7,6.6,6.9,4.8,34.5,10.9,10.3,0.8,8,9.4,10.5,9.3,7.7,13.4,11,17.9,15.5,33.8,20.8,28.4,13.6,4.9,22.2,10.2,3.7,9.5,15.1,9,13,24.1,35,17.1,7.8,17.3,7.5,11.7,1.6,21.4,30.4,23,13.7,11.6,14.2,13.3,14.5,12.5,12.4,5.7,6.4,27,8,10.3,2.6,7.1,8.7,12.9,10.1,8.3,12.8,12.2,8.4,34.5,8.2,5,4.2,14.1,6.3,6.1,3.5,4.9,7.6,11.9,8.4,0.6,3.6,7.3,11.6,1,4,0.9,12.3,24,19.8,7.7,7.2,19.8,23.5,2.8,8,12.5,5,8.3,10.5,11.8,13.6,5,1.8,1.1,7.6,15.9,2.1,19.5,13.6,5.2,3.1,30.8,4.7,27.8,10.4,31.9,25.8,14.6,13.6,13.7,13.1,11.5,12.7
"ADRB1","adrenoceptor beta 1","The adrenergic receptors (subtypes alpha 1, alpha 2, beta 1, and beta 2) are a prototypic family of guanine nucleotide binding regulatory protein-coupled receptors that mediate the physiological effects of the hormone epinephrine and the neurotransmitter norepinephrine. Specific polymorphisms in this gene have been shown to affect the resting heart rate and can be involved in heart failure. [provided by RefSeq, Jul 2008]",153,"hs|10q25.3",1,7.18095238095238,7.78823529411765,-0.607282913165266,0.607282913165266,0.922025607826212,5.3,8.4,5.5,10.0666666666667,3.63333333333333,5.93333333333333,11.4333333333333,2,15.5333333333333,10.0666666666667,10.4666666666667,3.6,9.73333333333333,5.56666666666667,8.86666666666667,5.96666666666667,8.4,10.4666666666667,8.2,7.2,9.8,5.43333333333333,3.9,10.3333333333333,10.2,12.5333333333333,3.56666666666667,9.76666666666667,5,6.13333333333333,16.6,9.8,3.9,3.7,4.2,1.6,1.9,3.1,9.9,1,1,2.8,16.6,14.1,3.7,2.7,15.1,12.2,14.3,13.3,12.7,8.7,16.9,8.8,4.33333333333333,8.6,7,6.03333333333333,6.5,10.0666666666667,3.6,3.6,4.4,3.66666666666667,4.1,10.4,7.33333333333333,7.1,5.7,7.03333333333333,9.26666666666667,2.06666666666667,3.7,4.5,3.9,12.3333333333333,4.46666666666667,6.16666666666667,7.23333333333333,8.73333333333333,11.6333333333333,1.86666666666667,2.16666666666667,6,9.76666666666667,10.8,9.46666666666667,6.1,3.4,4,13.7,7.83333333333333,5.8,3.63333333333333,8.93333333333333,7.33333333333333,2.33333333333333,7.96666666666667,11.5,2.9,5.03333333333333,7.86666666666667,8.53333333333333,13.5666666666667,8.7,2.3,1,1.9,3,23.9,2.7,8.1,7.8,2.6,2.6,3.8,14.8,13.2,12.5,12.8,12.6
"ADRB2","adrenoceptor beta 2","This gene encodes beta-2-adrenergic receptor which is a member of the G protein-coupled receptor superfamily. This receptor is directly associated with one of its ultimate effectors, the class C L-type calcium channel Ca(V)1.2. This receptor-channel complex also contains a G protein, an adenylyl cyclase, cAMP-dependent kinase, and the counterbalancing phosphatase, PP2A. The assembly of the signaling complex provides a mechanism that ensures specific and rapid signaling by this G protein-coupled receptor. This gene is intronless. Different polymorphic forms, point mutations, and/or downregulation of this gene are associated with nocturnal asthma, obesity and type 2 diabetes. [provided by RefSeq, Jul 2008]",154,"hs|5q32",1,57.3957142857143,81.656862745098,-24.2611484593838,24.2611484593838,0.702889045160627,591.9,246.7,192.2,92.5,109.9,44,86.6,87.4,65.5,94.6,86.5,50.5,102.2,76.7,49.5,106.9,56.8,59.2,45.1,68.8,74.1,74.6,72.7,73.7,90.6,70.9,34.2,49,57.7,54.4,79.1,61.1,56.3,81.6,42.4,66.9,62.9,109.3,65.8,30.5,74,97.6,87.8,27,69.2,60.6,28.9,31.8,26.5,24.5,15.3,184.7,78.6,589.7,83,70.1,50,32.4,42.8,40.9,30.2,29.1,46.5,36.6,41.6,76.5,18.9,23,39.1,52.3,38.7,34.1,41.9,40.7,51.2,70.9,28.6,64.8,41.7,52.7,27.9,69.8,71.9,60.4,71.6,87.3,55.4,38.1,28.1,29.5,79.3,84.1,50.7,57,38.1,80.3,14.9,20.1,33,58.6,65.1,93.7,34.4,50.8,43.6,78,30.4,46.9,37.3,52.1,38,43.4,60.9,53,50.6,47,28.8,21.5,18.3,15,21.5
"AVP","arginine vasopressin","This gene encodes a member of the vasopressin/oxytocin family and preproprotein that is proteolytically processed to generate multiple protein products. These products include the neuropeptide hormone arginine vasopressin, and two other peptides, neurophysin 2 and copeptin. Arginine vasopressin is a posterior pituitary hormone that is synthesized in the supraoptic nucleus and paraventricular nucleus of the hypothalamus. Along with its carrier protein, neurophysin 2, it is packaged into neurosecretory vesicles and transported axonally to the nerve endings in the neurohypophysis where it is either stored or secreted into the bloodstream. The precursor is thought to be activated while it is being transported along the axon to the posterior pituitary. Arginine vasopressin acts as a growth factor by enhancing pH regulation through acid-base transport systems. It has a direct antidiuretic action on the kidney, and also causes vasoconstriction of the peripheral vessels. This hormone can contract smooth muscle during parturition and lactation. It is also involved in cognition, tolerance, adaptation and complex sexual and maternal behaviour, as well as in the regulation of water excretion and cardiovascular functions. Mutations in this gene cause autosomal dominant neurohypophyseal diabetes insipidus (ADNDI). This gene is present in a gene cluster with the related gene oxytocin on chromosome 20. [provided by RefSeq, Nov 2015]",551,"hs|20p13",1,15.7314285714286,19.2156862745098,-3.48425770308123,3.48425770308123,0.818676384839652,421.5,53.7,31,1.2,1.7,2.2,2.5,1.4,5.7,3,2.7,2.5,2,3.5,2.4,2.6,10.2,5.7,2.5,2.8,6,20.6,27.5,3.7,5.1,5.3,14.4,4.9,1.3,2,29.9,15.2,15.3,25.7,4.9,22.1,32.6,4.1,4.8,3,2.5,9.5,6.5,7.2,7.1,5.2,36,24.6,26.5,23.7,22,376.5,8.9,216.4,2.8,2.9,1.6,1.7,4.7,3,3.1,1.4,2.3,2.4,1.8,23.2,5.2,3.5,0.8,1.7,2.8,7.4,2.4,3.1,2.2,5.2,2.7,2,1.5,3.6,3.1,8.7,2.4,3.5,1.6,11.8,3.5,2.2,2.9,2.9,2.9,20.7,1.3,1,11.3,0.9,1.9,2.5,2.4,1.9,2.1,2.2,12.6,6,20.9,5.9,25.3,8.4,21.6,28.9,6.2,6.2,12.5,6.4,7.2,7.1,29.8,35.3,25.4,23.5,21.5
"CALCA","calcitonin related polypeptide alpha","This gene encodes the peptide hormones calcitonin, calcitonin gene-related peptide and katacalcin by tissue-specific alternative RNA splicing of the gene transcripts and cleavage of inactive precursor proteins. Calcitonin is involved in calcium regulation and acts to regulate phosphorus metabolism. Calcitonin gene-related peptide functions as a vasodilator and as an antimicrobial peptide while katacalcin is a calcium-lowering peptide. Multiple transcript variants encoding different isoforms have been found for this gene.[provided by RefSeq, Aug 2014]",796,"hs|11p15.2",2,8.49392857142857,9.34117647058824,-0.847247899159663,0.847247899159663,0.909299658150413,7.15,6.4,7.9,6.8,7.95,4.75,9.55,2.75,17.025,4.1,4.725,5.45,5.1,4.625,4.725,3.75,4.9,5.85,5.7,10.85,8.775,13,11.75,12.475,6.625,4.3,6.875,9.2,3.425,4.025,15.3,6.325,10.825,8.325,10.7,7.95,9.875,7.2,8.45,6.225,18.725,11.75,5.7,6.15,11.075,11.375,35.35,21.1,19.575,18.125,15.8,5.8,5.95,8.8,9.275,2.1,5.575,4.9,8.825,4.45,5.275,5.725,5.15,4.55,3.875,22.55,2.95,4.7,4,3.375,6.75,2.45,4.275,3.75,5.475,4.15,6.65,3.1,4.425,5.9,6,4.15,4.9,2.525,4.225,8.95,20.75,3.7,7.6,7.675,8.425,10.55,5.875,2.35,12.075,4.4,9.25,6.45,7.2,3.85,2.575,8.9,5.625,3.425,15.8,13.65,10.525,14.85,8.075,13.625,21.1,7.6,12.575,8.2,14.05,18.2,29.6,26.675,19.425,17.9,16.55
"CASR"," calcium sensing receptor","The protein encoded by this gene is a plasma membrane G protein-coupled receptor that senses small changes in circulating calcium concentration. The encoded protein couples this information to intracellular signaling pathways that modify parathyroid hormone secretion or renal cation handling, and thus this protein plays an essential role in maintaining mineral ion homeostasis. Mutations in this gene are a cause of familial hypocalciuric hypercalcemia, neonatal severe hyperparathyroidism, and autosomal dominant hypocalcemia. [provided by RefSeq, Aug 2017]",846,"hs|3q21.1",1,11.8298571428571,13.7052941176471,-1.87543697478992,1.87543697478992,0.863159669636337,5.9,5.7,5.6,9.76,9.66,6.78,9.22,4.24,16.66,8.16,13.58,10.48,14.16,7.78,6.1,9.12,4.6,16.4,6.64,6.58,14.52,16.44,19.24,16.36,6.32,8.5,14.82,16.26,4.9,9.44,19.2,18.2,22.55,11.95,12.55,21.75,20.15,3.65,9.85,15.9,9.65,28.1,19.65,20.5,5.95,19.85,36.7,27.4,25,24.1,22.4,15.8,4.8,8.8,8.34,8.92,6.12,5.56,16.64,7.2,8.98,18.02,8.98,7.34,5.18,21.44,3.38,9.76,5.22,10.28,11.32,7.12,8.92,3.7,9.42,11.82,6.86,9.66,7.54,10.74,6.32,10.36,4.52,4.62,8.5,16.7,20.16,9.7,7.06,8.6,15.28,33.38,7.02,5.14,18.1,5.22,10,12.88,14.2,6.7,6.74,8.74,10.22,7.02,5.7,7.85,10.1,7.15,12.7,8.6,9.95,17.2,32.3,9.2,11.95,28.75,30.4,37,25.25,24.75,24.2
"FSHB","follicle stimulating hormone subunit beta","The pituitary glycoprotein hormone family includes follicle-stimulating hormone, luteinizing hormone, chorionic gonadotropin, and thyroid-stimulating hormone. All of these glycoproteins consist of an identical alpha subunit and a hormone-specific beta subunit. This gene encodes the beta subunit of follicle-stimulating hormone. In conjunction with luteinizing hormone, follicle-stimulating hormone induces egg and sperm production. Alternative splicing results in two transcript variants encoding the same protein. [provided by RefSeq, Jul 2008]",2488,"hs|11p14.1",1,12.0585714285714,10.1980392156863,1.86053221288515,1.86053221288515,1.18244019007333,11.6,5.7,6.1,2.6,2.9,4.6,17.4,4.1,9.9,2.2,8.2,3.2,3.1,19.5,7,3.8,1.3,2.4,3.5,2.1,9,4.1,13.5,5,4.1,2.9,12.2,2.4,9.8,2.8,12.8,13.9,2.9,14.3,1.8,19.4,6.9,14.9,5.4,9.7,11.8,33,12.1,8.7,28.8,14.2,33.3,25.6,23,21.2,19.4,4.9,5.7,8.8,3.3,24.4,4.2,16.9,7.7,4.5,2.8,12.5,4.8,5.2,5.9,6.7,8.9,4.3,7.9,3.1,11.2,4,11.5,3.9,2.8,13.3,6.9,14.1,1.5,4.6,12.7,3,8,27.5,9.8,20,5.2,20.8,5.8,3.5,17.9,31.1,2.4,3.5,6.2,11.1,5.7,9.5,6.9,8,11.6,5.4,3.2,2.2,13.3,17.3,12.8,18.8,25,5.5,11.6,30.3,17.6,16.3,40.7,57.7,27.5,29.1,21.4,20.5,21.4
"FSHR","follicle stimulating hormone receptor","The protein encoded by this gene belongs to family 1 of G-protein coupled receptors. It is the receptor for follicle stimulating hormone and functions in gonad development. Mutations in this gene cause ovarian dysgenesis type 1, and also ovarian hyperstimulation syndrome. Alternative splicing results in multiple transcript variants. [provided by RefSeq, Mar 2010]",2492,"hs|2p16.3",1,4.38,5.16078431372549,-0.780784313725491,0.780784313725491,0.84870820668693,12.9,5.7,5.7,1.4,3.5,2.1,2.3,2.7,4.8,2.1,2,0.8,1.6,1.3,2,1.5,2.1,2,3.2,1.6,1.8,5.6,4.4,5.3,6.7,4.8,3.8,4.9,1.4,2,5.8,4.7,8.6,7.4,9.2,7.3,3,5.1,5.9,3.3,2.1,7.4,3.8,2.4,4.3,4.3,21.7,15.1,13.8,13,13,4.9,6.1,8.8,2.6,3.1,2.6,2.1,3,2.2,2.8,1.9,3,1.1,0.9,4.8,2.2,2.8,1.3,2.1,3,1.2,1.5,2.1,2.7,1.5,2.8,3.1,2.2,1.7,1.1,2,1.9,1,11.4,4.5,9,1.4,1.7,1.3,5.3,7.6,1.8,2.4,2.9,3.1,3.5,3.7,4.6,0.8,1.9,3.3,2.5,2.7,3,2.8,5,9.7,7.3,4.9,7,1.9,7.4,3.6,5.6,9.4,17.5,20,13.7,13,13.3
"GH1","growth hormone 1","The protein encoded by this gene is a member of the somatotropin/prolactin family of hormones which play an important role in growth control. The gene, along with four other related genes, is located at the growth hormone locus on chromosome 17 where they are interspersed in the same transcriptional orientation; an arrangement which is thought to have evolved by a series of gene duplications. The five genes share a remarkably high degree of sequence identity. Alternative splicing generates additional isoforms of each of the five growth hormones, leading to further diversity and potential for specialization. This particular family member is expressed in the pituitary but not in placental tissue as is the case for the other four genes in the growth hormone locus. Mutations in or deletions of the gene lead to growth hormone deficiency and short stature. [provided by RefSeq, Jul 2008]",2688,"hs|17q23.3",1,8.30571428571429,11.9823529411765,-3.67663865546218,3.67663865546218,0.693162213338942,29,39,153.6,4.25,4.775,2.5,13.25,8.425,11.675,2.325,8.6,7.275,5.25,6,1.925,5,2.525,8.05,4.325,2.6,4.925,5.975,10.925,4.2,12.975,2.6,6.8,7.775,5.775,2.325,11,6.425,8.925,6.4,19.175,6.2,4.4,4.175,4.2,5.7,6.05,5.225,4.875,7.6,6.8,7.15,30.8,21.025,20.5,20.975,18.875,22.4,52.6,94.9,5.275,2.15,7.05,2.075,6.375,4.525,1.75,6.275,2.825,1.9,1.775,5.15,3.475,3.65,1.55,1.9,6.275,1.525,2.425,1.525,4.2,7.9,5.6,6.125,2.525,2.05,2.05,2.65,4.175,1.8,3.55,7.725,4.95,1.575,2.175,3.125,5,16.9,5.35,3.15,4.225,0.875,3.325,7.5,4.075,5.225,2.575,2.075,3.775,3.7,11.475,4.475,4.825,8.175,6.425,12.2,4.95,7.075,9.425,8.6,5.25,20.325,23.65,25.9,21.325,18.825,19.225
"GHR","growth hormone receptor","This gene encodes a member of the type I cytokine receptor family, which is a transmembrane receptor for growth hormone. Binding of growth hormone to the receptor leads to receptor dimerization and the activation of an intra- and intercellular signal transduction pathway leading to growth. Mutations in this gene have been associated with Laron syndrome, also known as the growth hormone insensitivity syndrome (GHIS), a disorder characterized by short stature. In humans and rabbits, but not rodents, growth hormone binding protein (GHBP) is generated by proteolytic cleavage of the extracellular ligand-binding domain from the mature growth hormone receptor protein. Multiple alternatively spliced transcript variants have been found for this gene.[provided by RefSeq, Jun 2011]",2690,"hs|5p12",2,174.511428571429,160.071568627451,14.4398599439776,14.4398599439776,1.09020877391153,302.8,581.75,343.5,157,209.7,180.4,205.6,171,210.4,209.3,172.6,158.9,166.2,283.9,284.8,324,221.1,190.4,178,175.1,195.9,285.1,148.7,270,303.1,198.8,158.9,205,152.8,173,84.6,71.8,84.8,80.3,59.7,68.1,73.8,90.6,91.4,51.4,83.5,89.1,41.1,56,67.1,93.7,16,31.4,26.8,58.3,26.4,461.9,239.75,581.95,193.3,129.1,105.3,186.4,110.3,164.8,140.6,148.3,132.3,211.8,186.7,164.8,198.4,295.5,148.1,230.2,223.5,214.4,273.7,471.4,67.9,224.2,244.6,196.8,124.1,82.5,99.4,208.5,284,201.6,56.2,110.7,225,175.9,188.9,138.8,438.3,199.9,294.7,410.7,199,69.6,106,202.4,171.2,152.9,142.6,355.2,241.3,305.8,140.9,59.3,78.2,48.9,82.2,112.5,85.1,64.9,52.5,68.5,54.8,61.6,16.8,14.1,28.3,75.8,40.2
