Gene,Gene_Name,Gene_Summary
ESRRG,estrogen related receptor gamma,"This gene encodes a member of the estrogen receptor-related receptor (ESRR) family, which belongs to the nuclear hormone receptor superfamily. All members of the ESRR family share an almost identical DNA binding domain, which is composed of two C4-type zinc finger motifs. The ESRR members are orphan nuclear receptors; they bind to the estrogen response element and steroidogenic factor 1 response element, and activate genes controlled by both response elements in the absence of any ligands. The ESRR family is closely related to the estrogen receptor (ER) family. They share target genes, co-regulators and promoters, and by targeting the same set of genes, the ESRRs seem to interfere with the ER-mediated estrogen response in various ways. It has been reported that the family member encoded by this gene functions as a transcriptional activator of DNA cytosine-5-methyltransferases 1 (Dnmt1) expression by direct binding to its response elements in the DNMT1 promoters, modulates cell proliferation and estrogen signaling in breast cancer, and negatively regulates bone morphogenetic protein 2-induced osteoblast differentiation and bone formation. Multiple alternatively spliced transcript variants have been identified, which mainly differ at the 5' end and some of which encode protein isoforms differing in the N-terminal region. [provided by RefSeq, Aug 2011]"
SHBG,sex hormone binding globulin,"This gene encodes a steroid binding protein that was first described as a plasma protein secreted by the liver but is now thought to participate in the regulation of steroid responses. The encoded protein transports androgens and estrogens in the blood, binding each steroid molecule as a dimer formed from identical or nearly identical monomers. Polymorphisms in this gene have been associated with polycystic ovary syndrome and type 2 diabetes mellitus. Alternative splicing results in multiple transcript variants. [provided by RefSeq, Jan 2014]"
PGR,progesterone receptor,"This gene encodes a member of the steroid receptor superfamily. The encoded protein mediates the physiological effects of progesterone, which plays a central role in reproductive events associated with the establishment and maintenance of pregnancy. This gene uses two distinct promotors and translation start sites in the first exon to produce several transcript variants, both protein coding and non-protein coding. Two of the isoforms (A and B) are identical except for an additional 165 amino acids found in the N-terminus of isoform B and mediate their own response genes and physiologic effects with little overlap. [provided by RefSeq, Sep 2015]"
CNR1,cannabinoid receptor 1 ,"This gene encodes one of two cannabinoid receptors. The cannabinoids, principally delta-9-tetrahydrocannabinol and synthetic analogs, are psychoactive ingredients of marijuana. The cannabinoid receptors are members of the guanine-nucleotide-binding protein (G-protein) coupled receptor family, which inhibit adenylate cyclase activity in a dose-dependent, stereoselective and pertussis toxin-sensitive manner. The two receptors have been found to be involved in the cannabinoid-induced CNS effects (including alterations in mood and cognition) experienced by users of marijuana. Multiple transcript variants encoding two different protein isoforms have been described for this gene. [provided by RefSeq, May 2009]"
CNR2, cannabinoid receptor 2 ,"The cannabinoid delta-9-tetrahydrocannabinol is the principal psychoactive ingredient of marijuana. The proteins encoded by this gene and the cannabinoid receptor 1 (brain) (CNR1) gene have the characteristics of a guanine nucleotide-binding protein (G-protein)-coupled receptor for cannabinoids. They inhibit adenylate cyclase activity in a dose-dependent, stereoselective, and pertussis toxin-sensitive manner. These proteins have been found to be involved in the cannabinoid-induced CNS effects (including alterations in mood and cognition) experienced by users of marijuana. The cannabinoid receptors are members of family 1 of the G-protein-coupled receptors. [provided by RefSeq, Jul 2008]"
CNRIP1,cannabinoid receptor interacting protein 1,"This gene encodes a protein that interacts with the C-terminal tail of cannabinoid receptor 1. Two transcript variants encoding different isoforms have been described for this gene. [provided by RefSeq, Jul 2013]"
TGFB1,transforming growth factor beta 1 ,"This gene encodes a secreted ligand of the TGF-beta (transforming growth factor-beta) superfamily of proteins. Ligands of this family bind various TGF-beta receptors leading to recruitment and activation of SMAD family transcription factors that regulate gene expression. The encoded preproprotein is proteolytically processed to generate a latency-associated peptide (LAP) and a mature peptide, and is found in either a latent form composed of a mature peptide homodimer, a LAP homodimer, and a latent TGF-beta binding protein, or in an active form consisting solely of the mature peptide homodimer. The mature peptide may also form heterodimers with other TGFB family members. This encoded protein regulates cell proliferation, differentiation and growth, and can modulate expression and activation of other growth factors including interferon gamma and tumor necrosis factor alpha. This gene is frequently upregulated in tumor cells, and mutations in this gene result in Camurati-Engelmann disease. [provided by RefSeq, Aug 2016]"
IFNG,interferon gamma,"This gene encodes a soluble cytokine that is a member of the type II interferon class. The encoded protein is secreted by cells of both the innate and adaptive immune systems. The active protein is a homodimer that binds to the interferon gamma receptor which triggers a cellular response to viral and microbial infections. Mutations in this gene are associated with an increased susceptibility to viral, bacterial and parasitic infections and to several autoimmune diseases. [provided by RefSeq, Dec 2015]"
TNF,tumor necrosis factor,"This gene encodes a multifunctional proinflammatory cytokine that belongs to the tumor necrosis factor (TNF) superfamily. This cytokine is mainly secreted by macrophages. It can bind to, and thus functions through its receptors TNFRSF1A/TNFR1 and TNFRSF1B/TNFBR. This cytokine is involved in the regulation of a wide spectrum of biological processes including cell proliferation, differentiation, apoptosis, lipid metabolism, and coagulation. This cytokine has been implicated in a variety of diseases, including autoimmune diseases, insulin resistance, and cancer. Knockout studies in mice also suggested the neuroprotective function of this cytokine. [provided by RefSeq, Jul 2008]"
IL10,interleukin 10,"The protein encoded by this gene is a cytokine produced primarily by monocytes and to a lesser extent by lymphocytes. This cytokine has pleiotropic effects in immunoregulation and inflammation. It down-regulates the expression of Th1 cytokines, MHC class II Ags, and costimulatory molecules on macrophages. It also enhances B cell survival, proliferation, and antibody production. This cytokine can block NF-kappa B activity, and is involved in the regulation of the JAK-STAT signaling pathway. Knockout studies in mice suggested the function of this cytokine as an essential immunoregulator in the intestinal tract. Mutations in this gene are associated with an increased susceptibility to HIV-1 infection and rheumatoid arthritis.[provided by RefSeq, May 2011]"
IL6,interleukin 6,"This gene encodes a cytokine that functions in inflammation and the maturation of B cells. In addition, the encoded protein has been shown to be an endogenous pyrogen capable of inducing fever in people with autoimmune diseases or infections. The protein is primarily produced at sites of acute and chronic inflammation, where it is secreted into the serum and induces a transcriptional inflammatory response through interleukin 6 receptor, alpha. The functioning of this gene is implicated in a wide variety of inflammation-associated disease states, including suspectibility to diabetes mellitus and systemic juvenile rheumatoid arthritis. Alternative splicing results in multiple transcript variants. [provided by RefSeq, Dec 2015]"
IL1B, interleukin 1 beta ,"The protein encoded by this gene is a member of the interleukin 1 cytokine family. This cytokine is produced by activated macrophages as a proprotein, which is proteolytically processed to its active form by caspase 1 (CASP1/ICE). This cytokine is an important mediator of the inflammatory response, and is involved in a variety of cellular activities, including cell proliferation, differentiation, and apoptosis. The induction of cyclooxygenase-2 (PTGS2/COX2) by this cytokine in the central nervous system (CNS) is found to contribute to inflammatory pain hypersensitivity. This gene and eight other interleukin 1 family genes form a cytokine gene cluster on chromosome 2. [provided by RefSeq, Jul 2008]"
IL17A, interleukin 17A,"The protein encoded by this gene is a proinflammatory cytokine produced by activated T cells. This cytokine regulates the activities of NF-kappaB and mitogen-activated protein kinases. This cytokine can stimulate the expression of IL6 and cyclooxygenase-2 (PTGS2/COX-2), as well as enhance the production of nitric oxide (NO). High levels of this cytokine are associated with several chronic inflammatory diseases including rheumatoid arthritis, psoriasis and multiple sclerosis. [provided by RefSeq, Jul 2008]"
