"chromosome","genes","type","all","up","down","majority"
"chr12","GRIP1","up",6,5,1,"TRUE"
"chr12","LEMD3","up",6,5,1,"TRUE"
"chr12","LLPH","up",6,5,1,"TRUE"
"chr12","HMGA2","up",6,5,1,"TRUE"
"chr12","GNS","up",6,5,1,"TRUE"
"chr22","JOSD1","up",43,25,18,"TRUE"
"chr22","PICK1","up",43,25,18,"TRUE"
"chr22","DDX17","up",43,25,18,"TRUE"
"chr22","NOL12","up",43,25,18,"TRUE"
"chr22","SGSM3","up",43,25,18,"TRUE"
"chr22","ADSL","up",43,25,18,"TRUE"
"chr22","EIF3L","up",43,25,18,"TRUE"
"chr22","MICALL1","up",43,25,18,"TRUE"
"chr22","POLR2F","up",43,25,18,"TRUE"
"chr22","DNAL4","up",43,25,18,"TRUE"
"chr22","CSNK1E","up",43,25,18,"TRUE"
"chr22","APOBEC3F","up",43,25,18,"TRUE"
"chr22","RPL3","up",43,25,18,"TRUE"
"chr22","ATF4","up",43,25,18,"TRUE"
"chr22","MGAT3","up",43,25,18,"TRUE"
"chr22","TAB1","up",43,25,18,"TRUE"
"chr22","APOBEC3C","up",43,25,18,"TRUE"
"chr22","NPTXR","up",43,25,18,"TRUE"
"chr22","TOMM22","up",43,25,18,"TRUE"
"chr22","KDELR3","up",43,25,18,"TRUE"
"chr22","SMCR7L","up",43,25,18,"TRUE"
"chr22","LGALS1","up",43,25,18,"TRUE"
"chr22","TNRC6B","up",43,25,18,"TRUE"
"chr22","SYNGR1","up",43,25,18,"TRUE"
"chr22","PLA2G6","up",43,25,18,"TRUE"
"chr11","RPLP2","down",33,16,17,"TRUE"
"chr11","CDHR5","down",33,16,17,"TRUE"
"chr11","INS","down",33,16,17,"TRUE"
"chr11","TNNI2","down",33,16,17,"TRUE"
"chr11","RASSF7","down",33,16,17,"TRUE"
"chr11","C11orf21","down",33,16,17,"TRUE"
"chr11","PKP3","down",33,16,17,"TRUE"
"chr11","SLC25A22","down",33,16,17,"TRUE"
"chr11","IRF7","down",33,16,17,"TRUE"
"chr11","DRD4","down",33,16,17,"TRUE"
"chr11","EPS8L2","down",33,16,17,"TRUE"
"chr11","SIGIRR","down",33,16,17,"TRUE"
"chr11","ATHL1","down",33,16,17,"TRUE"
"chr11","RNH1","down",33,16,17,"TRUE"
"chr11","TMEM80","down",33,16,17,"TRUE"
"chr11","PNPLA2","down",33,16,17,"TRUE"
"chr11","SCT","down",33,16,17,"TRUE"
