"genes","GENE_NAME","strand","CYTOBAND"
"ADSL","adenylosuccinate lyase","+","hs|22q13.1"
"EPS8L2","EPS8-like 2","+","hs|11p15.5"
"GRIP1","glutamate receptor interacting protein 1","-","hs|12q14.3"
"INS","insulin","-","hs|11p15.5"
"KDELR3","KDEL (Lys-Asp-Glu-Leu) endoplasmic reticulum protein retention receptor 3","+","hs|22q13.1"
"MGAT3","mannosyl (beta-1,4-)-glycoprotein beta-1,4-N-acetylglucosaminyltransferase","+","hs|22q13.1"
"MICALL1","MICAL-like 1","+","hs|22q13.1"
"RPLP2","ribosomal protein, large, P2","+","hs|11p15.5"
"SCT","secretin","-","hs|11p15.5"
"TNNI2","troponin I type 2 (skeletal, fast)","+","hs|11p15.5"
