"symbol","transcript","chromosome","start","end","width","gsm1667144","gsm1667145","gsm1667146","gsm336252","gsm336253","gsm336254","gsm336255","gsm336256","gsm336257","gsm336258","gsm336259","gsm336260","gsm336261","gsm336262","gsm336263","gsm336264","gsm336265","gsm336266","gsm336267","gsm336268","gsm336269","gsm336270","gsm336271","gsm336272","gsm336273","gsm336274","gsm336275","gsm336276","gsm336277","gsm336278","gsm52661","gsm52662","gsm52663","gsm52664","gsm52665","gsm52666","gsm52667","gsm52668","gsm52669","gsm52670","gsm52671","gsm9098","gsm9099","gsm9100","gsm9101","gsm9102","gsm569424","gsm569425","gsm569426","gsm569427","gsm569428","gsm1667147ul","gsm1667148ul","gsm1667149ul","gsm336202ul","gsm336203ul","gsm336204ul","gsm336205ul","gsm336206ul","gsm336207ul","gsm336208ul","gsm336209ul","gsm336210ul","gsm336211ul","gsm336212ul","gsm336213ul","gsm336214ul","gsm336215ul","gsm336216ul","gsm336217ul","gsm336218ul","gsm336219ul","gsm336220ul","gsm336221ul","gsm336222ul","gsm336223ul","gsm336224ul","gsm336225ul","gsm336226ul","gsm336227ul","gsm336228ul","gsm336229ul","gsm336230ul","gsm336231ul","gsm336232ul","gsm336233ul","gsm336234ul","gsm336235ul","gsm336236ul","gsm336237ul","gsm336238ul","gsm336239ul","gsm336240ul","gsm336241ul","gsm336242ul","gsm336243ul","gsm336244ul","gsm336245ul","gsm336246ul","gsm336247ul","gsm336248ul","gsm336249ul","gsm336250ul","gsm336251ul","gsm38689ul","gsm38690ul","gsm38691ul","gsm38692ul","gsm38693ul","gsm38694ul","gsm38695ul","gsm9093ul","gsm9094ul","gsm9095ul","gsm9096ul","gsm9097ul","gsm569429ul","gsm569430ul","gsm569431ul","gsm569432ul","gsm569433ul"
"TMBIM4","ENST00000539043","chr12",66563649,66547184,16466,4016.2,2457.6,2055.1,1175.2,1069.55,1154,1134.225,1008.125,1093.25,1159.975,1240.425,1090.675,1187.45,1233.4,1081.95,1081.4,1002.15,1056.25,925.825,1123.775,928.175,1029.675,845.525,1106.325,1156.45,1207.025,1090.425,1033.125,1004.05,1083.4,273.4,431.9,239.9,272,350.4,370.7,184.6,355.2,562.5,332,474.5,384.6,261.7,189.8,495,365.5,216.3,262.4,250.1,281.4,340.2,2282.3,2567.3,8.8,1083.4,860.225,988.775,640.825,627.3,787.95,990.45,1086.45,1014.575,801.15,869.75,872.425,1052.45,961.075,1597.625,1374.8,839.7,1256.75,1074.6,1064.45,997.45,1108.225,983.2,1007.3,905.275,1014.675,871.55,1138.375,1000.4,1110.325,589.25,576.675,892.35,781.875,799.225,684.825,1081,678.5,916.75,902.15,1228.65,613.3,914.175,1159.275,831.075,911.525,1112.2,1471.1,993.45,1465.6,380.9,380.1,232.5,268.2,200.7,235.1,302.2,166.5,250.2,323.6,308.9,208.5,197.4,207.5,370.1,340.6,229.3
"CSNK1E","ENST00000430335","chr22",38710089,38699197,10893,18748.9333333333,4255.96666666667,22528.3333333333,51.8,52.05,43.2,60.05,78.25,64.8,80,58.8,30.05,46.25,73.5,56.35,73.3,52.65,81.3,66.9,55.7,31.8,29.15,40.7,34.8,59.95,100.6,43.6,117.35,47.8,59.45,5.1,15.6,8.5,5.8,9.8,7.4,9.7,6,10,7.5,11.5,21.6,21.1,16.8,14.7,16.3,143.2,100.3,74.3,69.1,82.1,13372.9333333333,12182.3333333333,696.833333333333,65.45,49.5,51.45,51.6,53.85,33.35,68.15,83.15,53.95,70.1,75.55,34.3,61.35,59.95,74.5,36.65,64.15,28.45,55.6,56.35,40.3,62.35,87.3,54.2,43.85,71.7,42.15,66.8,58.5,66.9,39.6,41.85,10.65,72.55,88.9,58.65,32.55,71.95,66.6,78.65,137.9,39.95,77.6,51.45,36.5,41.55,39.35,53.55,72.55,112.75,5.8,5,8.9,7.4,8,13.6,10.8,34.5,12.7,10.9,9.1,24.8,118.9,118.7,90.2,85,78
"EIF3L","ENST00000477256","chr22",38274137,38282789,8653,17849.7,17660.25,11540.85,3268.4,4789.3,3934.1,5224.3,4666,4335.5,5092.2,5014.3,3754.3,5997.2,6957.5,4448.2,6031.6,5058.1,4985.2,4995.9,4647,5049.3,3102.8,4398.6,2650.5,4221.7,5422.5,5100.8,6742,5102.4,4807.5,2887,1907,2097.9,1812.4,2088.3,2081.4,1707,1613.2,1878.1,2239.6,1566.1,2211.7,1994.6,1657.2,1701.7,1747.8,941.7,1909.3,1413.8,2183.4,2755.6,16196.75,21802.2,17301.45,5489.6,5016.9,4560.9,4976.8,5096.6,5511,4417.3,4502.9,4959.2,4377,4675.2,2901.1,4759.3,5583.6,4119.8,4082.8,4316.3,3243.6,4542.5,5624.1,4305.7,6732.2,5799.7,5549.7,3824.5,5261.2,5696.5,4100.4,4237,4964.1,4989.8,3488,3870.4,6209.2,5310.9,6328.8,3592.3,3965.2,5236.9,4715,5861.2,5182.4,4203.9,5231.2,6451.5,4496.5,5275.9,3262.8,4706.1,4862.2,1732.8,2345.8,1574.2,1170.8,1105.4,1542,1097.5,1479.5,2459.7,3266.4,1849.5,2385.8,2779.8,2184.5,2412.6,2768,2793
"GRAP2","ENST00000420971","chr22",40351877,40356080,4204,9.3,16.4666666666667,13.5666666666667,2.5,3.4,3.8,2.1,2.8,4.8,1.3,2.2,2.6,11.2,9.7,1.4,13.5,14.9,3.6,2.5,3.3,4.5,2.4,7.7,5.8,11.8,3.8,20.1,5.7,4,3.5,1.8,2.4,13.3,2.3,4,7.2,2,15.1,3.3,1.8,2.4,4.9,6.1,2.6,5.3,4.5,67.5,36.1,33.5,32.3,25.1,7.76666666666667,10.8,15.4666666666667,2.6,13.1,2.5,1.2,1.9,3.9,1.7,4.4,1.8,2.3,2.3,5.1,3,2.1,1.3,1.4,2.3,1.6,11.4,2.1,5.1,1.5,1.6,4.2,1.4,12.3,12.5,2,2.4,2.7,2.8,8.1,2.8,1.8,2,4.6,2.2,3.9,1.3,1.3,4.7,2.8,2.4,1.9,2.7,2,2,5.7,2.2,1.6,11.9,6.4,1.4,3.6,6.5,3.7,5.7,10.5,5.4,3.5,5.5,4.6,51.2,43.5,32.8,24.9,26.7
"DEAF1","ENST00000525904","chr11",678736,674767,3970,2119.73333333333,1044.86666666667,1854.8,43.1,42.55,73,73.55,104.1,65.2,70.3,90.2,59.75,79.45,74.6,88.4,48.15,101.7,78.7,65.3,86.85,73.3,45.4,45,45.15,41.4,69.5,65.35,62.9,75.7,52.8,46.8,40.4,70,49.4,57.8,81.8,82.9,73.8,54,40.3,43.6,109.9,112.4,169.1,88.7,74.4,45.1,51.1,55.6,53.4,67.4,1841.73333333333,559.766666666667,467.533333333333,36.85,66.3,62.45,72.4,54.75,69.15,82.5,78.85,75.2,96.45,98.95,36.4,79.75,102.1,97.85,48.25,89.85,123.85,98.75,76.3,88.6,72.05,60.25,61.45,79.85,81.65,111.5,59.25,78.4,75.65,56.3,60.55,58.35,58.5,90.65,67.4,38.95,61.55,75.2,72.75,79.9,73.8,92.1,81.45,45.6,73.35,95.2,79.9,75.85,120.05,76.2,70.9,54.3,98.4,77.7,142.5,93.4,112.7,95.9,70.3,98.9,114.1,69,46.8,62.8,45.8,72.8
"TMC6","ENST00000392467","chr17",76113361,76109658,3704,79.15,174.45,88.3,40,50.3,41.25,45.9,64.25,43.75,52.8,58.8,28.95,39,50.5,46.8,46.3,47.4,55.8,36.45,40.05,56.9,25.95,37.45,67.9,40.7,49.6,42.8,55.95,40.15,37.45,23,23,15.15,28.25,13.9,36.35,37.2,32.8,21.95,32.15,34.6,75.7,49.95,71.4,71.2,62.05,75.85,41.85,39.55,39.3,30.1,62.5,43.4,184.5,43,29.75,28.75,23.9,34.5,51.15,43.15,32.9,42.6,27.85,25.05,27.55,41.2,40.45,32.7,29.05,32.65,35.5,47.6,34.4,32.3,48.75,23.35,43,26.25,39.2,35.7,38.1,34.05,42,42.3,31.25,33.3,22.65,32.5,37.6,46.9,62.9,39.8,28.4,51.7,24.65,44,42.25,40.4,30.1,20.15,32.9,45.7,76.05,35,28.15,17.8,16.95,23.15,30.45,18.45,73.35,69.2,63.55,63.55,48.25,43.6,50.15,43.4,37.05,32.3
"SIRT3","ENST00000529382","chr11",218872,216700,2173,721.733333333333,855.733333333333,540.366666666667,69.7,81.3333333333333,70.2333333333333,79.5666666666667,74,88.9,77,77.2666666666667,74.3333333333333,53.7333333333333,100.1,79.8,83.9333333333333,74.4333333333333,86.7333333333333,87.5666666666667,71.7,96.5333333333333,109.4,90.6,74.3666666666667,95,70.8333333333333,84.5666666666667,84.9,77.7333333333333,67.2666666666667,123.166666666667,88.0666666666667,88.3666666666667,97.1666666666667,92.8666666666667,98.0666666666667,78.9666666666667,86.7666666666667,86.7,71.0666666666667,70.5666666666667,118.066666666667,88.3333333333333,103.933333333333,147.2,98.4666666666667,164.333333333333,102.2,117.233333333333,82.7666666666667,83.0666666666667,874.7,507.3,412.233333333333,80.8,84.7,69.0333333333333,108.366666666667,94.5666666666667,92.3666666666667,85.8666666666667,84.7666666666667,88.2333333333333,90.6333333333333,94.7666666666667,87.8666666666667,100.466666666667,88.8,73.8666666666667,60.0333333333333,83.9333333333333,91.6333333333333,82.4666666666667,82.5333333333333,75.8333333333333,63.4,79.1666666666667,75.1,128.566666666667,123.033333333333,150.333333333333,63.9333333333333,74.6666666666667,82.8,120.133333333333,148,83.6333333333333,77.9666666666667,72.8333333333333,85.8666666666667,86.9666666666667,110,79.9,72.2666666666667,99.6,123.333333333333,108.133333333333,76.3,78.1666666666667,60.9,80.3666666666667,116.166666666667,161.766666666667,87.3666666666667,82.4666666666667,77.2333333333333,93.8,93.1,74.2666666666667,105.033333333333,121.7,87.5,115.966666666667,112.233333333333,125.666666666667,143.266666666667,161.366666666667,130.8,87.2,83.6,102
"DDX17","ENST00000432525","chr22",38889757,38888104,1654,937.4,2526.73333333333,2257.86666666667,964.38,1236.22,1079.38,1233.04,1203.6,1192.02,1140.26,1078.34,1528,1137.7,1203.12,1181.68,1272.64,1210.1,1115.16,1193.68,1074.06,1265.52,1303.8,1508.08,904.42,1138.74,1270.92,1213.78,1446.78,1136.62,1060.84,827.675,668.625,801.5,941.875,997.8,697.975,488.15,561.6,639.175,823.575,742.4,1332.65,1024.875,774.525,766.325,793.375,529.4,894.425,897.8,644.7,978.375,1443.1,3150.43333333333,5727.4,1182.96,1305.14,1072.42,1061.58,1119,1393.48,893.34,766.06,1089.4,1237.82,1065.54,1416.24,1133.9,1060.34,991.24,1483.2,1057.92,838.38,1013.06,989.42,955.38,1051.6,970.68,751.86,743.92,1236.66,1225.26,969.7,947.12,1109.6,1113.32,987.66,1207.6,1278.84,1157.9,1489.76,1203.66,1259.94,1114.82,1055.7,1299.02,1134.02,1081.24,1369.5,1510.36,1071.14,1140.08,1074.6,1032.58,961.8,731.6,777.7,616.75,900.875,601.175,551.725,870.675,831.3,780.975,865.2,850.125,871.775,961.775,961.825,1185.35,596.95,581.675
"SYNGR1","ENST00000318801","chr22",39770517,39772074,1558,521.25,494.35,401.85,86.8666666666667,99.0666666666667,90.1333333333333,80.4,87.9,103.066666666667,127.033333333333,96.0333333333333,77.1333333333333,96.9666666666667,109.766666666667,83.0333333333333,105.166666666667,83.2,112.3,103.566666666667,112.333333333333,109.633333333333,54.2666666666667,64.1666666666667,64.8333333333333,58.0666666666667,79.7666666666667,105.2,97.3333333333333,109.866666666667,101.633333333333,56.8666666666667,36.2666666666667,59.6666666666667,63.5666666666667,62.1,63.5666666666667,58.4666666666667,43.6,48.6666666666667,39.4333333333333,30.9,49.0666666666667,38.7666666666667,61.5666666666667,48.2666666666667,29.3666666666667,105.466666666667,69.5,53.1333333333333,71.9666666666667,56.2333333333333,377.8,265.8,1014.8,89.9333333333333,80.6,87.2333333333333,104.633333333333,141.1,125.666666666667,100.566666666667,87.7666666666667,99.9,75.1,74.1,57.5,111.5,89.1666666666667,140.766666666667,73.1,80.4333333333333,59.7333333333333,85.0333333333333,100.7,75.9,126.1,104.8,99.5666666666667,128.533333333333,160.433333333333,305.7,71.8666666666667,79.8666666666667,74.1666666666667,203.766666666667,150.6,44.4333333333333,105.5,103.4,117.433333333333,54.7666666666667,57.8,70.2333333333333,69.8,100.233333333333,250.033333333333,82.0333333333333,81.7,132.566666666667,102.966666666667,82.9,172.433333333333,277.433333333333,165.366666666667,49.0333333333333,47.3666666666667,51.6,38.9333333333333,49.5666666666667,80.2,55.6333333333333,53.1666666666667,54.1,55.8333333333333,78.4333333333333,75.3666666666667,87.1666666666667,92.2333333333333,47,48.1,64.8
"PDE6G","ENST00000331056","chr17",79620235,79618702,1534,5.9,12.4,18.3,4.5,5.1,6.4,7.9,4.4,11.3,6,7.5,5.7,7.2,4.5,5.8,4.2,3.5,4.5,3.3,11.1,4.3,12.2,14.7,15.7,9.2,6.8,4.6,4.2,2.3,5.8,11.4,7.1,10.3,12.3,15.5,9.2,10.4,10.7,7.8,7.7,9.1,15.3,13.3,16.1,12.2,9.5,99.2,44.8,39.2,34.3,31.8,6.8,29.4,8.8,4.5,8.3,4.1,4.1,6.9,5.2,6.2,8.1,4.9,5.6,7.1,9.7,5.2,5.5,5.2,4.9,7.1,5.5,6.5,3.4,5.6,7.2,5.9,5.4,5.5,5.6,8.5,4.9,3.1,6.4,9.8,15.3,11.7,2.9,4.6,9.7,11.2,13,4,4.1,6.2,2.2,7.3,8.9,6.3,3.9,3.6,7.2,8.4,8.4,8.2,4.6,11.4,11,9.5,17.7,7,10.5,17.1,14.6,15,16.8,65.6,53.1,44.1,35.3,32.6
