"","GENE_NAME","strand","CYTOBAND"
"AZI1","5-azacytidine induced 1","-","hs|17q25.3"
"BAIAP2","BAI1-associated protein 2","+","hs|17q25.3"
"CD7","CD7 molecule","-","hs|17q25.3"
"DCXR","dicarbonyl/L-xylulose reductase","-","hs|17q25.3"
"DDX17","DEAD (Asp-Glu-Ala-Asp) box polypeptide 17","-","hs|22q13.1"
"GAA","glucosidase, alpha; acid","+","hs|17q25.3"
"IFITM3","interferon induced transmembrane protein 3","-","hs|11p15.5"
"PICK1","protein interacting with PRKCA 1","+","hs|22q13.1"
"PLA2G6","phospholipase A2, group VI (cytosolic, calcium-independent)","-","hs|22q13.1"
"RASSF7","Ras association (RalGDS/AF-6) domain family (N-terminal) member 7","+","hs|11p15.5"
"RPL3","ribosomal protein L3","-","hs|22q13.1"
"SIRT3","sirtuin 3","-","hs|11p15.5"
"SIRT7","sirtuin 7","-","hs|17q25.3"
"SLC16A8","solute carrier family 16, member 8 (monocarboxylic acid transporter 3)","-","hs|22q13.1"
"TBCD","tubulin folding cofactor D","+","hs|17q25.3"
"TRIOBP","TRIO and F-actin binding protein","+","hs|22q13.1"
