"genes","gene_name","strand","cytoband"
"APOBEC3F","apolipoprotein B mRNA editing enzyme, catalytic polypeptide-like 3F","+","hs|22q13.1"
"ASCL2","achaete-scute complex homolog 2 (Drosophila)","-","hs|11p15.5"
"ASPSCR1","alveolar soft part sarcoma chromosome region, candidate 1","+","hs|17q25.3"
"CBX2","chromobox homolog 2","+","hs|17q25.3"
"CCDC57","coiled-coil domain containing 57","-","hs|17q25.3"
"CYTH4","cytohesin 4","+","hs|22q13.1"
"FASN","fatty acid synthase","-","hs|17q25.3"
"FSCN2","fascin homolog 2, actin-bundling protein, retinal (Strongylocentrotus purpuratus)","+","hs|17q25.3"
"GRIP1","glutamate receptor interacting protein 1","-","hs|12q14.3"
"HMGA2","high mobility group AT-hook 2","+","hs|12q14.3"
"KDELR3","KDEL (Lys-Asp-Glu-Leu) endoplasmic reticulum protein retention receptor 3","+","hs|22q13.1"
"NPTX1","neuronal pentraxin I","-","hs|17q25.3"
"PYCR1","pyrroline-5-carboxylate reductase 1","-","hs|17q25.3"
"RAC3","ras-related C3 botulinum toxin substrate 3 (rho family, small GTP binding protein Rac3)","+","hs|17q25.3"
"TH","tyrosine hydroxylase","-","hs|11p15.5"
"TNRC6B","trinucleotide repeat containing 6B","+","hs|22q13.1"
